Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
rent receipt template,5,5,4400,30,1.46,https://www.xero.com/us/templates/receipt-template/rent-receipt-template/,132,4.02,192.00,1,22800000,"[44,81,66,54,44,44,54,66,66,54,54,35]",2026-01-18,"Image pack, Video, Image, Ads top, Ads bottom, Related searches",informational,Organic
time sheet template,8,8,3600,27,3.01,https://www.xero.com/us/templates/timesheet-template/,79,2.41,237.00,0.65,448000000,"[29,23,36,29,29,23,29,29,29,29,29,29]",2026-01-14,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
sample business plan,1,1,1900,46,2.98,https://www.xero.com/us/templates/business-plan-template/,78,2.37,232.00,0.54,1820000000,"[28,28,36,36,43,36,36,24,24,24,24,24]",2026-01-16,"Image pack, Video, Image, Ads bottom, People also ask, Related searches, Discussions and forums, AI overview",informational,Image pack
paycheck template free,1,1,1300,44,5.52,https://www.xero.com/us/templates/pay-stub-template/,78,2.37,430.00,0.45,10200000,"[68,84,84,100,46,46,68,68,46,52,37,31]",2025-12-01,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches, AI overview",informational,AI overview
pay stub sample free,5,5,1300,44,5.52,https://www.xero.com/us/templates/pay-stub-template/,57,1.73,314.00,0.45,6660000,"[10,5,19,3,81,100,8,15,13,0,0,0]",2025-11-29,"Sitelinks, Video, Image, Related searches",informational,Organic
pay stub template free,7,7,2400,45,5.05,https://www.xero.com/us/templates/pay-stub-template/,57,1.73,287.00,0.71,31700000,"[65,65,100,65,54,54,43,29,43,54,65,54]",2026-01-14,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches",informational,Organic
free pay stub template,9,9,2900,43,4.26,https://www.xero.com/us/templates/pay-stub-template/,55,1.67,234.00,0.71,9580000,"[65,100,65,81,65,54,65,54,54,54,43,43]",2026-01-18,"Image pack, Video, Image, Related searches",informational,Organic
business offer template,1,1,1300,61,2.39,https://www.xero.com/us/templates/business-proposal-template/,53,1.61,126.00,0.36,384000000,"[66,7,24,18,3,2,4,5,7,53,100,0]",2026-01-17,"Image pack, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Image pack
free receipt template,1,1,2400,52,1.78,https://www.xero.com/us/templates/receipt-template/,52,1.58,92.00,0.64,145000000,"[54,81,65,54,81,54,54,43,54,54,43,54]",2026-01-11,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Image pack
receipt template,10,10,12100,42,1.60,https://www.xero.com/us/templates/receipt-template/,48,1.46,76.00,1,165000000,"[36,36,44,66,54,44,54,36,36,36,36,36]",2026-01-09,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
editable free pay stub template,4,4,720,41,3.98,https://www.xero.com/us/templates/pay-stub-template/,46,1.4,183.00,0.66,2770000,"[30,30,24,24,24,24,24,24,30,30,36,36]",2026-01-07,"Image pack, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
sample money receipt format,1,1,1000,34,1.17,https://www.xero.com/us/templates/receipt-template/cash-receipt-template/,41,1.25,47.00,0.9,10,"[79,13,41,7,2,100,66,79,66,3,20,79]",2025-11-24,"Image pack, Sitelinks, Image, People also ask, Related searches",informational,Image pack
free sample receipt,1,1,1000,62,1.74,https://www.xero.com/us/templates/receipt-template/,41,1.25,71.00,0.56,87100000,"[16,24,82,8,20,8,65,11,100,8,24,55]",2025-12-13,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Image pack
free paycheck stub template,8,8,1900,42,5.05,https://www.xero.com/us/templates/pay-stub-template/,41,1.25,207.00,0.71,3800000,"[52,80,66,66,66,52,16,36,52,52,66,66]",2026-01-14,"Image pack, Video, Image, Ads bottom, Related searches",informational,Organic
pay stub template,9,9,5400,43,6.62,https://www.xero.com/us/templates/pay-stub-template/,37,1.12,244.00,0.65,16900000,"[66,66,66,81,100,81,54,66,66,54,100,44]",2026-01-07,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
po gratis,1,1,6600,23,0.00,https://www.xero.com/us/templates/purchase-order-template/,34,1.03,0.00,0.33,807000000,"[0,1,0,29,0,100,0,0,0,0,0,0]",2026-01-09,"Video, People also ask, AI overview",transactional,AI overview
free invoice template,26,26,22200,72,3.49,https://www.xero.com/us/templates/invoice-template/,33,1,115.00,0.63,113000000,"[54,54,54,67,67,67,67,67,67,100,81,67]",2026-01-12,"Image pack, Video, Image, Ads top, Ads bottom, Related searches",commercial,Organic
free paystub,1,1,480,27,12.21,https://www.xero.com/us/templates/pay-stub-template/,29,0.88,354.00,0.9,4540000,"[54,44,44,54,44,54,44,54,54,54,54,54]",2025-12-02,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,AI overview
rent recipt template,5,5,720,26,1.46,https://www.xero.com/us/templates/receipt-template/rent-receipt-template/,25,0.76,36.00,1,136000000,"[0,24,8,62,45,62,62,62,55,100,55,45]",2026-01-13,"Image pack, Video, Image, Ads bottom, Related searches",informational,Organic
receipt template free,3,3,2400,53,2.06,https://www.xero.com/us/templates/receipt-template/,25,0.76,51.00,0.67,811000000,"[22,100,65,43,81,54,43,43,54,54,54,43]",2026-01-18,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches",informational,Image pack
basic receipt template,1,1,590,50,1.25,https://www.xero.com/us/templates/receipt-template/,24,0.73,30.00,1,77000000,"[67,45,36,36,30,76,55,30,30,45,45,30]",2025-11-25,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches",informational,Image pack
cash payment receipt,1,1,720,32,1.53,https://www.xero.com/us/templates/receipt-template/cash-receipt-template/,24,0.73,36.00,1,348000000,"[46,37,37,46,37,52,46,37,31,31,31,31]",2025-12-05,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,AI overview
timesheet template,9,9,4400,46,3.01,https://www.xero.com/us/templates/timesheet-template/,22,0.67,66.00,0.65,9300000,"[29,23,36,29,36,29,29,36,36,36,36,36]",2026-01-06,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches, Things to know",informational,Organic
balance sheet template,10,10,5400,35,5.95,https://www.xero.com/us/templates/balance-sheet-template/,21,0.64,124.00,0.54,526000000,"[100,44,81,66,54,54,44,36,44,44,54,44]",2026-01-09,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
projection form,1,1,480,33,0.00,https://www.xero.com/us/templates/cash-flow-projection-template/,19,0.57,0.00,0,215000000,"[24,100,13,13,6,10,16,30,10,45,8,81]",2025-12-25,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
free receipt template pdf,1,1,480,36,1.53,https://www.xero.com/us/templates/receipt-template/,19,0.57,29.00,0.5,118000000,"[81,54,66,66,54,66,54,54,54,54,54,81]",2025-12-18,"Image pack, Sitelinks, Image, Ads bottom, People also ask, Related searches",informational,Image pack
printable sample receipt,1,1,480,50,1.24,https://www.xero.com/us/templates/receipt-template/,19,0.57,23.00,0.87,2230000,"[45,20,30,13,55,45,45,67,45,13,13,76]",2025-12-04,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Image pack
receipt template pdf,1,1,480,30,1.70,https://www.xero.com/us/templates/receipt-template/,19,0.57,32.00,0.36,134000000,"[44,29,44,44,44,67,67,44,36,54,54,81]",2025-12-07,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Image pack
timesheet template,10,10,4400,46,3.01,https://www.xero.com/us/templates/timesheet-template/,17,0.51,51.00,0.65,9300000,"[29,23,36,29,36,29,29,36,36,36,36,36]",2026-01-06,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches, Things to know",informational,Organic
payroll stubs free,5,5,390,42,8.87,https://www.xero.com/us/templates/pay-stub-template/,17,0.51,150.00,0.89,9040000,"[23,66,19,44,54,36,44,66,44,36,100,66]",2025-12-29,"Sitelinks, Video, Ads bottom, Related searches",informational,Organic
paystub template,10,10,4400,45,5.98,https://www.xero.com/us/templates/pay-stub-template/,17,0.51,101.00,0.79,2150000,"[100,81,66,81,66,81,66,66,81,81,81,66]",2026-01-12,"Image pack, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
sample pay stub template free,6,6,720,42,5.05,https://www.xero.com/us/templates/pay-stub-template/,17,0.51,85.00,0.71,260000000,"[13,31,46,84,37,100,0,0,46,31,68,31]",2026-01-11,"Image pack, Image, People also ask, Related searches",informational,Organic
income statement form,5,5,720,41,4.32,https://www.xero.com/us/templates/income-statement-template/,17,0.51,73.00,0.06,860000000,"[81,62,45,100,81,3,55,36,36,13,36,30]",2025-12-27,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches, Ads middle, AI overview",informational,Organic
purchase order template,12,12,5400,43,4.43,https://www.xero.com/us/templates/purchase-order-template/,16,0.48,70.00,1,1910000000,"[54,44,66,54,66,44,44,36,44,44,44,29]",2026-01-14,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches","informational, transactional",Organic
quote template,10,10,2900,21,4.53,https://www.xero.com/us/templates/quote-template/,14,0.42,63.00,0.58,206000000,"[81,54,54,81,81,65,65,65,65,65,100,65]",2026-01-12,"Image pack, Video, Image, Ads bottom, Related searches, Discussions and forums",informational,Organic
paycheck stub template,13,13,2900,44,6.62,https://www.xero.com/us/templates/pay-stub-template/,14,0.42,92.00,0.65,14400000,"[100,54,54,19,43,66,43,36,36,28,66,24]",2026-01-07,"Image pack, Video, Image, Ads bottom, Related searches",informational,Organic
