Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
invoice template word,3,3,8100,67,2.47,https://www.freshbooks.com/invoice-templates/word,526,0.16,1299.00,0.47,53300000,"[16,13,13,19,10,10,13,24,100,13,16,19]",2026-01-12,"Image pack, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
quote estimate template for google docs,1,1,1600,,0.00,https://www.freshbooks.com/estimate-templates/google-docs,396,0.12,0.00,0,7070000,[100],2025-12-27,"Video, Image, Ads top, Ads bottom, Related searches, AI overview",commercial,Organic
profit and loss statement template,1,1,8100,40,4.53,https://www.freshbooks.com/accounting-templates/profit-and-loss,334,0.1,1513.00,1,44900000,"[36,44,81,54,54,54,44,36,36,36,36,36]",2026-01-09,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches",informational,Image pack
free invoice template pdf,1,1,2400,51,2.87,https://www.freshbooks.com/invoice-templates/pdf,316,0.09,906.00,0.7,85400000,"[52,52,66,66,66,66,66,66,66,66,52,66]",2026-01-14,"Image pack, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
invoice template pdf,2,2,1900,50,2.88,https://www.freshbooks.com/invoice-templates/pdf,155,0.04,446.00,0.81,96500000,"[52,44,52,66,66,66,52,52,66,52,36,44]",2026-01-06,"Image pack, Video, Image, Ads bottom, Related searches",informational,Organic
free invoice template,11,11,22200,72,3.49,https://www.freshbooks.com/invoice-templates,155,0.04,540.00,0.63,113000000,"[54,54,54,67,67,67,67,67,67,100,81,67]",2026-01-12,"Image pack, Video, Image, Ads top, Ads bottom, Related searches",commercial,Organic
invoice,14,14,90500,78,5.87,https://www.freshbooks.com/invoice-templates,135,0.04,792.00,0.59,607000000,"[67,67,67,81,67,67,54,67,81,44,54,54]",2026-01-09,"Knowledge panel, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Organic
sample profit and loss statement,1,1,2900,48,4.53,https://www.freshbooks.com/accounting-templates/profit-and-loss,119,0.03,539.00,1,112000000,"[44,44,8,19,29,15,19,13,29,13,29,15]",2026-01-11,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
estimate template excel,1,1,480,47,5.96,https://www.freshbooks.com/estimate-templates/excel,119,0.03,709.00,0.1,32600000,"[32,21,26,32,72,72,59,48,26,21,21,100]",2025-12-19,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
free estimate template word,1,1,880,15,5.17,https://www.freshbooks.com/estimate-templates/word,116,0.03,599.00,0.66,9,"[30,36,100,36,24,81,62,62,55,45,45,45]",2025-11-19,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
income statement template,1,1,2400,34,5.12,https://www.freshbooks.com/accounting-templates/income-statement,99,0.03,506.00,0.79,168000000,"[36,43,36,28,28,28,28,28,36,36,36,36]",2026-01-16,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches, See results about",informational,Image pack
self employed invoice template,1,1,390,52,4.45,https://www.freshbooks.com/invoice-templates/self-employed-invoice,96,0.02,427.00,0.86,9780000,"[48,39,59,59,39,26,48,39,21,39,17,21]",2026-01-07,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
invoice billing software,1,1,2900,85,19.97,https://www.freshbooks.com/invoice-templates/google-docs,94,0.02,1877.00,0.35,117000000,"[19,4,4,7,15,7,10,10,100,19,36,36]",2026-01-09,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches",commercial,People also ask
invoice template free,12,12,18100,70,3.49,https://www.freshbooks.com/invoice-templates,90,0.02,314.00,0.63,114000000,"[54,44,54,54,54,44,54,81,67,81,44,54]",2026-01-16,"Image pack, Video, Image, Ads top, Ads bottom, Related searches",commercial,Organic
invoice format in excel,1,1,1900,43,3.49,https://www.freshbooks.com/invoice-templates/excel,78,0.02,272.00,0.63,76400000,"[44,52,80,66,66,66,36,24,66,16,44,44]",2026-01-14,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, Related searches",informational,Image pack
invoices free template,1,1,2400,70,3.49,https://www.freshbooks.com/invoice-templates,78,0.02,272.00,0.63,62000000,"[44,54,44,81,1,1,0,1,1,3,2,1]",2026-01-12,"Image pack, Video, Image, Ads top, Ads bottom, People also ask, Related searches",informational,People also ask
create an invoice,2,2,4400,64,8.18,https://www.freshbooks.com/invoice-templates/google-docs,77,0.02,629.00,0.85,532000000,"[54,44,44,44,81,44,54,66,54,54,54,66]",2026-01-10,"Image pack, Video, Ads top, Ads bottom, People also ask, Related searches, Discussions and forums",commercial,People also ask
profit and loss statement template,7,7,8100,40,4.53,https://www.freshbooks.com/accounting-templates/profit-and-loss,72,0.02,326.00,1,44900000,"[36,44,81,54,54,54,44,36,36,36,36,36]",2026-01-09,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches",informational,Organic
