Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
ai models list;10;210;2.53;0.05;100.00;100.00;1140000000;0.53,0.43,0.66,0.66,0.53,0.43,0.53,0.82,1.00,0.82,0.53,0.17;;1769972112
qwen3 embedding;69;480;0.00;0.01;0.00;0.00;1190000;0.00,0.00,0.00,0.00,0.00,0.02,1.00,1.00,1.00,0.88,0.59,0.72;;1769457410
claude 3.7 api price;96;40;0.00;0.14;0.00;0.00;817000;0.00,0.00,0.29,0.11,0.64,1.00,0.11,0.11,0.11,0.11,0.11,0.11;;1769270648
gemini text embedding model;93;40;0.00;0.01;0.00;0.00;999000;0.36,0.63,0.63,0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18;;1771664215
deepseek coder v2 lite;88;70;4.59;0.14;0.00;0.00;44300;0.03,1.00,0.80,0.42,0.53,0.07,0.19,0.19,0.26,0.07,0.07,0.07;;1768948350
cohere commerce;68;40;8.28;0.21;0.00;0.00;565000;1.00,0.18,0.18,0.27,0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18;;1768315812
gemini 1.5 flash 8b;93;40;0.00;0.33;0.00;0.00;271000;0.53,0.07,0.07,0.07,0.19,0.15,0.15,0.26,0.11,0.15,0.00,0.07;;1769466784
gemini 2.5 flash lite pricing;90;110;0.00;0.33;0.00;0.00;2590000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.81,0.43,0.35,0.35;;1767808515
turbo tenant support;79;50;0.00;0.03;0.00;0.00;2340000;0.42,0.57,0.28,0.71,0.57,0.57,0.71,1.00,0.71,0.71,0.57,0.71;1;1768218482
mstral small 3.2;86;480;0.00;0.00;0.00;0.00;1940000;1.00,0.00,0.00,0.00;5;1769558119
gpt-4.1 api pricing;86;210;0.00;0.05;0.00;0.00;17300000;0.00,0.00,0.00,0.00,0.00,0.13,0.20,0.36,1.00,0.30,0.01,0.01;;1767837247
primeintellect;83;590;0.37;0.04;0.00;0.00;144000;0.20,0.37,0.04,0.37,0.05,0.37,0.13,0.20,0.31,0.16,0.16,1.00;1,4;1770768399
gemini-1.5-flash-002;71;40;0.00;0.00;0.00;0.00;349000;0.34,0.53,0.65,0.03,0.00,0.00,0.00,0.03,0.00,0.03,0.06,0.00;;1768949893
sonnet 4 vs opus 4.1;75;70;0.00;0.33;0.00;0.00;1250000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,1.00,0.05,0.05;;1769233262
grok 3 vs o1 pro;50;40;0.00;0.00;0.00;0.00;1020000;0.00,0.00,1.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00;5;1770100373
arcee ai;73;590;5.92;0.04;0.00;0.00;1530000;0.48,0.39,0.88,1.00,0.21,0.39,0.59,0.72,0.59,0.59,0.48,0.59;;1768092691
gateway voyage;69;50;2.73;0.06;0.00;0.00;13900000;0.04,0.04,0.04,0.10,0.10,0.04,0.06,0.10,0.06,0.10,0.10,0.54;5;1769057208
claude 3.7 vs o1;69;50;0.00;0.00;0.00;0.00;607000;0.00,0.00,0.28,1.00,0.05,0.05,0.05,0.00,0.05,0.00,0.00,0.00;5;1770064395
claude 3.7 vs o1;81;50;0.00;0.00;0.00;0.00;607000;0.00,0.00,0.28,1.00,0.05,0.05,0.05,0.00,0.05,0.00,0.00,0.00;5;1770064395
qwen3-30b-a3b vs qwen3-32b;55;170;0.00;0.00;0.00;0.00;176000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00;;1768900515
gemini 1.5 flash 002;76;50;0.53;0.08;0.00;0.00;353000;0.23,0.19,0.19,0.02,0.04,0.05,0.00,0.00,0.00,0.00,0.00,0.00;;1766286076
meta llama llama 3.2 11b vision instruct;77;90;0.00;0.01;0.00;0.00;21900;0.05,0.28,1.00,0.05,0.23,0.05,0.05,0.05,0.35,0.05,0.35,0.05;;1771711499
google imagegen;92;140;6.80;0.00;0.00;0.00;4370000;0.10,0.03,0.06,0.24,0.00,0.30,0.30,0.00,0.10,0.03,0.00,0.05;;1768962999
searchpreview;79;70;0.00;0.00;0.00;0.00;728000;0.09,0.09,0.09,0.80,0.52,0.52,0.52,0.19,0.23,0.33,0.23,0.23;;1770363642
meta llama llama 3.1 8b instruct;82;140;0.00;0.00;0.00;0.00;621000;0.52,0.64,0.64,0.82,1.00,0.82,0.64,1.00,0.82,1.00,0.82,0.82;;1770550152
gemini model list;79;170;0.00;0.00;0.00;0.00;293000000;0.05,0.28,0.43,0.28,1.00,0.66,0.17,0.43,0.53,0.43,0.53,0.53;5;1770091614
deepseek-r1 vs openai o1;98;1300;0.00;0.00;0.00;0.00;1140000;0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771445380
gemini 2.5 pro vs claude 3.7;60;170;0.00;0.00;0.00;0.00;1830000;0.00,0.00,0.00,0.66,1.00,0.81,1.00,0.29,0.14,0.04,0.04,0.04;;1770361051
kat gateway;25;40;0.13;0.13;0.00;0.00;11900000;1.00,0.41,0.17,0.17,0.17,0.11,0.17,0.23,0.11,0.11,0.11,0.11;;1768601337
glm 4.6 air;85;140;2.59;0.02;0.00;0.00;683000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.59,1.00;;1770275903
api gateway google;73;40;20.00;0.08;0.00;0.00;198000000;0.09,0.23,0.23,0.52,0.00,0.52,0.00,0.52,0.14,0.00,0.00,0.00;;1770488621
openai o1 pro api;95;50;0.00;0.14;0.00;0.00;1670000;0.42,0.07,0.07,1.00,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07;;1771823847
grok 4 vs gemini 2.5;96;50;0.00;0.01;0.00;0.00;5220000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.03,0.03,0.03;;1767922792
claude opus 4 vs gpt 4.1;89;50;0.00;0.00;0.00;0.00;1520000;0.53,0.43,0.28,0.43,0.43,0.15,0.00,0.00,0.00,0.00,0.00,0.00;5;1769847203
gateway max vs cloud gateway max;56;110;0.00;0.04;0.00;0.00;63200000;0.66,0.81,1.00,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04;5;1769325808
o4 mini vs 4.1;99;90;0.00;0.33;0.00;0.00;1550000;0.00,0.00,0.00,0.00,0.00,1.00,0.53,0.53,0.43,0.05,0.05,0.05;;1768446732
deepseek-r1:14b;76;260;0.00;0.00;0.00;0.00;727000;0.00,0.08,0.20,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.07,0.00;;1769044925
qwen qwen3 235b a22b;46;70;2.17;0.10;0.00;0.00;248000;0.00,0.00,0.00,0.00,0.15,1.00,1.00,0.80,0.07,0.07,0.07,0.07;;1771826723
qwen qwen3 235b a22b;86;70;2.17;0.10;0.00;0.00;248000;0.00,0.00,0.00,0.00,0.15,1.00,1.00,0.80,0.07,0.07,0.07,0.07;;1771826723
anthropic api models list;16;110;0.00;0.01;0.00;0.00;7570000;0.00,0.34,0.34,0.65,0.65,0.34,0.34,0.34,1.00,0.34,0.34,0.26;;1769133301
anthropic api models list;25;110;0.00;0.01;0.00;0.00;7570000;0.00,0.34,0.34,0.65,0.65,0.34,0.34,0.34,1.00,0.34,0.34,0.26;;1769133301
nvidia llama nemotron;75;90;0.00;0.04;0.00;0.00;276000;0.07,1.00,0.07,0.65,0.42,0.65,0.19,0.42,0.26,0.15,0.15,0.11;;1769436431
nvidia llama nemotron;82;90;0.00;0.04;0.00;0.00;276000;0.07,1.00,0.07,0.65,0.42,0.65,0.19,0.42,0.26,0.15,0.15,0.11;;1769436431
available models;41;210;2.35;0.05;0.00;0.00;2650000000;1.00,0.65,0.43,0.65,0.65,0.81,0.43,0.43,0.53,0.43,1.00,0.43;5;1770103389
ai model list;26;70;2.53;0.05;0.00;0.00;1920000000;0.04,0.19,0.23,0.23,0.80,0.23,0.09,0.52,0.23,0.19,0.19,1.00;;1770573709
mistral models pricing;76;40;0.00;0.06;0.00;0.00;21700000;0.14,0.28,1.00,0.14,0.14,0.64,0.28,0.14,0.00,0.14,0.14,0.14;;1771715898
qwen3 coder 30b;80;70;3.58;0.05;0.00;0.00;236000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.81;;1767916764
