Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
claude 3.7 opus;26;40;1.34;0.43;0.00;0.00;1460000;0.00,0.00,0.45,0.27,1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18;;1771795267
claude 3.6 sonnet;36;70;0.00;0.06;0.00;0.00;342000;1.00,0.81,0.34,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06;;1772463504
claude 3.7 api;33;140;0.00;0.01;0.00;0.00;7160000;0.00,0.00,0.81,1.00,0.66,0.35,0.08,0.10,0.06,0.04,0.04,0.04;;1770555551
claude 3.7 sonnet api;14;110;0.00;0.15;0.00;0.00;1730000;0.00,0.00,0.66,1.00,0.53,0.82,0.05,0.05,0.05,0.05,0.05,0.05;5;1768960252
claude 3.7 sonnet api;23;110;0.00;0.15;0.00;0.00;1730000;0.00,0.00,0.66,1.00,0.53,0.82,0.05,0.05,0.05,0.05,0.05,0.05;5;1768960252
claude 3.7 sonnet api;33;110;0.00;0.15;0.00;0.00;1730000;0.00,0.00,0.66,1.00,0.53,0.82,0.05,0.05,0.05,0.05,0.05,0.05;5;1768960252
sonnet 3.7 api;43;50;0.00;0.33;0.00;0.00;2120000;0.00,0.00,0.80,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;1770367475
claude sonnet 3.6;53;50;0.00;0.05;0.00;0.00;294000;0.11,1.00,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;5;1769933080
claude 3.7 coding agent;74;210;0.00;0.00;0.00;0.00;565000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771315763
anthropic claude 3.7;17;210;1.58;0.21;0.00;0.00;2090000;0.00,0.00,0.00,1.00,0.59,0.26,0.21,0.11,0.14,0.05,0.07,0.04;;1768362013
claude sonnet 3.7 api;59;40;0.00;0.01;0.00;0.00;1590000;0.00,0.00,0.00,0.52,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;1767561169
anthropic: claude 3.7 sonnet;21;70;1.89;0.16;0.00;0.00;1380000;0.00,0.00,1.00,0.81,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1768633620
cloude3.7;72;210;0.00;0.00;0.00;0.00;17800;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769392455
claude 3.7 release date;22;110;0.00;0.00;0.00;0.00;7510000;0.00,0.00,0.80,1.00,0.80,0.65,0.65,0.34,0.34,0.15,0.19,0.19;5;1770000533
