Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
claude opus 4.1;33;1600;2.23;0.23;0.00;0.00;3460000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.19,0.08,0.06;5;1770378277
4.1 opus;50;40;0.00;0.33;0.00;0.00;20600000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.04,0.04;;1767950089
opus4.1;67;390;0.32;0.01;0.00;0.00;1260000;1.00,0.00,0.00,0.00;5;1769857298
claude 4.1 opus;82;880;1.01;0.26;0.00;0.00;2990000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.07,0.02,0.02;;1771535759
claude sonnet 4.1;54;70;1.63;0.11;0.00;0.00;2680000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.09,0.81,1.00,0.43;5;1767994161
claude 4.1;42;590;0.90;0.20;0.00;0.00;83200000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,1.00,0.18,0.04;5;1767650488
free claude 4 opus;75;70;0.00;0.86;0.00;0.00;2060000;0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.05,0.05,0.05,0.05,0.05;;1769625819
claude code opus 4.1;37;50;5.77;0.10;0.00;0.00;1600000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.53,0.06,0.06;;1769271082
claude code opus 4.1;39;50;5.77;0.10;0.00;0.00;1600000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.53,0.06,0.06;;1769271082
claude opus 4.1 free;9;110;4.04;0.21;0.00;0.00;1090000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,1.00,0.05;;1769066777
anthropic claude opus 4.1;32;140;1.35;0.06;0.00;0.00;874000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.67,0.23;;1767844784
claude-opus-4-1;58;390;0.00;0.00;0.00;0.00;16400000;1.00,0.00,0.00,0.00;;1769780780
