Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
claude sonnet 4 model name;25;90;0.00;0.33;0.00;0.00;5690000;0.00,0.00,0.00,0.00,0.00,0.06,1.00,0.53,0.53,0.65,0.12,0.06;5;1771928360
open source ai claude vercel;48;260;0.00;0.00;0.00;0.00;169000;1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1767777116
claude sonnet 4 capabilities;19;70;0.00;0.33;0.00;0.00;414000;0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.54,0.04,0.04,0.04,0.04;5;1769912803
claude sonnet 4.0 api;24;170;6.89;0.13;0.00;0.00;2110000;0.00,0.00,0.00,0.00,0.00,1.00,0.81,0.35,0.54,0.35,0.03,0.03;5;1770105213
claude sonnet 4.0 api;80;170;6.89;0.13;0.00;0.00;2110000;0.00,0.00,0.00,0.00,0.00,1.00,0.81,0.35,0.54,0.35,0.03,0.03;5;1770105213
claude sonnet documentation;94;40;0.00;0.33;0.00;0.00;1010000;0.11,0.11,1.00,0.11,0.11,0.23,0.11,0.23,0.41,0.23,0.11,0.11;;1771239378
claude 4 sonnet model name;26;40;0.00;0.33;0.00;0.00;4010000;0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.28,1.00,0.06,0.06,0.06;;1768333576
claude sonnet 4 api;18;90;6.89;0.13;0.00;0.00;7920000;0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.65,0.80,0.65,0.26,0.11;;1771197411
claude sonnet 4 api;40;90;6.89;0.13;0.00;0.00;7920000;0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.65,0.80,0.65,0.26,0.11;;1771197411
claude opus 4 and claude sonnet 4;41;1300;1.99;0.10;0.00;0.00;3550000;0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769552514
claude opus 4 and claude sonnet 4;90;1300;1.99;0.10;0.00;0.00;3550000;0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769552514
