Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
deepseek-ai/deepseek-v3.1-terminus;22;2900;0.00;0.00;4.30;0.00;95100;1.00;;1772574960
deepseek-v3.1-terminus;22;2400;0.00;0.00;3.22;0.00;116000;1.00,0.10,0.54;;1772122464
deepseek v3 1 terminus;25;50;2.04;0.01;0.00;0.00;117000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.43,0.34;;1772499768
deepseek v3.1 api;16;1300;0.00;0.00;0.00;0.00;4850000;1.00,0.00,0.00,0.00;;1772520962
vercel ai sdk deepseek;60;90;0.00;0.03;0.00;0.00;62200;0.00,1.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02;;1769119532
terminus ai;27;30;3.65;0.30;0.00;0.00;37300000;0.22,0.33,0.22,0.22,0.22,0.44,0.22,0.22,0.33,0.55,1.00,0.33;;1769367597
terminus ai;42;30;3.65;0.30;0.00;0.00;37300000;0.22,0.33,0.22,0.22,0.22,0.44,0.22,0.22,0.33,0.55,1.00,0.33;;1769367597
deepseek terminus;17;170;0.00;0.01;0.00;0.00;157000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,1.00,0.11;;1769211299
deepseek terminus;25;170;0.00;0.01;0.00;0.00;157000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,1.00,0.11;;1769211299
deepseek v3.1 terminus;25;1300;2.04;0.01;0.00;0.00;74000;1.00,0.13,0.10;;1768777579
deepseek-v3-1-terminus;25;110;0.00;0.00;0.00;0.00;74600;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.44,0.00;;1769065149
deepseek 3.1 terminus;25;40;0.00;0.01;0.00;0.00;15200;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.34,0.06;;1771298008
