Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel ai sdk deepseek;6;90;0.00;0.03;7.69;0.00;62200;0.00,1.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02;;1769119532
deepseek-v3-0324;26;2400;0.00;0.00;7.69;0.00;0;0.02,1.00,1.00,0.44,0.66,0.35,0.53,0.03,0.00;;1772564471
deepseek-ai/deepseek-v3-0324;26;880;0.00;0.00;2.56;0.00;329000;0.28,0.00,1.00,0.00,0.00,0.00,0.00,0.01,0.00;;1769776264
deepseek v3 0324;31;880;1.74;0.09;0.00;0.00;325000;0.00,0.00,0.00,1.00,0.36,0.29,0.16,0.22,0.22,0.10,0.08,0.08;;1770462337
deepseek 0324;30;70;1.26;0.09;0.00;0.00;348000;0.00,0.00,0.00,1.00,0.66,0.52,0.09,0.09,0.09,0.33,0.42,0.80;5;1771610456
deepseek ai deepseek v3 0324;30;170;1.01;0.05;0.00;0.00;306000;0.00,0.00,0.00,0.22,0.66,1.00,1.00,1.00,0.29,0.18,0.14,0.10;;1770023115
deepseek v3 0324 free;9;50;3.38;0.06;0.00;0.00;95400;0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.07,1.00,0.42,0.42,0.07;;1767646326
deepseek/deepseek-chat-v3-0324:free;11;480;2.40;0.08;0.00;0.00;48700;1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1767800500
deepseek-v3-0324 download;26;260;0.00;0.33;0.00;0.00;17300;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1768268744
deepseek v3 0324 api;11;30;2.49;0.31;0.00;0.00;141000;0.00,0.00,0.00,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1770080386
together ai deepseek v3;65;40;0.00;0.00;0.00;0.00;10500000;0.00,1.00,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.00;;1770818740
deepseek v3-0324;31;1000;0.00;0.00;0.00;0.00;333000;1.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769026771
deepseek deepseek chat v3 0324 free;8;170;2.73;0.09;0.00;0.00;35200;0.00,0.00,0.00,0.35,0.53,0.28,0.35,1.00,1.00,0.66,0.43,0.53;;1770051762
deepseek-v3 0324;28;260;2.31;0.05;0.00;0.00;352000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1768125056
