Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
gemini-2.0-flash-lite;11;480;0.00;0.01;66.66;0.00;15300000;0.00,0.00,1.00,0.00,0.00,0.79,0.00,0.03;;1767758115
gemini 2 flash;41;3600;2.32;0.08;33.33;100.00;85500000;0.10,0.44,1.00,1.00,0.44,0.36,0.19,0.13,0.10,0.16,0.01,0.03;;1772334660
gemini 2.0 flash;44;5400;2.32;0.08;0.00;0.00;98300000;0.44,0.24,0.81,1.00,0.36,0.24,0.08,0.10,0.08,0.08,0.07,0.05;;1772289651
gemini 2.0 flash lite;14;210;0.00;0.00;0.00;0.00;18000000;0.00,0.00,1.00,0.66,0.66,0.35,0.35,0.35,0.23,0.18,0.08,0.18;;1768967823
google gemini flash 2.0;44;170;2.41;0.16;0.00;0.00;67300000;0.19,0.23,0.67,1.00,0.10,0.07,0.05,0.05,0.05,0.07,0.03,0.03;;1772172281
gemini 2.0 flash api;67;320;2.26;0.12;0.00;0.00;41200000;0.24,0.20,1.00,0.30,0.16,0.13,0.04,0.05,0.45,0.03,0.03,0.03;;1770493257
gemini 2.0 flash-lite;14;390;0.00;0.00;0.00;0.00;19200000;0.00,0.00,0.16,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.02,0.00;;1769861303
gemini 2 flash api;36;170;2.26;0.12;0.00;0.00;38600000;0.29,0.29,1.00,0.44,0.29,0.23,0.09,0.02,0.02,0.05,0.06,0.06;;1772175830
what is gemini 2.0 flash;75;70;0.00;0.33;0.00;0.00;123000000;1.00,1.00,1.00,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1770467427
what is gemini 2.0 flash;78;70;0.00;0.33;0.00;0.00;123000000;1.00,1.00,1.00,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1770467427
gemini flash 2.0;47;1900;2.31;0.10;0.00;0.00;87300000;0.28,0.19,0.81,1.00,0.43,0.24,0.10,0.08,0.05,0.05,0.04,0.03;;1772411067
gemini flash lite;22;210;0.00;0.01;0.00;0.00;19900000;0.00,0.00,0.43,0.35,0.22,0.43,0.66,1.00,0.66,0.66,0.54,0.43;;1770082410
