Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
gemini-live-2.5-flash-preview;26;720;0.00;0.00;100.00;0.00;663000;1.00,0.00,0.00;;1772184538
gemini 2.5 preview;51;50;0.00;0.02;0.00;0.00;151000000;0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.07,0.07,0.07,0.07,0.42;;1768500457
gemini 2.5 flash preview 05-20;93;320;0.00;0.00;0.00;0.00;19800;1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769626523
gemini 2.5 flash preview;40;110;2.16;0.02;0.00;0.00;29400000;0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.53,0.21,0.34,0.43,0.34;;1768252037
gemini 2.5 flash lite preview 06 17;49;90;0.00;0.33;0.00;0.00;411000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,1.00,0.02,0.02,0.02;;1767808467
google gemini 2.5 flash preview;37;110;0.00;0.05;0.00;0.00;18900000;0.00,0.00,0.00,0.00,1.00,0.02,0.01,0.01,0.01,0.03,0.01,0.01;;1770116886
gemini-2.5-flash-preview;23;590;0.00;0.00;0.00;0.00;2320000;1.00,0.00,1.00,0.00,0.00,0.00,0.00;;1767222583
gemini-2.5-flash-preview-05-20;51;1900;0.00;0.00;0.00;0.00;285000;0.65,0.65,0.65,0.00,1.00,0.01,0.00;5;1769109091
gemini 2.5 flash-lite preview;38;70;0.00;0.00;0.00;0.00;4160000;0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.01,0.00,0.03,0.00;;1769679807
gemini 2.5 flash-lite preview;45;70;0.00;0.00;0.00;0.00;4160000;0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.01,0.00,0.03,0.00;;1769679807
models/gemini-2.5-flash-image-preview;61;880;0.00;0.00;0.00;0.00;864000;1.00,0.00,0.00;;1772186291
