Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
open ai 3.5;26;30;1.17;0.39;0.00;0.00;530000000;0.45,0.27,1.00,0.81,0.18,0.27,0.09,0.00,0.00,0.00,0.00,0.00;;1771793593
open ai 3.5;31;30;1.17;0.39;0.00;0.00;530000000;0.45,0.27,1.00,0.81,0.18,0.27,0.09,0.00,0.00,0.00,0.00,0.00;;1771793593
gpt3.5 turbo;47;70;0.00;0.08;0.00;0.00;1300000;0.05,0.39,0.07,0.07,0.01,0.11,0.02,0.01,0.00,0.00,0.02,0.02;5;1771895495
gpt-3.5-turbo;43;2400;0.00;0.00;0.00;0.00;7760000;0.05,0.03,0.04,0.35,0.54,1.00,0.00,0.29,0.29,0.35,0.04,0.35;;1772421878
gpt-3.5-turbo-16k;42;210;0.00;0.00;0.00;0.00;273000;0.01,0.00,0.01,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772140416
gpt 3.5 16k;37;50;0.00;0.00;0.00;0.00;5010000;0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.30,0.00;;1770533182
gpt 3.5 16k;61;50;0.00;0.00;0.00;0.00;5010000;0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.30,0.00;;1770533182
gpt3 5;53;110;0.85;0.13;0.00;0.00;3940000;0.24,0.24,0.16,0.00,0.00,0.00,0.00,0.00,0.13,0.06,0.06,0.05;5;1769603832
gpt-3.5 turbo;24;320;0.00;0.00;0.00;0.00;9430000;0.00,0.10,0.01,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00;5;1770332308
gpt-3.5 turbo;29;320;0.00;0.00;0.00;0.00;9430000;0.00,0.10,0.01,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00;5;1770332308
gpt-3.5 turbo;37;320;0.00;0.00;0.00;0.00;9430000;0.00,0.10,0.01,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00;5;1770332308
gpt-3.5 turbo;52;320;0.00;0.00;0.00;0.00;9430000;0.00,0.10,0.01,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00;5;1770332308
gpt-3.5 turbo;57;320;0.00;0.00;0.00;0.00;9430000;0.00,0.10,0.01,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00;5;1770332308
gpt 3.5 turbo;39;480;8.59;0.14;0.00;0.00;7800000;0.36,0.20,0.20,0.36,0.36,0.30,0.36,0.55,0.30,0.24,0.16,0.20;5;1769030449
3.5 turbo;73;90;0.00;0.24;0.00;0.00;269000000;0.17,0.23,0.23,0.23,0.28,0.28,0.23,0.23,0.23,0.17,0.23,0.17;5;1769114827
chatgpt 3.5 turbo;56;30;3.60;0.10;0.00;0.00;9380000;0.05,0.05,0.07,0.07,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02;;1768948120
openai gpt 3.5;68;40;1.35;0.25;0.00;0.00;19000000;0.42,0.09,0.19,0.14,0.33,0.33,0.33,0.09,0.09,0.09,0.09,0.09;;1767583219
