Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
gpt-5-mini;16;4400;0.00;0.00;25.00;0.00;135000000;1.00,1.00,0.19,0.81;;1772532009
gpt 5 mini;9;590;12.45;0.06;12.50;52.85;0;0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,1.00,0.66,0.66,0.66;;1772367375
gpt-5-mini api;14;880;0.00;0.00;8.33;0.00;53400000;1.00,0.00,0.00,0.00;5;1770856409
gpt-5.1 mini;24;140;0.00;0.00;0.00;0.00;12400000;1.00;;1770471876
gpt-5.1 mini;36;140;0.00;0.00;0.00;0.00;12400000;1.00;;1770471876
gpt-5.1 mini;39;140;0.00;0.00;0.00;0.00;12400000;1.00;;1770471876
chatgpt 5 mini;19;90;1.35;0.20;0.00;0.00;475000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.00,0.66,0.22;;1767881071
chat gpt 5 mini;13;40;1.27;0.22;0.00;0.00;142000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.65,0.07,0.07;;1769252784
gpt-5 release chatgpt;49;50;0.00;0.00;0.00;0.00;271000000;1.00,0.00,0.00,0.00;;1772478308
gpt 5 mini;19;590;12.45;0.06;0.00;0.00;0;0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,1.00,0.66,0.66,0.66;;1772367375
gpt 5 mini model;12;90;0.00;0.01;0.00;0.00;186000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.44,1.00,0.03,0.03;;1771399071
gpt-5-mini cost;19;50;0.00;0.00;0.00;0.00;40300000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.80,0.00;;1770531871
gpt5 mini;27;140;3.82;0.03;0.00;0.00;7370000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.54,1.00;;1767882894
gpt5 mini;32;140;3.82;0.03;0.00;0.00;7370000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.54,1.00;;1767882894
gpt-5.1-mini;37;260;0.00;0.00;0.00;0.00;11300000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;5;1769685969
chatgpt 5 mini api;33;40;3.68;0.06;0.00;0.00;113000000;0.80,0.80,1.00,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.00,0.00;;1767882464
gpt-5 api;43;4400;0.00;0.00;0.00;0.00;0;0.66,1.00,0.12,0.35;;1772536113
gpt 5 mini api;24;90;6.33;0.03;0.00;0.00;45100000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.05,0.36;;1767838797
gpt5-mini;19;260;3.82;0.03;0.00;0.00;7300000;0.29,0.35,1.00;;1767528231
gpt-5-nano;72;3600;0.00;0.00;0.00;0.00;27900000;1.00,0.66,0.18,0.66;5;1772535537
openai gpt 5 mini;9;110;1.50;0.15;0.00;0.00;24900000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.23,0.23,0.36,1.00;;1769322388
openai gpt 5 mini;14;110;1.50;0.15;0.00;0.00;24900000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.23,0.23,0.36,1.00;;1769322388
gpt-5-mini pricing;18;170;6.64;0.01;0.00;0.00;148000000;0.03,1.00;;1767937307
