Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
gpt-5 pro;10;5400;0.00;0.00;55.55;0.00;0;1.00,0.81,0.29,0.35;;1772555427
gpt-5-pro;13;1600;0.00;0.00;44.44;0.00;411000000;1.00,0.00,0.55,0.65;;1770462197
gpt 5 pro api;16;210;6.40;0.02;0.00;0.00;91800000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.24,0.55;;1767743780
gpt 5-pro;18;90;1.87;0.06;0.00;0.00;151000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00;;1767790320
gpt 5-pro;19;90;1.87;0.06;0.00;0.00;151000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00;;1767790320
gpt5pro;16;50;4.44;0.12;0.00;0.00;782000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.00,0.00,0.06;;1769233454
gpt5 pro;16;480;4.44;0.12;0.00;0.00;7950000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,1.00,0.36,0.30;;1772565279
gpt5 pro api;19;40;15.61;0.03;0.00;0.00;7020000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.28,1.00,0.00;;1771602431
openai gpt-5 pro pricing;48;70;0.00;0.00;0.00;0.00;18100000;1.00,0.00,0.00,0.00;;1772329302
openai gpt 5 pro;14;70;0.85;0.03;0.00;0.00;52400000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,1.00,0.35,0.23;;1771899301
gpt-5 pro api;18;50;0.00;0.00;0.00;0.00;91800000;0.14,0.14,1.00,0.00;;1769588470
gpt-5 pro api;20;50;0.00;0.00;0.00;0.00;91800000;0.14,0.14,1.00,0.00;;1769588470
openai gpt-5 pro;20;50;0.00;0.00;0.00;0.00;56900000;0.00,0.00,1.00,0.00;;1769595972
gpt5-pro;19;140;1.87;0.06;0.00;0.00;8630000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.81;;1767842655
gpt 5 pro;11;1000;4.44;0.12;0.00;0.00;277000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,1.00,0.35,0.24;;1772215066
