Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
grok-4-fast-search;6;720;0.00;0.00;65.78;0.00;14700000;1.00,0.00,0.00;;1772172213
x-ai/grok-4-fast:free;8;1000;0.00;0.00;13.15;0.00;12500000;1.00,0.00,0.00;;1771934189
grok 4 fast;7;590;1.30;0.07;10.52;38.46;30600000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.44,0.36;;1772474611
grok 4 fast free api;7;70;0.00;0.14;5.26;0.00;9920000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,1.00,0.05;;1769980385
grok 4 fast api;7;40;7.76;0.04;2.63;53.84;12700000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.80,0.07;;1771347981
grok4 fast;5;90;1.30;0.07;2.63;7.69;800000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,1.00,0.00;;1769321922
grok 4 fast free;5;50;1.23;0.09;0.00;0.00;37300000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,1.00,0.05;5;1770322571
grok4fast;7;70;1.30;0.07;0.00;0.00;197000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.00,0.35;;1770283192
grok 4 fast janitor ai;17;140;0.00;0.33;0.00;0.00;119000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.01;;1768233036
grok 4 fast news;25;170;0.00;0.00;0.00;0.00;6160000;1.00,0.00,0.00;;1772247264
grok4 cost;69;720;0.00;0.00;0.00;0.00;23700000;1.00,0.00,0.00,0.00,0.00;5;1770496146
grok fast;24;90;3.77;0.02;0.00;0.00;74000000;0.02,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.17,1.00,0.66,0.53;;1769252302
grok4 api;39;590;7.67;0.07;0.00;0.00;1330000;0.30,0.24,0.76,1.00,0.76,0.55,0.36,1.00,0.16,0.05,0.00,0.00;;1769392947
grok-4-0709;67;590;0.00;0.00;0.00;0.00;23900;1.00,0.00,0.00,0.20,0.00;;1772229501
