Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
grok 4 ai;24;2400;1.17;0.37;100.00;100.00;67000000;0.00,0.00,0.00,0.00,0.00,0.00,0.01,1.00,0.36,0.16,0.16,0.10;;1772275815
grok 4 ai model;88;110;0.00;0.00;0.00;0.00;77500000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.19,0.10,0.12,0.19;;1770357708
grok 4 mini;26;50;0.00;0.01;0.00;0.00;32500000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.52,1.00,0.09,0.09;;1768673549
grok 4 fast api;96;40;7.76;0.04;0.00;0.00;12700000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.80,0.07;;1771347981
vercel ai playground;51;210;4.61;0.17;0.00;0.00;314000;0.54,0.28,0.35,0.28,0.23,1.00,0.28,0.28,0.23,0.15,0.23,0.23;;1771996907
grok ai 4;20;110;1.32;0.21;0.00;0.00;68000000;0.00,0.00,0.00,0.05,0.05,0.17,0.05,1.00,0.82,0.23,0.66,0.28;;1772325601
grok ai 4;40;110;1.32;0.21;0.00;0.00;68000000;0.00,0.00,0.00,0.05,0.05,0.17,0.05,1.00,0.82,0.23,0.66,0.28;;1772325601
grok4 api;30;590;7.67;0.07;0.00;0.00;1330000;0.30,0.24,0.76,1.00,0.76,0.55,0.36,1.00,0.16,0.05,0.00,0.00;;1769392947
grok4 ai;23;140;1.17;0.37;0.00;0.00;1560000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.05,0.35,0.81,0.66;;1771696778
grok 4 api;73;320;6.61;0.05;0.00;0.00;38700000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.20,0.08,0.07,0.08;;1769084262
grok playground;12;70;0.00;0.03;0.00;0.00;3160000;0.29,0.23,0.29,0.29,0.29,0.23,0.29,1.00,0.64,0.29,0.29,0.41;;1770096250
grok4 fast;92;90;1.30;0.07;0.00;0.00;800000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,1.00,0.00;;1769321922
