Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
grok-code-fast-1;16;2900;0.00;0.00;100.00;0.00;13600000;0.54,1.00,0.28,0.01;5;1772283292
is grok code fast 1 good;35;90;0.00;0.02;0.00;0.00;15300000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.35,1.00,0.03;;1769270131
is grok code fast 1 good;45;90;0.00;0.02;0.00;0.00;15300000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.35,1.00,0.03;;1769270131
grok-code-fast-1 model;16;50;0.00;0.00;0.00;0.00;3730000;1.00,0.55,0.00;;1767815735
grok 1 online;33;50;0.00;0.00;0.00;0.00;32900000;0.00,0.11,0.11,0.44,0.11,0.03,0.00,0.03,0.03,0.03,0.03,0.00;;1767717643
grok code fast 1 free;9;70;5.91;0.04;0.00;0.00;10800000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.02,0.02;;1769140750
grok fast code;15;50;5.52;0.23;0.00;0.00;32400000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.26,0.80,1.00,0.00;;1770275837
grok fast;85;90;3.77;0.02;0.00;0.00;74000000;0.02,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.17,1.00,0.66,0.53;;1769252302
grok code fast free;8;30;4.54;0.18;0.00;0.00;14800000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.11,0.11;5;1770046978
grok code fast free;26;30;4.54;0.18;0.00;0.00;14800000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.11,0.11;5;1770046978
grok code 1;28;40;6.25;0.13;0.00;0.00;49500000;0.03,0.03,0.00,0.03,0.07,0.07,0.03,0.03,0.34,1.00,0.26,0.00;;1767880016
grok code fast;15;260;6.03;0.09;0.00;0.00;28600000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,1.00,0.55;;1767924841
