Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
ki mi网页;13;260;0.00;0.00;100.00;0.00;309000000;0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772522991
kimi k2 think;94;90;0.97;0.21;0.00;0.00;658000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;;1771142758
kimi k2 thinking;84;1600;0.97;0.21;0.00;0.00;976000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;;1769125118
kimi k2 free;59;30;1.53;0.30;0.00;0.00;898000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.06,0.06,0.06;;1767588439
kimi k2 thinking:;54;90;0.97;0.21;0.00;0.00;1240000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;5;1771137981
kimi-k2 thinking;45;2900;0.00;0.00;0.00;0.00;1420000;1.00;5;1772580411
k2 thinking;26;590;1.78;0.01;0.00;0.00;14500000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,1.00;;1769257373
ki mi网页;28;260;0.00;0.00;0.00;0.00;309000000;0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772522991
cursor kimi k2 thinking;48;90;0.00;0.04;0.00;0.00;137000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;;1771344237
cursor kimi k2 thinking;57;90;0.00;0.04;0.00;0.00;137000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;;1771344237
kimi2 thinking;68;50;0.97;0.21;0.00;0.00;20800;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;;1772578410
