Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
meta-llama/llama-4-scout-17b-16e-instruct;22;720;0.00;0.03;100.00;0.00;6740;0.79,0.07,1.00,0.04,0.04,0.05,0.05;;1767232730
llama-4-scout-17b-16e-instruct;8;90;0.00;0.00;0.00;0.00;9510;0.00,0.00,0.00,0.00,1.00,0.80,0.07,0.65,0.65,0.00,0.65,0.00;;1770119336
llama-4-scout-17b-16e-instruct;11;90;0.00;0.00;0.00;0.00;9510;0.00,0.00,0.00,0.00,1.00,0.80,0.07,0.65,0.65,0.00,0.65,0.00;;1770119336
llama4 scout;17;110;2.44;0.13;0.00;0.00;264000;0.00,0.00,0.00,0.00,0.80,0.34,1.00,0.03,1.00,0.53,0.80,1.00;;1770553113
meta llama 4 scout;37;30;3.29;0.15;0.00;0.00;1360000;0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.14,1.00,1.00,0.14,0.14;;1768360066
llama 4 scout 17b 16e instruct;14;70;3.90;0.08;0.00;0.00;9920;0.00,0.00,0.00,0.00,0.35,0.78,1.00,0.78,0.78,0.78,0.14,0.50;;1772057789
llama 4 scout;47;880;2.44;0.13;0.00;0.00;23200000;0.00,0.00,0.00,0.00,1.00,0.34,0.44,0.44,0.44,0.34,0.24,0.24;;1770193052
meta llama 4;49;880;2.00;0.13;0.00;0.00;195000000;0.01,0.02,0.02,0.03,1.00,0.10,0.05,0.07,0.04,0.03,0.03,0.04;;1770394911
llama-4-scout;20;70;0.00;0.00;0.00;0.00;13000000;0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.44,0.01;;1770970845
llama scout;26;110;0.00;0.02;0.00;0.00;21700000;0.00,0.00,0.00,0.00,1.00,0.81,0.53,0.65,0.53,0.43,0.43,0.34;;1769413736
