Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
o4-mini;23;3600;0.00;0.00;7.69;0.00;10800000;1.00,0.54,0.10,0.54,0.24,0.44,0.03,0.00;1;1772434924
o4-mini api;15;320;0.00;0.00;1.53;0.00;3310000;0.00,0.00,0.00,1.00,0.00,0.00,0.00;;1771856073
o4 mini api;14;70;0.00;0.33;0.00;0.00;3580000;0.00,0.00,0.00,0.00,1.00,0.28,0.43,0.28,0.05,0.05,0.05,0.05;;1770184926
openai o4-mini;37;260;2.87;0.04;0.00;0.00;1750000;0.00,0.00,0.00,0.01,0.01,0.52,0.00,0.03,0.00,1.00,0.00,0.07;1;1768128713
o4-min;32;480;0.00;0.00;0.00;0.00;13700000;1.00,0.00,0.00,0.00,0.00;1;1767204219
o4-mini model;42;70;0.00;0.00;0.00;0.00;13500000;0.06,0.00,0.00,0.00,1.00,0.02,0.00;;1767848681
openai pricing gpt 4o mini;85;110;0.00;0.33;0.00;0.00;4250000;0.03,0.06,0.03,0.03,0.23,0.06,0.03,0.03,1.00,0.66,0.15,0.03;;1770916219
open ai o4 mini;34;30;2.87;0.04;0.00;0.00;3740000;0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.04,0.14,0.52,0.00,0.00;;1767992518
o4-mini aime benchmark;15;40;0.00;0.00;0.00;0.00;24800;1.00,0.00,0.00;;1767743842
o4-mini aime benchmark;20;40;0.00;0.00;0.00;0.00;24800;1.00,0.00,0.00;;1767743842
o4mini;27;30;2.21;0.01;0.00;0.00;1920000;0.00,0.00,0.00,0.00,0.00,1.00,0.50,0.35,0.28,0.00,0.00,0.00;5;1767647705
openai o4 mini;32;260;2.87;0.04;0.00;0.00;1790000;0.00,0.00,0.01,0.02,0.01,1.00,0.36,0.44,1.00,0.66,0.54,0.05;1;1768569069
