Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
qwen3-coder-480b-a35b-instruct;31;2400;0.00;0.00;100.00;0.00;27200;1.00,1.00,0.00,0.05,0.54;;1772064100
qwen coder 3;31;210;4.83;0.06;0.00;0.00;1860000;0.00,0.00,0.00,0.00,0.01,0.01,0.04,0.20,1.00,0.10,0.08,0.08;;1772283302
qwen coder api;53;1000;4.18;0.29;0.00;0.00;1240000;0.82,0.24,1.00,0.55,0.24,0.55,0.24,0.24,0.24,0.00,0.00,0.00;;1769932594
qwen 3 instruct;39;50;0.00;0.01;0.00;0.00;2740000;0.00,0.00,0.00,0.00,0.28,0.05,1.00,0.05,0.00,0.00,0.05,0.00;;1771940038
qwen3 coder pricing;10;30;4.93;0.21;0.00;0.00;2120000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,1.00,0.11,0.11,0.11;;1769321021
qwen3 coder pricing;14;30;4.93;0.21;0.00;0.00;2120000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,1.00,0.11,0.11,0.11;;1769321021
qwen3 coder 480b a35b;36;110;3.25;0.07;0.00;0.00;23800;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,1.00,0.43,1.00,0.04;;1769138925
qwen/qwen3-coder;39;480;0.00;0.00;0.00;0.00;920000;1.00,0.00,0.00,0.00;;1769568419
qwen3 coder 480b;40;70;3.00;0.07;0.00;0.00;86200;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.53,0.53,1.00;;1767989057
qwen3 coder 480b a35b instruct;29;140;3.45;0.03;0.00;0.00;25100;0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.66,0.35,0.28,0.35;;1770224119
qwen/qwen3-coder-480b-a35b-instruct;30;590;0.00;0.00;0.00;0.00;23900;1.00,0.00,0.00,0.00,0.00;;1772058099
qwen3-coder-480b-a35b;35;390;0.00;0.00;0.00;0.00;30200;0.00,1.00,0.00,0.00,0.00;;1770466681
qwen3coder;33;110;3.22;0.15;0.00;0.00;1950000;0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.02,1.00,0.54,0.05,0.09;5;1767656491
qwen3 coder api;14;70;4.06;0.28;0.00;0.00;3140000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.35,0.04,0.04,0.04;;1772286394
qwen3 coder api;22;70;4.06;0.28;0.00;0.00;3140000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.35,0.04,0.04,0.04;;1772286394
qwen 3 coder;36;590;3.91;0.17;0.00;0.00;6830000;0.00,0.00,0.00,0.00,0.03,0.08,0.13,1.00,0.79,0.41,0.24,0.16;;1770503566
