Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
qwen3-max;15;4400;0.00;0.00;54.54;0.00;2360000;0.01,0.66,1.00;;1772448739
qwen3-max;28;4400;0.00;0.00;27.27;0.00;2360000;0.01,0.66,1.00;;1772448739
qwen3 max;14;480;2.84;0.11;18.18;100.00;1650000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,1.00;5;1767367181
qwen 3 max;46;210;2.84;0.11;0.00;0.00;6490000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,1.00;5;1768549769
qwen3max;46;140;2.38;0.13;0.00;0.00;79900;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,1.00,0.44;;1769321236
qwen3 max preview;19;90;3.00;0.08;0.00;0.00;1560000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.03,0.10;;1769138227
qwen3 license;46;390;0.00;0.05;0.00;0.00;371000;0.00,0.00,0.00,0.00,0.00,0.20,1.00,0.02,0.00,0.00,0.00,0.00;;1767588305
qwen3 api;62;210;0.00;0.00;0.00;0.00;4330000;0.00,0.00,0.00,0.00,0.54,0.66,1.00,0.66,0.66,0.54,0.35,0.15;;1772396047
qwen3-max-preview;44;2400;0.00;0.00;0.00;0.00;470000;1.00,0.04,0.00;;1772521173
qwen3-max-preview;64;2400;0.00;0.00;0.00;0.00;470000;1.00,0.04,0.00;;1772521173
qwen max;44;720;1.84;0.02;0.00;0.00;6890000;0.05,0.41,1.00,0.36,0.13,0.07,0.05,0.07,0.07,0.36,0.54,0.20;5;1770153962
qwen max api;42;40;3.44;0.10;0.00;0.00;2310000;0.12,0.28,0.12,0.12,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05;;1768363249
