Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
text-embedding-3-large;17;3600;0.00;0.00;100.00;0.00;52800000;0.05,0.05,0.07,0.81,0.81,0.66,1.00,1.00,0.36,0.66,0.19,0.66;;1772392219
3 large;17;70;0.00;0.00;0.00;0.00;7370000000;0.18,0.18,0.18,1.00,1.00,0.18,1.00,0.63,0.81,0.63,0.63,0.63;5;1771615569
openai text-embedding-3-large;17;140;0.00;0.00;0.00;0.00;12300000;0.02,0.02,0.02,0.02,0.01,0.15,0.15,0.00,0.00,0.44,1.00,0.01;;1771902450
text embeddings 3 large;17;40;0.00;0.04;0.00;0.00;7220000;0.11,1.00,0.11,0.82,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1768884488
text embedding 3 large pricing;18;140;0.00;0.01;0.00;0.00;48700000;0.01,0.01,0.08,0.03,0.13,0.01,0.05,0.01,0.01,1.00,0.01,0.01;;1770525194
large 3;42;70;0.00;0.00;0.00;0.00;8790000000;0.14,0.14,0.14,0.78,0.78,0.14,0.78,0.50,0.50,0.50,0.50,0.50;5;1770195506
text embedding 3 large;17;210;2.91;0.01;0.00;0.00;61100000;0.15,0.01,0.00,0.00,0.11,0.23,0.54,0.23,1.00,1.00,0.81,0.35;;1768483128
text-embedding-3-small vs text-embedding-3-large;37;260;0.00;0.33;0.00;0.00;53400000;0.00,0.00,0.01,0.00,0.00,0.02,0.00,1.00,0.00,0.00,0.00,0.02;;1768031887
text-embedding-3-large pricing;20;210;0.00;0.00;0.00;0.00;50900000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00;;1770200197
text-embedding-3-large pricing;29;210;0.00;0.00;0.00;0.00;50900000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00;;1770200197
text-embedding-3-large dimensions;45;260;0.00;0.01;0.00;0.00;47400000;0.02,0.02,0.07,0.07,0.03,0.05,1.00,0.00,0.00,0.00,0.00,0.00;;1767675669
openai text embedding 3 large;21;50;3.88;0.02;0.00;0.00;12200000;0.00,0.00,0.00,0.11,0.00,0.17,0.17,0.64,0.64,1.00,0.00,0.64;;1769293126
