Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
text-embedding-3-small;18;4400;0.00;0.00;100.00;0.00;52600000;0.04,0.05,0.07,0.81,0.54,0.81,1.00,0.66,0.54,0.81,0.16,0.66;;1772370411
text embedding 3 small embedding size;27;70;0.00;0.02;0.00;0.00;52400000;1.00,0.41,0.41,1.00,0.52,0.23,0.11,1.00,0.11,0.23,0.11,0.11;;1772390666
text embedding 3 small embedding size;42;70;0.00;0.02;0.00;0.00;52400000;1.00,0.41,0.41,1.00,0.52,0.23,0.11,1.00,0.11,0.23,0.11,0.11;;1772390666
text embedding 3 small token limit;48;70;0.00;0.33;0.00;0.00;4610000;0.64,1.00,0.11,0.82,0.11,0.11,0.11,0.11,1.00,0.11,0.00,0.11;;1769231958
openai text embedding 3 small;24;90;10.81;0.02;0.00;0.00;13200000;0.28,0.35,0.35,0.50,0.50,0.64,0.78,1.00,1.00,0.78,0.00,0.78;;1769113856
text embedding 3 small dimension;51;40;0.00;0.03;0.00;0.00;39800000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,1.00,0.18,0.18;;1769303229
text embedding 3 small openai;28;70;0.00;0.02;0.00;0.00;8550000;0.07,0.34,0.34,0.07,0.07,0.07,0.53,1.00,0.07,0.07,0.07,0.07;;1772390785
text-embedding-3-small vs text-embedding-3-large;66;260;0.00;0.33;0.00;0.00;53400000;0.00,0.00,0.01,0.00,0.00,0.02,0.00,1.00,0.00,0.00,0.00,0.02;;1768031887
text embedding 3 small dimensions;55;70;0.00;0.02;0.00;0.00;46000000;0.36,0.63,0.45,0.63,0.45,0.63,0.63,0.81,0.63,1.00,0.00,0.63;;1769232268
openai text-embedding-3-small;32;210;0.00;0.00;0.00;0.00;9200000;0.01,0.02,0.01,0.00,0.03,0.00,1.00,0.00,0.00,0.00,0.04,0.00;;1769067178
text embedding 3 small;18;390;3.83;0.02;0.00;0.00;50600000;0.36,0.15,0.01,0.54,0.81,0.81,0.81,1.00,1.00,0.81,0.12,0.66;;1769809925
text embedding 3 small pricing;34;40;4.60;0.11;0.00;0.00;47500000;0.09,0.09,0.45,0.18,0.18,0.18,0.18,0.18,1.00,1.00,0.00,0.18;;1769305044
text embedding small 3;24;50;0.00;0.33;0.00;0.00;56100000;0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,1.00,0.05;;1770783939
