Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel blog;1;260;0.00;0.01;80.93;0.00;10700000;0.23,0.44,0.54,0.54,0.35,0.44,0.54,0.54,0.54,0.54,0.54,0.44;6;1772459948
vercel news;4;4400;0.00;0.00;8.56;0.00;7060000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,1.00,0.10;4;1772446423
blog de pelis;25;14800;2.65;0.00;8.56;96.66;17500000;0.54,0.54,0.24,0.44,0.29,0.54,0.54,0.44,0.36,0.36,0.54,0.44;5;1772282510
f1 live.vercel;7;110;0.00;0.33;1.16;0.00;16700;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,1.00,0.66;;1771657735
blogdepelis;21;720;2.65;0.00;0.38;3.33;18200000;0.08,0.15,0.36,0.19,0.01,0.19,0.05,0.01,0.07,0.03,0.00,0.19;5;1769657862
blog de pelis top;9;70;0.00;0.33;0.38;0.00;17800000;0.07,0.65,0.07,0.26,0.07,1.00,0.07,0.07,0.34,0.07,0.00,0.00;5;1769174032
pipe flattening tool;62;30;1.33;0.60;0.00;0.00;1090000;0.09,0.09,0.09,0.52,0.09,0.09,0.14,0.09,0.09,0.09,0.09,0.09;5;1771780537
aws sdk credential provider node;49;70;0.00;0.33;0.00;0.00;1630000;0.04,0.04,1.00,0.08,0.04,0.04,0.04,0.04,0.04,0.35,0.04,0.04;;1772089890
aws sdk credential provider node;56;70;0.00;0.33;0.00;0.00;1630000;0.04,0.04,1.00,0.08,0.04,0.04,0.04,0.04,0.04,0.35,0.04,0.04;;1772089890
how do you find bloggers;34;140;1.80;0.04;0.00;0.00;4340000000;0.80,0.66,1.00,0.33,0.52,0.80,0.80,0.42,0.33,0.66,0.80,0.19;;1770745610
chickfila twitter;51;90;0.00;0.00;0.00;0.00;8090000;0.01,0.03,0.03,0.01,0.01,0.02,0.13,0.03,0.01,0.02,0.01,0.01;;1769390668
why do i randomly hiccup once;62;50;0.00;0.00;0.00;0.00;3400000;0.50,0.35,0.50,0.21,0.50,0.50,0.50,0.28,0.35,0.50,0.50,0.35;;1771902525
vercel ai sdk github;80;140;0.00;0.00;0.00;0.00;2060000;0.80,0.33,0.42,0.52,0.66,0.66,0.66,0.80,0.80,0.80,0.80,0.66;;1768563912
react blog;72;210;0.00;0.01;0.00;0.00;293000000;0.43,0.43,0.66,0.43,0.54,0.43,0.29,0.35,1.00,0.43,0.54,0.22;;1772229516
blogsite web application features;50;40;0.00;0.00;0.00;0.00;468000;0.22,1.00,0.22;;1770499505
vercel ai accelerator;11;110;8.47;0.08;0.00;0.00;832000;0.04,0.06,0.06,0.04,0.10,0.22,0.81,1.00,0.10,0.08,0.04,0.08;;1770473676
vercel ai accelerator;23;110;8.47;0.08;0.00;0.00;832000;0.04,0.06,0.06,0.04,0.10,0.22,0.81,1.00,0.10,0.08,0.04,0.08;;1770473676
where do you find blogs;57;110;1.80;0.06;0.00;0.00;480000000;0.64,1.00,1.00,1.00,0.78,0.64,0.50,0.64,0.64,0.50,0.64,0.78;;1769801071
vlog de pelis;16;210;2.65;0.00;0.00;0.00;18100000;0.01,0.06,0.00,0.13,0.00,0.00,0.00,0.00,1.00,0.00,0.45,0.00;5;1770483784
sqlagent;92;70;5.83;0.04;0.00;0.00;252000;0.14,0.09,0.00,0.80,0.14,0.66,0.66,1.00,0.09,0.09,0.00,0.04;;1772259471
chick fil a gateway;45;590;0.42;0.05;0.00;0.00;1100000;1.00,0.30,0.16,0.36,0.36,0.36,0.36,0.36,0.36,0.30,0.30,0.24;3;1769390563
codex javascript sandbox;59;50;0.00;0.33;0.00;0.00;194000;0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.10;;1771242761
prompt expansion company dx;51;70;0.00;0.00;0.00;0.00;2330000;0.44,1.00;;1771743399
landing page blogspot;28;50;5.66;0.33;0.00;0.00;2320000;0.21,0.14,0.14,0.78,0.50,0.64,0.50,0.35,0.35,0.28,0.14,0.14;1;1770556364
blog de pels;31;90;2.65;0.00;0.00;0.00;17100000;0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771359108
openal academy prompt pack;53;2400;0.00;0.00;0.00;0.00;244000;1.00;;1772000745
stripe sandboxes;63;170;5.49;0.12;0.00;0.00;131000;1.00,0.00,0.29,0.00,0.35,0.10,0.43,0.81,0.35,0.43,0.35,0.29;;1770569360
override software rendering list;49;140;0.00;0.00;0.00;0.00;7260000;0.34,0.65,0.34,0.53,0.42,0.34,0.53,0.42,0.53,0.53,0.53,0.80;;1771718606
override software rendering list;59;140;0.00;0.00;0.00;0.00;7260000;0.34,0.65,0.34,0.53,0.42,0.34,0.53,0.42,0.53,0.53,0.53,0.80;;1771718606
/blog;91;390;0.00;0.00;0.00;0.00;5800000000;0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.00,0.00;1;1770990212
snowflake select from stage;98;70;0.00;0.33;0.00;0.00;4420000;0.29,0.29,0.41,0.52,0.41,0.41,0.41,0.41,0.41,0.41,0.11,0.11;;1771347394
