Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
agents.md;4;1000;6.58;0.02;43.91;53.71;477000000;0.00,0.08,0.02,0.02,0.00,0.07,0.65,0.00,1.00,0.36,0.16,0.20;;1771079709
agent.md file;13;1000;0.00;0.00;3.37;0.00;156000000;1.00,0.00,0.00;;1772142990
agents md;11;390;6.58;0.02;0.67;0.75;539000000;0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.24,1.00,0.62,0.62,0.20;;1771660173
vercel agents;2;50;6.95;0.08;0.67;0.75;2890000;0.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,1.00,0.64;;1770880004
vercel agent;2;70;5.73;0.07;0.67;0.62;4960000;0.33,0.09,0.09,0.09,0.80,0.09,0.09,0.09,0.09,1.00,0.80,0.52;;1772044889
the prompt index;65;50;0.00;0.03;0.00;0.00;193000000;0.09,0.09,0.09,0.33,0.09,0.09,0.80,0.09,0.09,1.00,0.09,0.09;1;1771994323
md integrations;84;320;13.81;0.52;0.00;0.00;42700000;0.12,0.10,0.23,0.36,0.29,0.15,0.29,0.44,0.36,0.44,1.00,0.44;;1769946513
nextjs apis;55;30;6.21;0.02;0.00;0.00;25100000;0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1770324658
nextjs apis;96;30;6.21;0.02;0.00;0.00;25100000;0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1770324658
ci en gao;47;40;0.00;0.33;0.00;0.00;58000000;0.63,0.63,0.27,0.45,0.36,0.45,0.18,0.36,0.18,0.18,0.18,0.18;1,5;1770717913
ci en gao;52;40;0.00;0.33;0.00;0.00;58000000;0.63,0.63,0.27,0.45,0.36,0.45,0.18,0.36,0.18,0.18,0.18,0.18;1,5;1770717913
canary tests;77;170;3.29;0.02;0.00;0.00;53200000;0.00,0.01,0.01,0.02,0.02,0.05,0.04,0.62,0.20,0.13,0.05,0.06;;1770500627
nextjs externals;19;50;0.00;0.33;0.00;0.00;17900000;0.78,0.28,0.50,0.14,0.50,1.00,0.14,0.14,0.14,0.14,0.14,0.14;;1771055008
