Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
rox.ai products website;20;1000;0.00;0.00;8.33;0.00;7790000;0.18,0.00,0.00,0.00,0.02,0.00,0.02,0.35,1.00;;1772107134
rox sales;51;30;11.73;0.25;0.00;0.00;6210000;1.00,0.55,0.22,0.11,0.44,0.00,0.44,0.00,0.22,0.22,0.44,0.33;;1767972758
rox startup;13;70;13.07;0.03;0.00;0.00;636000;0.64,0.11,0.11,0.23,0.41,0.23,0.11,0.11,0.23,0.41,0.82,1.00;;1768028230
rox startup;21;70;13.07;0.03;0.00;0.00;636000;0.64,0.11,0.11,0.23,0.41,0.23,0.11,0.11,0.23,0.41,0.82,1.00;;1768028230
rox.ai products website;30;1000;0.00;0.00;0.00;0.00;7790000;0.18,0.00,0.00,0.00,0.02,0.00,0.02,0.35,1.00;;1772107134
rox ai logo;13;40;0.00;0.33;0.00;0.00;9610000;0.00,0.11,0.11,0.41,0.11,0.23,0.11,0.41,1.00,0.11,0.11,0.11;5;1769297956
$rox;75;1300;2.82;0.00;0.00;0.00;42700000;0.16,0.01,0.29,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;1;1771510166
vercel arr;40;70;0.00;0.33;0.00;0.00;76800;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,1.00,1.00,0.64,1.00;;1767488408
vercel arr;57;70;0.00;0.33;0.00;0.00;76800;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,1.00,1.00,0.64,1.00;;1767488408
rox company;34;70;0.00;0.01;0.00;0.00;53200000;0.11,0.11,0.11,0.11,0.11,0.64,0.29,0.52,1.00,0.82,0.82,0.41;;1770272576
rox pricing;17;40;0.00;0.33;0.00;0.00;2010000;0.82,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1771950342
rox.com website information;84;480;0.00;0.00;0.00;0.00;8820000;1.00;;1769302858
rox crm;42;40;10.72;0.29;0.00;0.00;252000;1.00,1.00,0.57,1.00,0.71,0.57,0.28,0.28,0.71,0.57,0.71,0.28;;1772267067
.rox;65;70;2.82;0.00;0.00;0.00;55900000;0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;1,5;1770207225
vercel revenue;28;320;0.00;0.00;0.00;0.00;535000;0.35,0.54,0.54,0.44,0.54,0.44,0.35,1.00,0.81,0.66,0.81,0.54;5;1769390447
rox platform;17;50;0.00;0.33;0.00;0.00;3430000;0.82,0.11,0.82,0.11,0.23,0.11,1.00,0.11,0.11,0.11,0.11,0.11;;1771250337
