Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel design system;4;110;0.00;0.02;100.00;0.00;4780000;0.41,0.29,0.29,1.00,1.00,0.82,0.41,0.64,0.82,0.41,0.52,0.64;5;1767329709
vercel ui;53;110;6.38;0.15;0.00;0.00;8170000;0.41,0.41,0.41,0.52,0.41,0.41,0.64,1.00,0.82,0.82,0.41,0.64;;1770870658
what is an ai prototype generator;74;170;0.00;0.00;0.00;0.00;8090000;1.00,1.00;;1767770286
vercel ai ui generator;9;40;0.00;0.43;0.00;0.00;104000;0.11,0.23,0.82,0.64,0.41,0.11,0.23,0.11,0.00,0.11,0.11,0.11;6;1771399522
vercel ai ui generator;13;40;0.00;0.43;0.00;0.00;104000;0.11,0.23,0.82,0.64,0.41,0.11,0.23,0.11,0.00,0.11,0.11,0.11;;1771399522
design system ai;15;30;4.93;0.76;0.00;0.00;1650000000;0.40,0.40,0.80,0.40,0.40,0.60,0.60,0.60,0.60,0.60,0.40,0.40;;1767977699
v0 ai design;24;30;6.65;0.36;0.00;0.00;56700000;1.00,0.28,0.28,0.71,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28;;1767603830
system design ai tool;70;30;4.65;0.93;0.00;0.00;734000000;0.40,0.80,0.60,1.00,0.80,0.60,0.80,0.60,0.60,0.60,0.40,0.40;;1770738936
prototype ai;54;70;5.37;0.66;0.00;0.00;132000000;0.29,0.17,0.23,0.29,1.00,1.00,0.29,0.11,0.11,0.29,0.23,0.41;;1769890803
v0 prototype;67;50;5.16;0.18;0.00;0.00;7980000;0.05,0.05,0.11,0.11,0.82,1.00,0.11,0.64,0.11,0.11,0.11,0.11;;1770489974
infrastructure for rapid iteration on ai prototypes;38;50;0.00;0.00;0.00;0.00;2590000;0.00,1.00,0.63,0.27;;1769242233
infrastructure for rapid iteration on ai prototypes;74;50;0.00;0.00;0.00;0.00;2590000;0.00,1.00,0.63,0.27;;1769242233
v0 design system;8;50;7.22;0.05;0.00;0.00;71900000;0.41,0.23,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.11;5;1767487088
design prototypes;64;70;5.32;0.22;0.00;0.00;32000000;0.00,0.03,0.81,0.15,0.06,1.00,0.03,0.00,0.00,0.09,0.09,0.06;;1769612320
ai design system;24;70;4.01;0.52;0.00;0.00;1650000000;0.09,0.19,0.33,0.23,0.23,0.33,0.80,0.23,0.23,0.09,1.00,0.23;5;1770534252
ai design system;41;70;4.01;0.52;0.00;0.00;1650000000;0.09,0.19,0.33,0.23,0.23,0.33,0.80,0.23,0.23,0.09,1.00,0.23;5;1770534252
how ai helps with design prototyping;17;50;0.00;0.00;0.00;0.00;32200000;0.27,1.00,0.00;;1769996382
ai design systems;14;30;4.51;0.66;0.00;0.00;1630000000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.27,1.00,0.18,0.09,0.18;;1767602764
ai prototype;28;110;4.86;0.64;0.00;0.00;128000000;0.09,0.23,0.52,0.66,0.66,0.66,0.52,0.52,0.33,1.00,0.66,0.33;;1771928783
ai prototype;43;110;4.86;0.64;0.00;0.00;128000000;0.09,0.23,0.52,0.66,0.66,0.66,0.52,0.52,0.33,1.00,0.66,0.33;;1771928783
