Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel ai sdk ui;7;1000;6.32;0.08;60.00;67.27;1850000;0.34,0.34,0.34,1.00,0.34,0.34,0.34,0.34,0.34,0.00,0.03,0.00;;1770325438
vercel generative ui;2;30;6.10;0.21;30.00;32.72;614000;0.21,0.35,0.28,0.35,0.28,0.14,0.14,0.14,0.14,0.14,0.14,0.14;5;1770787583
sdk 3.0;8;90;0.00;0.01;10.00;0.00;55700000;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.00,0.02,0.02;;1767862868
generative ui;13;590;3.24;0.26;0.00;0.00;91300000;0.26,0.32,0.39,0.48,0.39,0.39,0.88,0.72,0.39,0.59,0.72,1.00;;1770221228
vercel ui;23;110;6.38;0.15;0.00;0.00;8170000;0.41,0.41,0.41,0.52,0.41,0.41,0.64,1.00,0.82,0.82,0.41,0.64;;1770870658
ai sdk elements;20;50;9.47;0.06;0.00;0.00;23300000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.09,1.00;;1771164220
weather maps ai vercel app;73;210;0.00;0.00;0.00;0.00;34800;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771233317
vo vercel ai;50;50;7.01;0.31;0.00;0.00;46900;0.11,0.11,0.11,0.52,0.23,1.00,0.52,0.11,0.23,0.11,0.11,0.41;;1770231246
vercel ai sdk image generation;59;40;0.00;0.33;0.00;0.00;178000;0.50,0.50,0.14,0.28,0.14,0.14,0.14,1.00,0.28,0.14,0.14,0.14;5;1769307504
vercel ai elements react ui integration;41;260;0.00;0.04;0.00;0.00;187000;0.44,0.54,0.44,0.81,1.00,0.81,0.44,0.66,0.44,0.00,0.00,0.00;;1772061028
weather maps ai vercel;38;210;0.00;0.00;0.00;0.00;26100;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771438315
gen ai sdk;55;30;6.52;0.14;0.00;0.00;47500000;0.22,1.00,1.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22;;1769317460
generative ui tools;31;50;3.95;0.63;0.00;0.00;0;0.64,0.14,0.14,0.14,0.14,1.00,0.50,0.14,0.78,0.14,0.14,0.14;;1772314359
vercel.vo;96;320;7.67;0.11;0.00;0.00;314000;0.53,0.65,0.81,1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81;;1767358351
ai generative ui;23;30;4.06;0.46;0.00;0.00;59200000;0.22,1.00,0.22,0.22,0.22,0.22,0.22,0.77,0.22,0.22,0.22,0.22;;1767880950
vercel ai elements;23;140;0.00;0.03;0.00;0.00;946000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.36,1.00;;1767881268
versel ai;17;320;6.11;0.19;0.00;0.00;13000000;0.48,0.39,0.48,0.21,0.00,0.11,0.39,0.48,1.00,0.00,0.07,0.59;;1767661900
vercel aisdk;84;30;7.06;0.02;0.00;0.00;2480000;0.11,0.00,0.00,1.00,0.00,0.00,0.55,0.44,0.55,0.00,0.55;;1767853643
vercel.ai;23;30;6.24;0.30;0.00;0.00;17900000;0.77,0.77,0.77,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1768628836
vercel ai components;11;50;11.98;0.07;0.00;0.00;2460000;0.12,0.12,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1.00,0.06,0.06;;1767913531
vercel streamdown;86;40;0.00;0.33;0.00;0.00;5150;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.65,0.07,0.00;;1769308003
vercel ai sdk docs;99;50;0.00;0.33;0.00;0.00;1560000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,1.00,0.11,0.11;;1769248754
vercel ai;29;2900;6.24;0.30;0.00;0.00;12300000;0.44,0.66,0.66,1.00,0.66,0.80,0.66,1.00,1.00,0.80,0.80,0.66;;1772188312
ai sdk ui;43;70;5.52;0.17;0.00;0.00;86600000;0.04,0.04,0.04,0.04,0.04,0.09,1.00,0.09,0.80,0.80,0.52,0.80;5;1772058331
v0 sdk;5;70;5.94;0.05;0.00;0.00;8620000;0.06,0.12,0.06,0.06,0.12,0.06,0.06,1.00,0.43,0.34,0.34,0.06;;1772225604
vercel stock price;57;50;0.00;0.33;0.00;0.00;460000;0.11,0.11,0.11,0.11,0.23,0.11,0.17,0.11,0.11,1.00,0.64,1.00;;1767968571
