Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel ai sdk mcp;3;170;0.00;0.01;59.09;0.00;611000;0.00,0.06,0.06,1.00,0.65,0.81,0.34,0.81,0.53,0.34,0.81,0.28;6;1769583394
ai sdk mcp;5;210;6.48;0.02;40.90;100.00;43600000;0.00,0.00,0.00,0.03,1.00,0.20,0.16,0.16,0.08,0.16,0.10,0.10;;1767286792
temperature data map vercel;17;210;0.00;0.00;0.00;0.00;46400;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772410657
temperature data map vercel;21;210;0.00;0.00;0.00;0.00;46400;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772410657
langgraph vercel ai sdk;63;50;0.00;0.02;0.00;0.00;20400;1.00,0.64,0.82,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1770194033
vercel mcp claude code;76;70;0.00;0.02;0.00;0.00;558000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,1.00,0.10,0.43,0.10;;1772413261
ai-powered search engine vercel;61;210;0.00;0.00;0.00;0.00;322000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769389173
open source ai claude vercel;41;260;0.00;0.00;0.00;0.00;169000;1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1767777116
vercel ai sdk deepseek;95;90;0.00;0.03;0.00;0.00;62200;0.00,1.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02;;1769119532
versel ai;69;320;6.11;0.19;0.00;0.00;13000000;0.48,0.39,0.48,0.21,0.00,0.11,0.39,0.48,1.00,0.00,0.07,0.59;;1767661900
vercel aisdk;50;30;7.06;0.02;0.00;0.00;2480000;0.11,0.00,0.00,1.00,0.00,0.00,0.55,0.44,0.55,0.00,0.55;;1767853643
vercel ai components;56;50;11.98;0.07;0.00;0.00;2460000;0.12,0.12,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1.00,0.06,0.06;;1767913531
vercel chat sdk;82;110;0.00;0.01;0.00;0.00;1260000;0.00,0.03,0.00,0.03,0.80,1.00,0.65,1.00,0.80,0.53,0.42,0.42;;1768889470
vercel ai sdk 5;90;70;0.00;0.02;0.00;0.00;1560000;0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.53,1.00,0.34,0.34;;1767876025
vercel ai sk;55;50;7.06;0.02;0.00;0.00;191000;0.44,0.44,0.77,0.77,0.77,1.00,1.00,0.00,0.44,0.55,0.00,0.00;;1767442048
vercel ai;70;2900;6.24;0.30;0.00;0.00;12300000;0.44,0.66,0.66,1.00,0.66,0.80,0.66,1.00,1.00,0.80,0.80,0.66;;1772188312
vercel ai;94;2900;6.24;0.30;0.00;0.00;12300000;0.44,0.66,0.66,1.00,0.66,0.80,0.66,1.00,1.00,0.80,0.80,0.66;;1772188312
vercel ai mcp;4;40;0.00;0.02;0.00;0.00;2720000;0.00,0.00,0.00,0.64,0.29,1.00,0.11,0.11,0.11,0.11,0.11,0.11;;1768324747
