Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
artificial intelligence sdk;4;2400;5.72;0.11;38.00;46.24;8790000;0.10,0.16,0.16,0.66,0.66,0.44,0.53,0.00,0.05,0.53,1.00,0.81;;1772450228
vercel ai sdk ui;3;1000;6.32;0.08;12.00;16.02;1850000;0.34,0.34,0.34,1.00,0.34,0.34,0.34,0.34,0.34,0.00,0.03,0.00;;1770325438
ai sdk vercel;9;480;5.77;0.05;7.33;8.93;2550000;0.29,0.44,0.54,0.54,0.54,0.54,0.66,0.81,1.00,0.66,0.66,0.66;;1769540783
vercel sdk;6;260;8.51;0.04;6.00;10.78;3230000;0.28,0.82,0.53,0.43,0.53,0.53,0.66,1.00,0.82,0.53,1.00,0.82;;1772255071
ai 6;2;110;3.52;0.02;6.00;4.39;8440000000;0.19,0.19,0.42,0.34,0.34,0.34,0.26,0.26,1.00,0.65,0.42,0.15;5;1767228596
ai-sdk-tools;6;210;6.66;0.08;4.66;6.52;93900000;0.03,0.03,0.05,0.10,0.15,0.15,0.15,0.15,0.23,0.23,0.54,1.00;;1767678051
agents sdk news;2;170;0.00;0.00;4.66;0.00;14900000;0.28,1.00,0.00;;1767740456
vercel ai sdk mcp;6;170;0.00;0.01;3.33;0.00;611000;0.00,0.06,0.06,1.00,0.65,0.81,0.34,0.81,0.53,0.34,0.81,0.28;6;1769583394
weather maps ai vercel;8;210;0.00;0.00;3.33;0.00;26100;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771438315
ai-sdk;24;2400;0.00;0.00;2.00;0.00;92700000;0.13,0.07,0.07,0.00,0.28,0.43,0.43,0.54,1.00,0.54,0.15,0.66;;1772394995
ai sdk react;5;140;7.63;0.06;2.00;3.12;38600000;0.03,0.03,0.11,0.42,0.53,0.65,0.65,0.53,0.65,1.00,0.80,0.65;;1767649722
artificial intelligence sdk;20;2400;5.72;0.11;2.00;2.41;8790000;0.10,0.16,0.16,0.66,0.66,0.44,0.53,0.00,0.05,0.53,1.00,0.81;;1772450228
langgraph vercel ai sdk;5;50;0.00;0.02;1.33;0.00;20400;1.00,0.64,0.82,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1770194033
ai sdk github;6;210;0.00;0.00;1.33;0.00;92200000;0.03,0.03,0.18,0.35,0.35,0.28,0.35,0.44,1.00,0.44,0.23,0.44;;1767379721
ai sdk anthropic;8;110;0.00;0.02;1.33;0.00;4040000;0.03,0.03,0.03,0.53,0.26,1.00,0.65,0.65,0.65,0.34,0.26,0.34;6;1769108013
vercel ai sdk github;4;140;0.00;0.00;0.66;0.00;2060000;0.80,0.33,0.42,0.52,0.66,0.66,0.66,0.80,0.80,0.80,0.80,0.66;;1768563912
ai sdk tools;8;70;6.07;0.09;0.66;0.85;128000000;0.03,0.07,0.11,0.19,0.19,0.19,0.19,0.26,0.26,0.53,0.00,1.00;6;1769250786
vercel ai sdk documentation;5;40;0.00;0.02;0.66;0.00;1200000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00,0.18,0.18;6;1769306237
vercel ai sdk tools;9;70;0.00;0.02;0.66;0.00;1780000;0.10,0.04,1.00,0.04,0.04,0.22,0.04,0.04,0.22,0.04,0.04,0.04;;1769601779
vercel ai sdk docs;6;50;0.00;0.33;0.66;0.00;1560000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,1.00,0.11,0.11;;1769248754
ai sdk ui;7;70;5.52;0.17;0.66;0.70;86600000;0.04,0.04,0.04,0.04,0.04,0.09,1.00,0.09,0.80,0.80,0.52,0.80;5;1772058331
ai-sdk/anthropic;7;70;0.00;0.00;0.66;0.00;4350000;0.27,0.36,0.45,0.81,0.45,0.81,0.63,0.81,1.00,0.81,1.00,0.00;;1769587372
shell in fortune 500;72;50;0.00;0.33;0.00;0.00;6430000;0.23,0.41,0.11,0.11,0.11,0.64,0.52,0.11,1.00,0.11,0.11,0.11;;1769244953
shell in fortune 500;92;50;0.00;0.33;0.00;0.00;6430000;0.23,0.41,0.11,0.11,0.11,0.64,0.52,0.11,1.00,0.11,0.11,0.11;;1769244953
define barg;75;70;0.00;0.00;0.00;0.00;218000;0.63,0.63,0.45,0.45,1.00,0.81,0.81,0.63,1.00,0.81,0.63,0.63;;1770299548
streamtext login;39;110;0.00;0.00;0.00;0.00;8450;0.19,0.53,0.53,0.34,0.65,0.42,0.34,0.26,0.11,0.34,0.53,0.42;;1771109826
typescript for loop;93;1300;0.00;0.00;0.00;0.00;19700000;0.54,0.66,0.66,0.54,0.54,0.41,0.41,0.41,0.36,0.36,0.36,0.36;;1769026736
mcp typescript sdk;36;260;3.52;0.05;0.00;0.00;15100000;0.00,0.00,0.02,0.43,0.66,1.00,0.66,1.00,0.66,0.81,0.43,0.43;;1770274945
cocounsel ai;39;590;12.04;0.66;0.00;0.00;798000;0.01,0.03,0.04,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.07;;1771204851
thomson reuters cocounsel pricing;43;90;15.38;0.44;0.00;0.00;261000;0.11,0.11,0.41,0.11,0.29,0.11,0.52,0.52,1.00,1.00,1.00,0.64;;1768899839
