Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
web streams;12;70;3.30;0.06;0.00;0.00;231000000;0.35,0.35,1.00,0.35,0.50,0.64,0.50,0.35,0.28,1.00,0.35,0.35;;1769133553
text event stream;91;140;0.00;0.01;0.00;0.00;1260000000;0.42,0.52,0.66,0.66,0.66,0.66,0.80,0.66,0.80,0.66,0.66,0.52;;1769528945
side streaming;20;110;0.00;0.03;0.00;0.00;2390000000;0.66,0.15,0.11,0.06,0.15,0.23,0.18,0.11,0.11,0.18,0.23,0.18;;1769399926
side streaming;30;110;0.00;0.03;0.00;0.00;2390000000;0.66,0.15,0.11,0.06,0.15,0.23,0.18,0.11,0.11,0.18,0.23,0.18;;1769399926
sse streaming;46;110;0.00;0.00;0.00;0.00;32400000;0.07,0.07,0.07,0.42,0.42,0.42,0.53,0.42,0.42,0.80,1.00,0.53;;1770463910
music streaming vercel;55;260;0.00;0.00;0.00;0.00;213000;1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769403363
movie web vercel;87;170;0.00;0.00;0.00;0.00;576000;0.03,0.07,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.05;;1769864577
js streaming;52;70;0.00;0.00;0.00;0.00;606000000;0.81,0.45,0.63,0.27,0.81,0.63,0.63,0.63,0.63,0.63,0.45,0.63;;1771122654
stream movies and tv shows vercel;20;170;0.00;0.00;0.00;0.00;109000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771665113
text/event-stream;65;720;0.00;0.00;0.00;0.00;1330000000;0.00,0.01,0.03,1.00,0.01,0.03,0.52,0.02,0.01,0.44,0.01,0.00;;1769946677
vercel streamdown;90;40;0.00;0.33;0.00;0.00;5150;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.65,0.07,0.00;;1769308003
watch any tv show for free vercel;21;210;0.00;0.00;0.00;0.00;119000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771236548
vercel music streaming service;37;480;0.00;0.00;0.00;0.00;106000;1.00,0.00,0.00,0.00,0.00,0.00;;1767796032
