Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
progressive for agents;18;720;30.59;0.02;0.00;0.00;224000000;0.67,0.76,0.45,0.55,0.76,0.36,0.45,0.55,0.55,0.55,0.36,0.45;;1770790739
best agentos platform cost optimization tips;43;40;0.00;0.00;0.00;0.00;28400000;1.00,1.00;;1771369656
what is sandbox in software;77;1000;0.00;0.00;0.00;0.00;108000000;0.66,0.36,0.66,1.00,0.36,0.66,0.16,0.54,0.24,0.08,0.24,0.79;;1771106341
eric dodds twitter;22;170;0.00;0.00;0.00;0.00;283000;0.16,0.11,0.05,0.05,0.04,0.13,0.07,0.02,0.05,0.11,0.07,0.07;5;1771325077
build a scaffold;70;50;1.25;0.86;0.00;0.00;25900000;0.14,0.09,0.23,0.19,0.19,0.14,0.23,0.19,0.33,0.52,0.52,0.42;5;1770748007
darkness vercel;90;40;0.00;0.33;0.00;0.00;1580000;0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.04,1.00,0.80,0.09;;1771292217
engineering scale vs architectural scale;85;70;0.00;0.02;0.00;0.00;170000000;0.21,0.64,0.78,0.50,0.78,0.50,0.21,1.00,0.35,1.00,0.35,0.50;;1770780953
eploy account-based orchestration platforms;37;40;0.00;0.00;0.00;0.00;3470000;0.14,1.00,0.57;;1771319746
eploy account-based orchestration platforms;53;40;0.00;0.00;0.00;0.00;3470000;0.14,1.00,0.57;;1771319746
systems scaffold;88;70;1.56;1.00;0.00;0.00;26500000;0.07,0.12,0.10,0.10,0.10,0.12,0.05,0.17,0.23,0.23,0.28,0.28;5;1770934791
how to build platform;43;40;0.00;0.03;0.00;0.00;1660000000;0.07,0.50,0.21,0.21,0.14,0.21,0.28,0.50,0.00,0.21,1.00,0.28;5;1771374619
how to build platform;58;40;0.00;0.03;0.00;0.00;1660000000;0.07,0.50,0.21,0.21,0.14,0.21,0.28,0.50,0.00,0.21,1.00,0.28;5;1771374619
vercel workflow;78;110;7.69;0.02;0.00;0.00;4100000;0.01,0.12,0.02,0.04,0.04,0.01,0.01,0.09,0.01,0.01,0.29,1.00;;1770878778
slack ai cost;49;140;0.63;0.10;0.00;0.00;72000000;0.29,1.00,0.29,0.29,0.43,0.35,0.29,0.10,0.04,0.06,0.04,0.06;;1770725488
sdr agent;45;210;22.71;0.42;0.00;0.00;6660000;0.17,0.17,0.53,0.66,0.53,0.53,0.28,0.35,0.66,0.82,1.00,0.23;;1771336704
data fully functional;67;110;0.00;0.00;0.00;0.00;467000000;0.34,0.34,0.43,0.28,0.28,0.21,0.28,0.34,0.28,0.43,0.43,0.34;;1771326293
