Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
figma v0;36;40;0.00;0.07;0.00;0.00;1170000;0.11,0.11,0.82,0.11,0.23,1.00,0.11,0.11,0.11,0.11,0.11,0.11;5;1771549684
v0 figma;26;90;0.00;0.07;0.00;0.00;1240000;1.00,0.52,1.00,0.52,1.00,0.80,0.09,0.33,0.09,0.09,0.09,0.09;5;1769544710
v0 design;54;110;6.58;0.16;0.00;0.00;120000000;0.07,0.07,0.65,1.00,0.80,0.26,0.65,0.34,0.26,0.65,0.19,0.26;;1770510669
versel v0;76;260;6.75;0.13;0.00;0.00;1670000;0.53,0.65,0.81,0.81,1.00,1.00,1.00,1.00,1.00,0.81,0.00,0.00;;1768046911
v0 prototype;45;50;5.16;0.18;0.00;0.00;7980000;0.05,0.05,0.11,0.11,0.82,1.00,0.11,0.64,0.11,0.11,0.11,0.11;;1770489974
v0 by vercel;75;1300;6.71;0.37;0.00;0.00;1610000;0.25,0.46,0.68,0.52,0.68,0.68,1.00,0.68,0.84,0.52,0.68,0.68;;1769862134
v0 design mode;41;40;0.00;0.02;0.00;0.00;59100000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.09,0.09,0.09;;1767882402
v0.vercel;37;320;6.64;0.13;0.00;0.00;1500000;0.08,0.20,0.16,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772128554
v0.vercel;55;320;6.64;0.13;0.00;0.00;1500000;0.08,0.20,0.16,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772128554
v0 design system;23;50;7.22;0.05;0.00;0.00;71900000;0.41,0.23,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.11;5;1767487088
v0 to figma;49;50;0.00;0.06;0.00;0.00;1250000;0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.00,0.05;5;1771229254
