Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
next.js images;79;70;0.00;0.00;0.00;0.00;571000000;0.72,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00;5;1766368135
next pictures;98;140;0.00;0.01;0.00;0.00;2430000000;0.18,0.18,0.22,0.43,0.29,0.22,0.14,0.22,1.00,0.22,0.08,0.14;5;1772176771
images nextjs;70;50;0.00;0.00;0.00;0.00;23100000;0.11,0.17,0.64,0.29,0.23,0.29,0.64,0.52,0.11,0.23,0.17,0.17;5;1769187014
next/image;92;1000;0.00;0.00;0.00;0.00;7630000000;0.30,0.24,0.30,0.30,0.65,0.00,1.00,0.00,0.00,0.55,0.24,0.20;5;1769972245
blurred pic caption;83;50;0.00;0.33;0.00;0.00;24100000;0.42,0.42,0.33,0.14,0.33,0.04,0.33,0.23,0.23,0.33,0.00,0.09;;1770046562
nextjs image;85;1000;0.00;0.00;0.00;0.00;22000000;0.54,0.41,0.54,0.54,0.54,0.41,0.41,0.54,0.30,0.41,0.36,0.20;5;1771692276
next js image;70;590;0.00;0.00;0.00;0.00;574000000;0.30,0.36,0.30,0.41,0.24,0.24,0.16,0.24,0.20,0.13,0.08,0.24;5;1770827729
next js images;78;110;0.00;0.00;0.00;0.00;539000000;1.00,0.35,0.35,0.08,0.06,0.00,0.00,0.00,0.11,0.00,0.00,0.28;5;1767678817
js images gallery;45;40;0.00;0.01;0.00;0.00;228000000;0.44,0.44,0.55,0.77,0.44,0.55,0.77,0.55,0.33,0.33,0.33,0.33;;1767600226
interactive crad grid next js;22;210;0.00;0.00;0.00;0.00;21600000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1769049681
nextjs carousel;44;40;0.00;0.01;0.00;0.00;913000;0.23,0.14,0.23,0.33,0.14,0.19,0.14,0.09,0.23,0.09,0.09,0.09;5;1766707295
animated gallery;69;70;0.00;0.02;0.00;0.00;369000000;0.01,0.06,0.05,0.05,0.03,0.05,0.06,0.16,0.06,0.06,0.01,0.01;3,5;1772235008
image next;57;140;0.00;0.00;0.00;0.00;8080000000;0.06,0.06,0.65,0.34,0.53,0.34,0.34,0.65,0.65,0.53,0.81,0.81;;1770066538
image next js;54;140;0.00;0.00;0.00;0.00;426000000;0.19,0.29,0.19,0.23,0.23,0.23,0.05,0.19,0.15,0.05,0.19,0.09;;1771464246
