Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
npm supply chain attack news;12;5400;0.00;0.02;36.84;0.00;265000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,1.00,0.29;;1772208945
npm supply chain news;8;1900;0.00;0.00;23.68;0.00;196000;1.00,0.02,0.00;;1768765000
npm security news;14;3600;0.00;0.01;9.47;0.00;2230000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.02,0.66;;1772021398
npm supply chain attack 2025;9;720;0.00;0.10;8.94;0.00;258000;0.00,1.00,0.05,0.02;;1771977825
npm supply chain attack september 2025;7;480;0.00;0.33;7.36;0.00;30700;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.03,0.00;;1772272642
npm supply chain attack september 8 2025;1;70;0.00;0.00;4.73;0.00;33700;1.00,0.00;;1768180662
npm supply chain attack september 2025;12;480;0.00;0.33;3.15;0.00;30700;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.03,0.00;;1772272642
node.js news today september 2025;4;110;0.00;0.00;2.10;0.00;1620000;1.00,0.00;;1767499150
npm supply chain attack 2025;15;720;0.00;0.10;1.57;0.00;258000;0.00,1.00,0.05,0.02;;1771977825
node.js security release september 2025;7;140;0.00;0.00;1.57;0.00;572000;1.00,0.00,0.00;;1772441946
npm security incident today;13;210;0.00;0.00;0.52;0.00;360000;0.00,0.00,1.00;;1769935373
npm security;32;210;8.05;0.08;0.00;0.00;35200000;0.02,0.05,0.06,0.02,0.19,0.23,0.29,0.29,0.29,0.36,1.00,0.66;;1767188716
hackers left empty-handed after massive npm supply-chain attack;61;50;0.00;0.00;0.00;0.00;18300;1.00,0.00;;1768425438
npm compromised;32;110;0.00;0.01;0.00;0.00;652000;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.11,0.02,1.00,0.01,0.14;;1769095931
malicious npm package sneaks into github actions builds;83;320;0.00;0.00;0.00;0.00;3340;1.00;;1769538239
malicious npm package sneaks into github actions builds;92;320;0.00;0.00;0.00;0.00;3340;1.00;;1769538239
npm malicious packages;38;40;0.00;0.11;0.00;0.00;1320000;0.11,0.11,0.11,0.11,0.17,0.17,0.17,0.41,0.23,1.00,0.11,0.11;;1769251440
npm supply chain attack;20;590;9.86;0.10;0.00;0.00;385000;0.01,0.01,0.00,0.01,0.01,0.02,0.02,0.07,0.07,1.00,0.36,0.44;;1770780808
