Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel cron jobs;3;320;0.00;0.00;23.80;0.00;126000;0.53,0.82,0.82,0.53,0.66,1.00,0.53,0.82,1.00,0.66,0.82,0.66;;1768319495
vercel scheduled functions;5;1900;0.00;0.33;19.04;0.00;322000;0.02,0.02,0.12,0.02,0.24,0.02,0.02,1.00,0.02,0.02,0.02,0.00;;1769167958
vercel cron job;3;140;0.00;0.00;9.52;0.00;28800;0.65,0.65,0.42,0.80,0.34,0.65,0.11,0.42,1.00,0.42,0.80,0.53;;1770563666
vercel careers;13;1900;3.82;0.00;4.76;100.00;4350000;0.55,0.65,0.65,0.65,0.65,0.55,0.65,0.65,1.00,1.00,0.82,0.82;;1772297015
chron jobs;23;320;0.00;0.00;0.00;0.00;20500000;0.54,0.36,0.23,0.19,1.00,0.19,0.23,0.19,0.67,0.36,0.07,0.10;1;1772104032
vercel cron;17;170;0.00;0.00;0.00;0.00;281000;0.53,0.53,0.53,0.65,0.53,0.65,0.65,0.65,0.80,0.65,1.00,1.00;;1771297446
whats a cron job;73;50;0.00;0.33;0.00;0.00;14400000;0.09,0.09,0.09,0.09,1.00,0.09,0.09,0.09,0.23,0.09,0.09,0.80;;1768549280
whats a cron job;83;50;0.00;0.33;0.00;0.00;14400000;0.09,0.09,0.09,0.09,1.00,0.09,0.09,0.09,0.23,0.09,0.09,0.80;;1768549280
example cron job;80;140;0.00;0.00;0.00;0.00;6670000;0.05,0.03,0.03,0.02,0.03,0.10,0.03,0.02,0.03,0.04,0.04,0.03;;1769411756
chrone jobs;84;140;0.00;0.00;0.00;0.00;19000000;0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00;;1769993762
vercel internships;28;70;0.00;0.33;0.00;0.00;492000;0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1.00,0.53,0.43;;1769307462
