Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
design engineer;7;5400;2.59;0.05;46.15;59.90;557000000;0.44,0.44,0.54,0.54,0.54,0.54,0.54,0.36,0.44,0.54,0.44,0.54;1;1772315724
design engineering;8;2900;2.59;0.05;19.23;24.63;1420000000;0.35,0.66,0.81,0.44,0.35,0.53,0.44,0.44,0.66,0.35,0.66,0.53;5;1772158474
what is a design engineer;4;390;0.00;0.00;12.50;0.00;722000000;0.07,0.32,0.32,0.26,0.39,0.17,0.11,0.17,0.59,1.00,0.72,0.39;;1770076510
design engg;11;2400;2.59;0.05;6.73;8.69;2320000000;0.28,0.03,0.81,0.24,0.01,1.00,0.07,0.01,0.10,0.43,1.00,0.05;;1772374469
what is design engineering;4;260;0.00;0.00;4.80;0.00;1260000000;0.23,0.44,0.29,0.36,0.19,0.36,0.12,0.29,0.12,1.00,0.44,0.29;;1769017700
what are design engineers;5;210;0.00;0.00;2.88;0.00;350000000;0.81,0.35,0.28,0.28,0.44,0.44,0.66,0.44,0.15,0.23,0.35,0.15;;1768453092
a design engineer;8;390;2.59;0.05;1.92;2.41;732000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;;1769325050
engineer design;8;390;4.56;0.04;0.96;1.93;697000000;0.39,0.48,0.17,0.09,0.21,0.72,0.09,0.26,0.72,0.32,0.48,0.39;5;1770037093
what design engineer do;7;170;0.00;0.00;0.96;0.00;573000000;0.23,0.18,0.28,0.11,0.23,1.00,0.18,0.11,0.28,0.18,0.44,0.23;;1769061305
what is a design engineer do;8;210;0.00;0.00;0.96;0.00;497000000;0.29,0.22,0.43,0.10,0.29,0.66,0.35,0.29,0.66,0.81,1.00,0.81;;1772129275
design engineer software;4;70;3.68;0.12;0.96;1.44;340000000;0.03,0.00,0.09,0.12,0.06,0.15,0.12,0.03,0.06,0.65,0.12,1.00;;1767881250
a design engineer;11;390;2.59;0.05;0.96;0.96;732000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;;1769325050
what does a design engineer do;8;390;0.00;0.00;0.96;0.00;516000000;0.36,0.44,0.44,0.54,0.36,0.36,0.36,0.29,1.00,0.81,0.66,0.54;;1772114192
custom design engineering;91;50;4.63;0.33;0.00;0.00;329000000;0.09,0.14,0.19,0.23,0.33,0.23,0.23,0.52,0.52,0.33,0.09,0.42;3;1770780973
engineer and designer;46;30;4.44;0.09;0.00;0.00;736000000;0.28,0.21,0.12,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.21;;1769404190
engineering web design;21;110;8.86;0.08;0.00;0.00;1100000000;0.06,0.21,0.15,0.34,0.43,0.34,0.34,0.28,0.43,0.53,0.43,0.81;;1767686943
