Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel games;7;390;0.00;0.00;25.80;0.00;2520000;0.08,0.02,0.02,0.08,0.24,0.30,0.07,0.02,0.20,0.36,0.24,0.20;;1771048610
vercel game;3;90;0.00;0.00;22.58;0.00;6040000;0.17,0.05,0.00,0.05,0.17,0.17,0.07,0.00,0.07,0.82,1.00,0.17;5;1769248870
vercel app game;5;140;0.00;0.00;19.35;0.00;5530000;0.13,0.05,0.00,0.00,0.00,0.00,0.10,0.00,0.10,1.00,0.00,0.01;;1769100906
vercel app games;5;260;0.00;0.00;19.35;0.00;2080000;0.07,0.07,0.02,0.05,0.09,0.88,1.00,0.05,0.14,0.14,0.39,0.48;5;1768034958
vercel games unblocked;6;90;0.00;0.00;9.67;0.00;19400;0.01,0.01,0.01,0.01,0.01,0.11,0.01,0.01,0.05,0.11,0.08,0.08;5;1768986238
vercel unblocked games;8;50;0.00;0.33;3.22;0.00;17000;0.45,0.18,0.09,0.00,0.09,0.00,0.00,1.00,0.18,1.00,1.00,1.00;5;1767968618
vercel unblocked games;10;50;0.00;0.33;0.00;0.00;17000;0.45,0.18,0.09,0.00,0.09,0.00,0.00,1.00,0.18,1.00,1.00,1.00;5;1767968618
games and stuff vercel;38;260;0.00;0.33;0.00;0.00;47000;0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1768173557
games and stuff vercel;63;260;0.00;0.33;0.00;0.00;47000;0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1768173557
game app frontend beii.vercel.app;50;50;3.55;0.04;0.00;0.00;373;0.00,0.00,0.00,0.00,0.10,0.10,1.00,0.00,0.00,0.00,0.00,0.00;;1767463485
game app frontend beii.vercel.app;51;50;3.55;0.04;0.00;0.00;373;0.00,0.00,0.00,0.00,0.10,0.10,1.00,0.00,0.00,0.00,0.00,0.00;;1767463485
games vercel app;13;70;0.00;0.00;0.00;0.00;2330000;0.66,0.04,0.19,0.04,0.52,0.80,0.14,0.23,0.33,0.00,0.42,0.23;5;1769213143
vercel js games;66;480;0.00;0.00;0.00;0.00;758000;1.00,0.00,0.00,0.00,0.00,0.00;;1772557283
vercel app unblocked games;9;40;0.00;0.00;0.00;0.00;15900;0.18,0.00,0.00,0.00,1.00,1.00,0.18,0.18,0.18,1.00,0.18,0.36;;1769307105
game app frontend beii vercel app;29;90;0.00;0.04;0.00;0.00;173;0.00,0.00,0.00,0.12,0.05,1.00,0.15,0.02,0.02,0.02,0.02,0.02;;1772427652
vercel.app game;18;50;0.00;0.00;0.00;0.00;5460000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00;;1771060405
