Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel edge functions;2;140;0.00;0.01;75.00;0.00;631000;0.22,0.29,0.29,0.29,0.43,0.43,0.22,0.00,0.54,0.43,0.35,0.35;;1767555701
vercel edge function;2;50;0.00;0.00;25.00;0.00;666000;0.64,0.35,0.50,0.07,0.00,0.78,0.78,0.64,0.07,0.00,0.00,0.07;;1769551681
edge functions;22;260;5.90;0.01;0.00;0.00;501000000;0.35,0.53,0.66,0.66,1.00,1.00,0.53,0.82,0.82,0.66,1.00,0.53;;1771915442
vercel functions;9;320;10.79;0.01;0.00;0.00;3080000;0.29,0.29,0.29,0.44,0.44,0.44,0.29,0.54,0.54,0.44,1.00,0.54;;1768037617
vercel frontend development capabilities;88;40;0.00;0.00;0.00;0.00;167000;0.80,1.00;;1771589656
vercel serverless function;16;40;7.99;0.03;0.00;0.00;296000;0.05,0.11,0.17,1.00,0.64,0.00,0.23,0.00,0.00,0.00,0.82,0.00;;1768067732
edge function;18;140;5.90;0.01;0.00;0.00;1510000000;0.43,0.21,0.34,0.15,0.15,0.43,0.53,0.34,0.28,0.65,1.00,0.43;5;1770062262
what are edge functions;10;110;0.00;0.33;0.00;0.00;516000000;0.29,0.29,0.41,0.23,0.41,1.00,1.00,1.00,0.64,0.64,0.29,1.00;;1767635134
what is an edge function;11;140;0.00;0.33;0.00;0.00;1040000000;0.02,0.03,0.05,0.02,0.05,0.02,0.11,0.17,1.00,0.05,0.11,0.17;;1772240071
what is an edge function;22;140;0.00;0.33;0.00;0.00;1040000000;0.02,0.03,0.05,0.02,0.05,0.02,0.11,0.17,1.00,0.05,0.11,0.17;;1772240071
vercel serverless functions;16;320;9.45;0.03;0.00;0.00;401000;0.28,0.54,0.54,0.54,0.54,0.35,0.44,1.00,0.44,0.28,0.44,0.66;;1772051765
vercel workers;38;50;0.00;0.01;0.00;0.00;1250000;0.14,0.50,0.64,0.14,0.78,0.14,0.28,1.00,0.14,0.14,0.14,0.14;;1767880206
vercel workers;51;50;0.00;0.01;0.00;0.00;1250000;0.14,0.50,0.64,0.14,0.78,0.14,0.28,1.00,0.14,0.14,0.14,0.14;;1767880206
