Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
inp vs fid;1;50;0.00;0.33;46.15;0.00;195000;0.14,0.14,0.14,0.21,0.35,0.14,0.14,0.21,0.78,0.78,1.00,0.14;;1767931128
interaction to next paint replaces first input delay march 2024;2;50;0.00;0.00;30.76;0.00;269000;0.11,1.00,0.55;;1770567569
measure first input delay;19;70;0.00;0.33;0.00;0.00;101000000;0.14,0.07,0.28,0.28,0.78,0.64,0.64,1.00,1.00,0.21,0.14,0.14;;1771854876
measure first input delay;20;70;0.00;0.33;0.00;0.00;101000000;0.14,0.07,0.28,0.28,0.78,0.64,0.64,1.00,1.00,0.21,0.14,0.14;;1771854876
first input delay;31;480;0.00;0.00;0.00;0.00;309000000;0.23,0.29,0.29,0.44,0.44,0.54,0.54,0.81,1.00,0.36,0.36,1.00;;1770277849
inp replaces fid march 2024 web.dev;44;50;0.00;0.00;0.00;0.00;13500;0.07,0.07,1.00,0.28;;1770565336
fid first input delay;12;50;0.00;0.33;0.00;0.00;300000;0.14,0.14,0.14,0.14,0.78,0.64,0.64,0.78,1.00,0.21,0.14,0.14;;1771549602
input next;31;40;0.00;0.33;0.00;0.00;909000000;0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.52,0.52;;1767660795
inp replaces fid core web vitals date;38;50;0.00;0.00;0.00;0.00;22900;0.57,1.00;;1771399041
inp replaces fid core web vitals date;40;50;0.00;0.00;0.00;0.00;22900;0.57,1.00;;1771399041
first input delay fid;19;50;0.00;0.33;0.00;0.00;329000;0.00,0.05,0.17,0.23,0.41,0.41,0.41,1.00,0.82,0.17,0.05,0.00;;1772596827
average first input delay;15;50;0.00;0.00;0.00;0.00;124000000;0.00,0.00,0.21,0.35,0.35,0.21,0.28,0.21,0.64,1.00,0.21,0.50;;1767891046
what is first input delay;16;50;0.00;0.33;0.00;0.00;145000000;0.09,0.09,0.19,0.33,0.23,0.42,0.42,0.66,0.52,0.14,0.09,0.09;;1772051687
