Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
grep app;2;140;0.00;0.01;68.75;0.00;20600000;0.28,0.43,0.34,0.34,1.00,0.65,0.34,0.34,0.28,0.21,0.34,0.15;;1770510918
grep github;6;260;0.00;0.00;25.00;0.00;16300000;0.43,0.66,0.82,0.82,1.00,0.82,0.82,0.66,0.53,0.53,0.53,0.53;;1769453311
grep io;3;40;0.00;0.33;6.25;0.00;17200000;0.63,1.00,0.81,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;1770099264
github mcp server endpoint;12;40;0.00;0.00;0.00;0.00;873000;0.71,1.00,0.00;;1769240518
github mcp server endpoint;45;40;0.00;0.00;0.00;0.00;873000;0.71,1.00,0.00;;1769240518
vercel mcp claude code;8;70;0.00;0.02;0.00;0.00;558000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,1.00,0.10,0.43,0.10;;1772413261
vercel mcp claude code;14;70;0.00;0.02;0.00;0.00;558000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,1.00,0.10,0.43,0.10;;1772413261
vercel mcp server;61;170;5.69;0.05;0.00;0.00;1340000;0.00,0.00,0.06,0.09,0.65,0.81,1.00,0.53,0.81,1.00,1.00,0.81;;1771325903
vercel mcp;22;590;4.48;0.02;0.00;0.00;3180000;0.00,0.00,0.02,0.20,0.13,0.20,0.37,0.37,0.37,0.52,0.68,1.00;;1769577944
mcp server github repository;29;140;0.00;0.00;0.00;0.00;16500000;1.00;;1768564959
mcp-agent repo;89;880;0.00;0.00;0.00;0.00;2270000;1.00,0.00;;1772297772
vercel ai mcp;69;40;0.00;0.02;0.00;0.00;2720000;0.00,0.00,0.00,0.64,0.29,1.00,0.11,0.11,0.11,0.11,0.11,0.11;;1768324747
