Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
core web vitals seo impact;1;170;0.00;0.33;24.71;0.00;712000;0.08,0.35,0.18,0.14,0.66,0.18,0.35,0.43,0.66,0.29,0.08,1.00;;1771984261
core web vitals impact on seo;1;140;0.00;0.14;20.22;0.00;351000;0.26,0.80,0.42,0.19,0.53,0.34,0.53,0.80,0.80,0.34,0.26,1.00;;1769418050
does core web vitals affect seo;1;110;0.00;0.02;15.73;0.00;111000;0.26,0.65,0.53,0.53,0.53,0.19,0.19,1.00,1.00,0.34,0.26,0.26;;1769392172
core web vitals ranking factor;4;210;0.00;0.01;10.11;0.00;270000;0.23,0.28,0.23,0.43,0.53,0.43,0.66,0.53,1.00,0.82,0.35,0.35;;1767248383
core web vitals seo;9;1900;2.65;0.19;5.61;46.42;2100000;0.16,0.22,0.22,0.29,0.36,0.43,0.29,1.00,0.65,0.43,0.43,0.81;6;1772007634
core web vitals ranking factor 2024;3;110;0.00;0.00;4.49;0.00;7380000;0.19,0.80,1.00,0.03,0.80,0.26,0.26,0.53,0.34;;1769199458
do core web vitals matter for seo;2;50;0.00;0.00;4.49;0.00;250000;0.27,0.36,0.45,0.27,0.27,0.27,1.00,1.00,0.45,0.09;;1767556347
web core vitals seo;6;140;0.00;0.33;3.37;0.00;1990000;0.07,0.42,0.42,0.53,1.00,0.26,0.53,1.00,1.00,0.42,0.11,0.80;;1770521784
core web vitals for seo;3;110;0.00;0.33;2.24;0.00;4120000;0.07,0.34,0.19,0.53,0.80,0.26,0.34,0.80,1.00,0.42,0.07,0.07;;1772449844
core web vitals seo;15;1900;2.65;0.19;2.24;17.85;2100000;0.16,0.22,0.22,0.29,0.36,0.43,0.29,1.00,0.65,0.43,0.43,0.81;;1772007634
web vitals ranking factor;5;50;0.00;0.33;1.12;0.00;20800000;0.22,0.22,0.44,0.55,0.22,0.33,0.22,0.44,1.00,0.77,1.00,0.77;;1769310170
core vitals;9;480;2.48;0.10;1.12;7.14;32400000;0.04,0.02,0.05,0.24,0.20,0.36,0.16,1.00,0.62,0.36,0.24,0.05;5;1770814909
lighthouse seo;15;480;8.48;0.27;1.12;28.57;8160000;0.13,0.16,0.16,0.20,0.24,0.24,0.16,1.00,0.62,0.36,0.06,0.05;;1771512337
vercel core web vitals;2;40;0.00;0.17;1.12;0.00;82100;0.14,0.14,1.00,0.14,0.50,0.14,0.28,0.14,0.14,0.14,0.14,0.14;6;1768167126
vercel speed insights;8;170;0.00;0.04;0.00;0.00;734000;0.05,0.07,0.07,0.11,0.07,0.07,0.07,0.17,1.00,0.09,0.09,0.05;;1771830687
vercel speed insights;24;170;0.00;0.04;0.00;0.00;734000;0.05,0.07,0.07,0.11,0.07,0.07,0.07,0.17,1.00,0.09,0.09,0.05;;1771830687
vercel speed insights;28;170;0.00;0.04;0.00;0.00;734000;0.05,0.07,0.07,0.11,0.07,0.07,0.07,0.17,1.00,0.09,0.09,0.05;;1771830687
core web vitals study;74;90;0.00;0.36;0.00;0.00;476000;0.05,0.11,0.05,0.41,0.41,0.52,0.41,1.00,0.82,0.64,1.00,1.00;;1772535814
web core vitals google;85;70;0.00;0.33;0.00;0.00;141000000;0.11,0.41,0.41,0.41,1.00,0.17,0.41,0.52,0.64,0.29,0.29,0.11;;1769586651
coreweb vitals;34;90;3.74;0.26;0.00;0.00;15300000;0.44,0.08,0.11,0.08,0.05,0.08,0.06,0.18,0.23,0.35,0.08,0.05;;1772517708
page speed ranking factor google 2024;11;50;0.00;0.00;0.00;0.00;69200000;0.55,0.33,1.00,0.22,0.44;;1772114871
is page speed a google ranking factor core web vitals;16;320;0.00;0.00;0.00;0.00;191000;1.00;;1767459443
page speed ranking factor core web vitals google;5;70;0.00;0.00;0.00;0.00;1930000;1.00,0.33;;1769444665
https seo impact;44;70;0.00;0.33;0.00;0.00;217000000;0.35,0.28,0.28,0.28,0.14,0.28,0.64,0.78,1.00,0.64,1.00,1.00;;1770103031
core web vitals google;32;320;0.00;0.04;0.00;0.00;4720000;0.02,0.12,0.36,0.29,0.36,0.81,0.44,0.44,0.81,0.81,0.36,0.09;;1767784229
core web vitals page experience google search central;73;70;0.00;0.00;0.00;0.00;71200000;1.00,1.00;;1769919104
web performance core web vitals news;41;170;0.00;0.00;0.00;0.00;354000;1.00,0.82;;1767795002
core web vitals page speed;19;40;0.00;0.20;0.00;0.00;861000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.81,1.00,0.27,0.18,0.18;;1769269779
seo core;20;40;0.00;0.43;0.00;0.00;146000000;0.00,0.14,0.14,0.21,0.28,0.14,0.14,0.35,0.50,0.78,0.14,1.00;;1768466562
search engine journal core web vitals;40;110;0.00;0.33;0.00;0.00;77200;0.05,0.00,0.05,0.10,0.17,0.35,0.12,1.00,0.82,0.35,0.05,0.05;;1772006250
is page speed a ranking factor core web vitals google;5;90;0.00;0.00;0.00;0.00;1180000;1.00,1.00;;1769407119
what are core web vitals;37;880;1.69;0.13;0.00;0.00;7870000;0.24,0.24,0.45,0.45,0.55,0.76,0.67,0.45,1.00,1.00,1.00,0.76;5;1768121811
vercel unique features compared to competitors;58;50;0.00;0.00;0.00;0.00;631000;1.00,0.71,0.42;;1767912840
core web vital optimization;49;40;0.00;0.33;0.00;0.00;28500000;0.22,0.33,0.44,0.55,0.44,0.44,0.22,0.77,1.00,0.44,0.22,0.33;;1769277152
impact of seo;51;40;14.61;0.07;0.00;0.00;269000000;0.00,0.63,0.63,0.81,0.81,0.45,0.63,0.27,0.09,0.18,0.00,0.09;;1769694579
core web vitals news;84;1300;0.00;0.01;0.00;0.00;582000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.23,1.00;;1769270082
vercel seo;22;30;13.23;0.13;0.00;0.00;1420000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18;;1767568848
next core web vitals;40;70;0.00;0.06;0.00;0.00;7710000;0.21,0.35,0.50,0.64,0.78,0.50,0.35,0.50,0.50,0.50,0.14,0.28;;1769703418
next core web vitals;49;70;0.00;0.06;0.00;0.00;7710000;0.21,0.35,0.50,0.64,0.78,0.50,0.35,0.50,0.50,0.50,0.14,0.28;;1769703418
seo effect;37;110;0.00;0.06;0.00;0.00;155000000;0.06,0.28,0.15,0.15,0.28,0.34,0.15,1.00,0.65,0.34,0.28,0.21;;1770366622
google page speed ranking factor core web vitals;8;140;0.00;0.00;0.00;0.00;213000;0.28,0.00,0.12,1.00,0.65;;1769968933
is page speed a ranking factor google core web vitals;10;170;0.00;0.00;0.00;0.00;176000;1.00;;1768160523
what is core web vitals;33;390;1.57;0.12;0.00;0.00;8460000;0.23,0.54,0.44,0.44,0.81,0.44,0.36,0.81,1.00,0.66,0.06,0.06;;1769969242
core web vitals explained;76;70;0.00;0.17;0.00;0.00;229000;0.14,0.14,0.28,0.50,0.28,0.28,0.28,0.78,1.00,0.78,0.50,0.50;;1772535363
core website vitals;85;50;0.00;0.15;0.00;0.00;4500000;0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.66,1.00,0.42,0.09;;1767585313
moz core web vitals;98;110;0.00;0.33;0.00;0.00;216000;0.09,0.14,0.14,0.23,0.23,0.42,0.19,1.00,1.00,0.52,1.00,0.80;;1771847118
google core web vitals inp replaces fid march 2024 official;77;90;0.00;0.00;0.00;0.00;3490;0.00,1.00,0.33;;1769384827
lighthouse core;37;320;0.00;0.01;0.00;0.00;19400000;0.23,0.23,0.23,0.28,0.44,0.44,0.81,1.00,0.54,0.54,0.54,0.44;;1772171829
