Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
openevidence;21;49500;3.82;0.05;87.50;86.88;1130000;0.36,0.36,0.20,0.16,0.20,0.30,0.45,0.36,0.67,1.00,0.82,0.82;;1772469067
openevidence ai;15;6600;4.30;0.24;6.25;6.55;1040000;0.00,0.02,0.04,0.16,0.04,0.05,0.29,0.36,0.66,0.66,1.00,0.66;4;1772256708
openevidence ai;21;6600;4.30;0.24;6.25;6.55;1040000;0.00,0.02,0.04,0.16,0.04,0.05,0.29,0.36,0.66,0.66,1.00,0.66;4;1772256708
cd up one level;92;90;0.00;0.00;0.00;0.00;626000000;0.23,0.42,0.42,0.42,0.33,0.33,0.33,0.52,0.52,0.42,0.33,1.00;;1772101605
open evidenc e;23;880;0.00;0.00;0.00;0.00;1030000;1.00,0.00;;1772298391
is the week a reliable source;37;110;0.00;0.00;0.00;0.00;396000000;0.80,0.66,0.80,0.66,0.42,0.52,0.19,0.23,0.33,0.66,0.66,0.42;;1772100250
is the week a reliable source;53;110;0.00;0.00;0.00;0.00;396000000;0.80,0.66,0.80,0.66,0.42,0.52,0.19,0.23,0.33,0.66,0.66,0.42;;1772100250
is the week a reliable source;77;110;0.00;0.00;0.00;0.00;396000000;0.80,0.66,0.80,0.66,0.42,0.52,0.19,0.23,0.33,0.66,0.66,0.42;;1772100250
is the week a reliable source;81;110;0.00;0.00;0.00;0.00;396000000;0.80,0.66,0.80,0.66,0.42,0.52,0.19,0.23,0.33,0.66,0.66,0.42;;1772100250
why us healthcare is bad;51;40;0.00;0.33;0.00;0.00;819000000;0.65,0.26,0.26,0.15,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07;;1772124483
tiktok frontend;54;90;0.00;0.00;0.00;0.00;39500000;0.21,0.78,0.50,0.78,0.64,0.64,0.78,0.78,1.00,0.78,0.78,0.50;;1772125522
