Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
stripw;11;880;4.22;0.28;100.00;100.00;487000000;0.20,0.20,0.44,0.20,0.13,0.44,0.20,0.11,0.34,0.55,0.44,0.30;;1769827311
a agme;51;70;0.13;0.02;0.00;0.00;11650000000;0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00;5;1769805589
ai quantification;93;90;4.26;0.16;0.00;0.00;36200000;0.52,1.00,0.09,0.52,0.80,0.33,0.42,0.23,0.23,0.19,0.23,0.23;;1769863616
no time game;48;140;0.00;0.00;0.00;0.00;5360000000;0.07,0.07,0.08,0.07,0.05,0.05,0.07,0.07,0.08,0.07,0.05,0.07;1;1769850145
gtm consulting;68;210;10.29;0.42;0.00;0.00;14800000;0.43,0.65,0.43,0.43,0.53,0.81,0.43,0.65,1.00,0.81,0.81,0.43;;1769806749
stripejs;32;170;8.45;0.06;0.00;0.00;30000000;0.15,0.19,0.05,0.09,0.81,0.54,0.06,0.06,0.54,0.09,0.19,0.09;;1769825778
stripejs;51;170;8.45;0.06;0.00;0.00;30000000;0.15,0.19,0.05,0.09,0.81,0.54,0.06,0.06,0.54,0.09,0.19,0.09;;1769825778
value based selling training;97;70;10.40;0.21;0.00;0.00;278000000;0.55,0.55,0.77,1.00,0.77,1.00,0.77,1.00,0.77,1.00,1.00,0.77;;1769820670
the app game;35;110;1.43;0.16;0.00;0.00;6500000000;0.66,0.42,0.52,0.33,0.66,0.66,0.42,0.52,0.33,0.66,0.23,1.00;5;1769810004
the app game;55;110;1.43;0.16;0.00;0.00;6500000000;0.66,0.42,0.52,0.33,0.66,0.66,0.42,0.52,0.33,0.66,0.23,1.00;5;1769810004
what is svelte training;93;40;0.00;0.33;0.00;0.00;1740000;0.11,0.42,0.07,0.07,0.07,0.07,0.65,0.07,0.07,0.07,0.07,0.07;;1769855204
sttipe;17;40;4.22;0.28;0.00;0.00;472000000;0.10,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769822528
stri[pe;15;260;4.22;0.28;0.00;0.00;513000000;0.07,0.04,0.00,0.08,0.00,0.37,0.00,0.00,0.00,0.00,0.68,0.37;;1769925787
call bridge game;70;170;1.93;0.01;0.00;0.00;556000000;0.43,1.00,0.28,0.10,0.53,0.53,0.43,1.00,0.17,0.35,0.43,0.35;1;1769850079
apps game;45;320;2.40;0.19;0.00;0.00;9690000000;0.20,0.10,0.24,0.04,0.13,0.05,0.07,0.03,0.05,0.04,0.04,0.05;;1769780453
single a teams;55;110;0.00;0.00;0.00;0.00;989000000;0.23,0.23,0.23,0.52,0.66,0.80,0.80,1.00,0.66,0.42,0.33,0.33;5;1769873593
web stripe;71;140;5.43;0.48;0.00;0.00;112000000;0.07,0.07,0.00,0.19,0.80,0.80,1.00,0.26,0.42,1.00,0.80,0.19;5;1769739481
accelerate app;78;90;0.00;0.02;0.00;0.00;161000000;0.64,0.64,0.64,0.41,0.64,0.52,0.41,0.64,0.52,0.41,0.41,0.52;;1769879719
v0 by vercel;50;1300;6.71;0.37;0.00;0.00;1610000;0.25,0.46,0.68,0.52,0.68,0.68,1.00,0.68,0.84,0.52,0.68,0.68;;1769862134
s tripe;56;110;4.22;0.28;0.00;0.00;488000000;0.00,0.00,0.00,1.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769894298
s tripe;83;110;4.22;0.28;0.00;0.00;488000000;0.00,0.00,0.00,1.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769894298
stripe checkou;65;40;8.31;0.39;0.00;0.00;43900000;0.00,0.00,0.00,0.02,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769782132
stripe .;13;90;4.22;0.28;0.00;0.00;499000000;0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769894630
flight flight game;99;1300;1.01;0.06;0.00;0.00;570000000;0.52,0.08,0.68,0.68,0.84,1.00,0.84,0.05,0.25,0.84,0.68,1.00;;1769877059
best apps for progressive overload;97;40;3.14;0.56;0.00;0.00;2790000;0.06,0.53,0.09,0.09,0.06,0.12,0.09,0.09,0.09,0.09,0.00,0.15;;1769912500
careers at stripe;56;110;1.25;0.01;0.00;0.00;158000000;0.00,0.00,0.00,0.00,0.00,0.05,0.20,0.00,0.13,0.03,0.10,0.00;;1769847758
