Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
v0 mobile app;1;50;3.65;0.24;60.00;86.00;140000000;0.23,0.11,0.23,0.11,1.00,0.11,0.23,0.11,0.29,0.82,0.11,0.11;;1770246066
scheduleonrn;12;170;4.10;0.00;5.00;8.00;3400;0.00,0.00,0.00,0.01,0.39,1.00,0.39,0.14,0.11,0.09,0.09,0.07;;1767940209
v0 react native;2;40;0.00;0.03;5.00;0.00;1090000;0.11,0.23,0.52,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1770389990
native ios app;3;50;3.15;0.09;5.00;6.00;217000000;0.63,1.00,0.63,0.36,0.27,0.36,0.27,0.63,0.36,0.63,0.45,0.45;;1771214752
vercel v0 ui;20;40;0.00;0.11;0.00;0.00;188000;0.14,1.00,0.28,0.28,0.00,0.14,0.14,0.78,0.14,0.14,0.14,0.14;;1767488205
build ios app expo;57;40;0.00;0.14;0.00;0.00;53200000;0.18,0.81,0.18,1.00,0.00,0.81,0.18,0.18,0.18,0.18,0.18,0.18;;1771732750
vercel v0;23;5400;6.93;0.21;0.00;0.00;1630000;0.44,0.66,0.81,0.81,0.66,1.00,0.81,1.00,1.00,0.54,0.54,0.44;;1772465027
versel v0;10;260;6.75;0.13;0.00;0.00;1670000;0.53,0.65,0.81,0.81,1.00,1.00,1.00,1.00,1.00,0.81,0.00,0.00;;1768046911
vercel 0;26;140;6.62;0.13;0.00;0.00;14400000;0.43,0.53,0.53,0.65,1.00,0.43,0.21,0.21,0.21,0.21,0.15,0.21;;1772315768
native ios application;88;50;3.15;0.09;0.00;0.00;125000000;0.63,0.45,0.45,0.27,0.63,0.63,0.63,0.63,0.45,0.63,0.45,0.45;;1772359910
v zero vercel;8;40;0.00;0.18;0.00;0.00;415000;0.00,0.09,0.23,0.00,0.23,0.23,1.00,0.09,0.09,0.09,0.00,0.09;;1771221132
v zero vercel;10;40;0.00;0.18;0.00;0.00;415000;0.00,0.09,0.23,0.00,0.23,0.23,1.00,0.09,0.09,0.09,0.00,0.09;;1771221132
v0 by vercel;15;1300;6.71;0.37;0.00;0.00;1610000;0.25,0.46,0.68,0.52,0.68,0.68,1.00,0.68,0.84,0.52,0.68,0.68;;1769862134
v0.vercel;16;320;6.64;0.13;0.00;0.00;1500000;0.08,0.20,0.16,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772128554
v0-;65;50;6.12;0.04;0.00;0.00;315000000;0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00;;1767699314
vercel.com v0;24;480;0.00;0.00;0.00;0.00;1480000;1.00,0.00,0.00,0.00,0.00,0.00;;1769551137
v0 chat;29;110;0.00;0.33;0.00;0.00;48200000;0.03,0.44,0.18,0.03,0.15,0.15,0.08,0.11,0.11,1.00,0.03,0.03;;1772173451
v0 vercel;29;3600;6.64;0.13;0.00;0.00;1600000;0.54,0.81,0.65,1.00,0.81,0.81,1.00,0.65,1.00,0.65,0.65,0.81;;1772359646
v0.app;9;720;4.34;0.26;0.00;0.00;232000000;1.00,0.00,0.30;;1771975115
vercel's v0;24;260;0.00;0.00;0.00;0.00;17300;0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;;1769741539
vercel v0 ai;20;30;5.69;0.41;0.00;0.00;1050000;0.22,0.22,0.22,0.44,1.00,0.22,0.77,0.22,0.22,0.22,0.22,0.22;;1769318557
