Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel v0;8;5400;6.93;0.21;55.55;72.34;1630000;0.44,0.66,0.81,0.81,0.66,1.00,0.81,1.00,1.00,0.54,0.54,0.44;;1772465027
v0 by vercel;8;1300;6.71;0.37;22.22;27.65;1610000;0.25,0.46,0.68,0.52,0.68,0.68,1.00,0.68,0.84,0.52,0.68,0.68;;1769862134
vercel v0 logo;5;210;0.00;0.33;22.22;0.00;723000;1.00,0.15,0.15,0.15,0.15,0.15,0.54,0.54,0.12,0.02,0.02,0.02;5;1768027712
luicide react;55;390;0.00;0.00;0.00;0.00;21700000;0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1768497776
luicide react;58;390;0.00;0.00;0.00;0.00;21700000;0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1768497776
nextjs suspense;82;210;0.00;0.00;0.00;0.00;1390000;0.66,0.43,0.53,0.82,0.66,0.53,0.43,0.53,0.43,0.43,0.35,0.43;;1768338569
usemutation;48;590;0.00;0.00;0.00;0.00;115000;0.72,0.59,0.72,0.72,0.72,0.72,0.48,0.59,0.48,0.39,0.59,0.39;;1768265367
who made the metric system;82;480;0.00;0.00;0.00;0.00;196000000;0.24,0.55,0.30,0.16,0.55,0.20,0.20,0.36,0.24,0.45,0.76,0.45;;1767929150
who made the metric system;90;480;0.00;0.00;0.00;0.00;196000000;0.24,0.55,0.30,0.16,0.55,0.20,0.20,0.36,0.24,0.45,0.76,0.45;;1767929150
inside agent;51;110;14.86;0.11;0.00;0.00;1270000000;0.07,0.07,0.07,0.07,0.07,0.34,0.65,0.19,1.00,0.65,0.80,0.80;5;1768425614
best small model for coding;59;40;0.00;0.20;0.00;0.00;223000000;0.00,0.00,0.14,1.00,1.00,0.28,0.14,0.14,0.14,0.14,0.14,0.14;;1767962546
next js v0;6;50;0.00;0.33;0.00;0.00;27000000;0.50,0.78,0.14,0.14,1.00,0.28,0.78,0.14,0.14,0.14,0.14,0.14;5;1767988061
ai coding agent;93;390;6.00;0.15;0.00;0.00;144000000;0.15,0.12,0.15,0.23,0.23,0.66,0.81,0.66,0.81,1.00,1.00,1.00;;1768090850
v0 agent;3;40;6.82;0.14;0.00;0.00;37500000;0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1.00,0.06,0.06;;1767881428
