Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
next.js 14;69;210;8.19;0.09;0.00;0.00;639000000;0.00,0.01,0.03,0.01,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.02;;1769400173
shaking tree;57;40;0.00;0.33;0.00;0.00;130000000;0.26,0.80,0.15,0.15,0.03,0.00,0.00,0.07,0.07,0.07,0.07,0.07;5;1769385682
shaking on the inside;92;70;1.00;0.06;0.00;0.00;364000000;0.52,0.52,0.23,0.29,0.00,0.41,0.41,0.52,0.29,0.29,0.52,0.29;;1769464659
invalid package.json name;91;210;0.00;0.33;0.00;0.00;14100000;0.02,0.07,0.02,0.02,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00;;1769388982
react native turbo modules;53;40;0.00;0.01;0.00;0.00;320000;0.07,0.65,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.42,0.07,0.07;;1769299123
optimized icon;38;50;0.00;0.00;0.00;0.00;193000000;0.00,0.07,0.80,0.00,0.53,0.00,0.11,0.00,0.00,0.65,0.00,0.34;5;1769243882
onlyscans;55;170;1.07;0.00;0.00;0.00;115000;0.03,0.02,0.07,0.00,0.22,0.03,0.00,0.00,0.00,0.00,0.00,0.00;5;1769386936
lucide react npm;50;140;0.00;0.00;0.00;0.00;23300;0.04,0.04,0.06,0.35,0.43,0.22,0.22,0.22,0.22,0.29,1.00,0.14;;1769384993
react hmr;48;90;0.00;0.33;0.00;0.00;743000;0.11,0.11,1.00,0.64,0.64,0.64,0.11,0.11,0.64,0.64,1.00,0.11;;1769416827
whats a barrel;38;40;0.00;0.33;0.00;0.00;376000000;0.18,0.45,0.45,0.45,0.63,0.45,0.36,0.18,0.18,0.18,0.18,0.18;0;1769309564
lucide ai;44;30;5.23;0.11;0.00;0.00;7480000;1.00,0.20,0.40,0.60,1.00,1.00,0.00,0.60,0.40,0.40,0.60,0.20;;1769324928
pack export;46;30;3.83;0.15;0.00;0.00;110000000;0.23,0.11,0.11,0.11,0.11,0.11,0.00,0.00,0.29,0.41,0.41,0.29;5;1769395806
pack export;52;30;3.83;0.15;0.00;0.00;110000000;0.23,0.11,0.11,0.11,0.11,0.11,0.00,0.00,0.29,0.41,0.41,0.29;5;1769395806
mui icons material;79;720;0.00;0.00;0.00;0.00;572000;0.36,0.76,0.67,1.00,0.55,0.67,0.45,0.55,0.45,0.55,0.36,0.20;5;1769404607
next js turbopack;75;140;0.00;0.01;0.00;0.00;204000;0.12,1.00,0.35,1.00,0.28,0.35,0.28,0.28,0.28,0.35,0.28,0.12;;1769411715
import from package json;21;50;0.00;0.33;0.00;0.00;59900000;0.00,1.00,1.00,0.64,0.11,0.11,0.11,0.11,0.11,0.00,0.00,0.00;;1769346024
rollup typescript;76;90;0.00;0.00;0.00;0.00;1730000;0.23,0.35,0.28,0.35,0.28,0.23,0.17,0.28,0.23,0.17,0.12,0.12;;1769218659
index js in react;68;40;0.00;0.33;0.00;0.00;98800000;1.00,0.82,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.00;;1769391997
optimize files;50;40;1.33;0.08;0.00;0.00;209000000;0.07,0.14,0.00,0.00,0.00,0.28,0.00,0.64,0.78,0.35,0.28,1.00;5;1769378413
shake lib;28;110;0.00;0.00;0.00;0.00;4240000;0.53,0.28,0.43,0.28,0.43,0.28,0.21,0.28,0.34,0.43,0.43,0.21;5;1769385125
lucide-react npm;47;320;0.00;0.00;0.00;0.00;24600;0.01,0.01,0.16,0.00,1.00,0.00,0.00,0.00,0.00,0.84,0.07,0.00;;1769402918
turbo js;43;170;0.00;0.02;0.00;0.00;41500000;0.15,0.29,0.19,0.23,0.19,0.19,0.19,0.19,0.15,0.15,0.19,0.29;1;1769399647
shaking a tree;74;210;0.00;0.00;0.00;0.00;105000000;0.10,0.43,0.43,0.81,0.29,0.43,0.54,0.81,0.29,0.35,0.35,0.43;5;1769391569
packages material for export;87;40;0.00;0.33;0.00;0.00;19800000;0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.00,0.09,0.52,1.00,0.09;;1769322272
how to use ui utils;76;90;0.00;0.33;0.00;0.00;13000000;0.02,0.02,0.02,1.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02;;1769389220
how to use ui utils;78;90;0.00;0.33;0.00;0.00;13000000;0.02,0.02,0.02,1.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02;;1769389220
module1;64;70;0.00;0.01;0.00;0.00;943000;0.00,0.03,0.03,1.00,0.34,0.07,0.03,0.03,0.42,0.07,0.65,0.65;5;1769415835
webpack module federation;73;320;0.00;0.02;0.00;0.00;262000;0.44,0.54,0.54,0.66,0.66,0.54,0.54,0.54,0.35,0.54,0.35,0.54;;1769244892
how to speed up eslint;35;40;0.00;0.33;0.00;0.00;327000;0.50,0.14,0.14,1.00,0.28,0.14,0.14,0.14,0.64,0.14,0.14,0.14;;1769284832
barrel imports;13;50;0.00;0.33;0.00;0.00;33100000;0.06,0.06,0.06,0.06,0.06,0.21,0.06,0.06,1.00,0.21,0.06,0.06;;1770497984
tabler icons react;75;590;0.00;0.00;0.00;0.00;21700;0.36,0.36,0.36,0.36,0.67,0.67,0.76,0.45,0.67,0.55,0.16,0.45;;1769410395
javascript exports;41;70;0.00;0.00;0.00;0.00;48900000;0.06,0.05,0.04,0.05,0.05,0.05,0.19,0.06,0.09,0.01,0.23,0.09;;1769462037
otimized;49;40;10.30;0.09;0.00;0.00;319000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00;1,5;1769249977
lucide icon list;56;40;0.00;0.03;0.00;0.00;216000;0.23,1.00,0.41,0.41,0.11,0.11,0.11,0.11,0.00,0.00,0.11,0.11;5;1769401414
react next js;94;260;3.84;0.21;0.00;0.00;152000000;0.66,0.66,0.82,0.82,0.82,0.53,0.66,0.66,0.35,1.00,1.00,0.82;1;1769449891
barrel exports;22;70;0.00;0.33;0.00;0.00;7240000;0.03,0.03,0.03,0.03,0.11,0.03,0.03,1.00,0.26,0.65,0.42,0.07;;1772477293
barrel exports;35;70;0.00;0.33;0.00;0.00;7240000;0.03,0.03,0.03,0.03,0.11,0.03,0.03,1.00,0.26,0.65,0.42,0.07;;1772477293
exports icon;80;110;0.00;0.00;0.00;0.00;46000000;0.34,0.09,0.81,0.06,0.09,1.00,0.00,0.09,0.65,0.06,0.65,0.09;5;1769448092
threejs sandbox;81;40;0.00;0.33;0.00;0.00;1500000;0.14,0.14,1.00,0.14,0.14,0.50,0.14,0.14,1.00,0.14,0.00,0.00;;1769304019
