Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
chat sdk;1;480;3.51;0.10;35.20;42.37;77500000;0.36,0.36,0.23,0.44,0.66,0.66,0.66,0.66,0.81,0.81,0.81,1.00;;1771677886
vercel chat;1;140;4.63;0.05;33.13;52.64;13100000;0.07,0.07,0.80,1.00,0.80,0.65,0.80,0.42,0.42,0.53,0.53,0.26;;1769604460
vercel chat sdk;1;110;0.00;0.01;26.03;0.00;1260000;0.00,0.03,0.00,0.03,0.80,1.00,0.65,1.00,0.80,0.53,0.42,0.42;;1768889470
chatsdk;2;90;3.51;0.10;3.25;3.86;134000;0.19,0.09,0.52,0.09,0.80,0.52,0.33,0.23,0.33,0.42,1.00,0.42;;1770721673
https://chatdk.com;3;90;0.00;0.00;0.59;0.00;10200;0.54,0.43,0.43,0.29,0.04,0.00,0.02,0.00,0.14,0.14,0.10,0.14;;1768904344
vercel ai chat;2;90;5.64;0.16;0.59;1.11;5840000;0.15,0.07,0.80,0.80,0.15,0.00,0.00,1.00,0.80,0.26,0.11,0.07;;1769672710
chat sdk web;6;40;0.00;0.00;0.29;0.00;62500000;0.18,0.18,0.18,0.18,0.18,0.27,0.27,0.36,0.63,1.00,0.27,0.00;;1768045402
instant messaging sdk;9;70;0.00;0.33;0.29;0.00;576000;0.14,0.50,0.28,0.35,0.50,0.50,0.50,0.78,1.00,0.64,0.50,0.50;;1770072306
secure chat sdk for enterprise use;5;70;0.00;0.00;0.29;0.00;268000000;0.41,1.00,1.00,0.23,0.17,0.17,0.00,0.05;;1768908396
chat api sdk;6;50;0.00;0.33;0.29;0.00;58200000;0.14,0.14,0.21,0.21,0.28,0.35,0.14,0.28,0.64,1.00,0.50,0.14;;1767920174
chat sdk web;10;40;0.00;0.00;0.00;0.00;62500000;0.18,0.18,0.18,0.18,0.18,0.27,0.27,0.36,0.63,1.00,0.27,0.00;;1768045402
