Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
geist font;10;1300;0.00;0.00;29.09;0.00;21100000;0.46,0.52,0.52,0.84,1.00,0.68,0.68,0.68,1.00,1.00,0.68,0.68;5;1772196723
geist;18;9900;0.00;0.01;25.45;0.00;0;0.44,0.36,0.24,0.29,0.29,0.36,0.29,0.29,0.36,0.29,0.36,0.44;0,1,5;1772517422
vercel font;4;110;0.00;0.00;1.81;0.00;9680000;0.22,0.18,0.22,0.18,0.18,0.18,0.54,0.18,0.14,0.14,0.18,0.18;5;1771871573
giest font;13;210;0.00;0.00;1.81;0.00;22800000;0.00,0.00,0.00,0.02,0.00,0.00,0.02,0.03,1.00,0.00,0.00,0.00;5;1772477948
pixel triangle;7;110;0.00;0.00;1.81;0.00;61900000;0.64,0.64,0.41,0.52,0.52,0.52,0.52,0.64,1.00,0.52,0.52,0.64;5;1771309121
t fonts;40;590;0.00;0.00;0.00;0.00;247000000;0.13,0.10,0.55,0.67,0.20,1.00,0.55,0.13,1.00,0.30,0.16,0.24;5;1771805196
vercel ui;66;110;6.38;0.15;0.00;0.00;8170000;0.41,0.41,0.41,0.52,0.41,0.41,0.64,1.00,0.82,0.82,0.41,0.64;;1770870658
glyph circle;55;70;0.00;0.33;0.00;0.00;18300000;0.29,0.11,0.64,0.64,1.00,0.11,0.11,0.11,0.64,0.11,0.64,0.11;5;1771606276
glyph circle;58;70;0.00;0.33;0.00;0.00;18300000;0.29,0.11,0.64,0.64,1.00,0.11,0.11,0.11,0.64,0.11,0.64,0.11;5;1771606276
sans x;58;70;0.00;0.00;0.00;0.00;1360000000;0.04,0.06,0.09,0.12,0.12,0.23,0.06,0.09,0.09,0.09,0.05,0.19;5;1771803379
sans x;76;70;0.00;0.00;0.00;0.00;1360000000;0.04,0.06,0.09,0.12,0.12,0.23,0.06,0.09,0.09,0.09,0.05,0.19;5;1771803379
font evil;20;210;1.03;0.01;0.00;0.00;374000000;0.54,0.35,0.15,0.15,1.00,0.28,0.81,0.08,0.15,0.18,0.35,0.28;5;1771679074
evil ai;89;1000;0.00;0.00;0.00;0.00;613000000;0.45,0.36,0.45,0.62,0.62,0.81,0.45,0.55,0.62,0.81,1.00,0.81;;1770470955
font next js;80;40;0.00;0.33;0.00;0.00;383000000;0.14,0.64,0.14,0.28,1.00,0.14,0.14,0.14,0.14,0.78,0.14,0.14;;1771661462
pixel building;49;260;0.00;0.00;0.00;0.00;647000000;0.53,0.43,0.53,0.82,1.00,0.66,0.35,0.53,0.53,0.82,0.66,0.66;5;1770541049
bitmap trace;42;30;0.97;0.13;0.00;0.00;4380000;0.27,0.63,0.18,0.18,0.63,0.09,0.45,0.18,0.09,0.00,0.09,0.18;5;1770998077
pixel pushing;87;40;0.00;0.03;0.00;0.00;23600000;0.03,0.09,0.21,0.34,0.34,0.00,0.12,0.00,0.00,0.15,0.15,0.00;;1771370299
css font stack;95;90;0.00;0.00;0.00;0.00;79100000;0.08,0.18,0.35,0.18,0.18,0.11,0.15,0.08,0.11,0.23,0.15,0.11;;1770524424
trace bitmap;74;140;0.97;0.13;0.00;0.00;4270000;0.64,0.82,0.11,0.82,0.52,0.82,0.82,0.82,0.82,0.82,1.00,0.82;5;1770477490
pixel products;71;70;1.12;0.75;0.00;0.00;594000000;0.11,0.11,0.11,0.11,0.11,0.64,1.00,1.00,0.52,0.52,0.52,0.64;;1771712636
pixke;28;70;1.13;0.26;0.00;0.00;1210000000;0.66,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00;;1770865553
pixke;44;70;1.13;0.26;0.00;0.00;1210000000;0.66,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00;;1770865553
css texture;82;50;0.00;0.33;0.00;0.00;20300000;0.11,0.64,0.41,0.11,0.11,0.41,0.41,0.00,0.29,0.29,0.11,0.17;5;1771610626
