Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
twitter react;3;260;0.00;0.00;80.00;0.00;196000000;0.13,0.10,0.13,0.24,0.20,0.20,0.20,0.24,0.30,0.20,0.24,0.16;;1772362861
embed a tweet;8;390;3.85;0.01;20.00;100.00;34300000;0.39,0.17,0.32,0.39,0.32,0.88,1.00,0.39,0.21,0.32,0.11,0.21;;1772288212
twitter profile embed;26;40;0.00;0.33;0.00;0.00;36000000;0.11,0.11,0.11,0.11,0.11,0.64,0.64,0.23,0.23,0.17,0.11,0.11;;1772004270
twitter reactjs;10;140;0.00;0.33;0.00;0.00;28900000;0.00,0.05,0.05,0.05,0.28,0.82,1.00,0.35,0.35,1.00,0.05,0.05;;1770269838
tweet embed code;9;70;0.00;0.00;0.00;0.00;4230000;0.14,0.78,0.14,0.14,0.78,0.64,1.00,0.35,0.50,0.35,0.28,0.35;;1771527392
tweet embed code;11;70;0.00;0.00;0.00;0.00;4230000;0.14,0.78,0.14,0.14,0.78,0.64,1.00,0.35,0.50,0.35,0.28,0.35;;1771527392
tweet embed code;22;70;0.00;0.00;0.00;0.00;4230000;0.14,0.78,0.14,0.14,0.78,0.64,1.00,0.35,0.50,0.35,0.28,0.35;;1771527392
twitter embed code for website;31;70;0.00;0.00;0.00;0.00;65400000;0.14,0.78,0.14,0.14,0.78,0.64,1.00,0.35,0.50,0.35,0.28,0.35;;1768597459
best app post website blog to twitter;46;260;0.00;0.00;0.00;0.00;265000000;1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772014555
react twitter;5;40;0.00;0.33;0.00;0.00;255000000;0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01;;1772453763
