Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
ai-sdk;9;2400;0.00;0.00;77.02;0.00;92700000;0.13,0.07,0.07,0.00,0.28,0.43,0.43,0.54,1.00,0.54,0.15,0.66;;1772394995
ai sdk;11;3600;5.72;0.11;13.51;67.05;103000000;0.13,0.19,0.36,0.28,0.54,0.66,0.54,0.54,1.00,0.81,0.81,0.54;;1772441910
ai sdk;20;3600;5.72;0.11;6.75;32.94;103000000;0.13,0.19,0.36,0.28,0.54,0.66,0.54,0.54,1.00,0.81,0.81,0.54;;1772441910
npm ai-sdk;4;110;0.00;0.00;1.35;0.00;19200000;0.02,0.02,0.02,0.10,0.02,0.02,0.02,0.22,0.81,1.00,0.35,0.00;;1769168053
ai npm;6;140;0.00;0.01;1.35;0.00;36100000;0.07,0.42,0.07,0.80,1.00,0.42,0.80,0.80,0.42,0.65,0.26,0.42;;1768399420
vercel ai sdk github;60;140;0.00;0.00;0.00;0.00;2060000;0.80,0.33,0.42,0.52,0.66,0.66,0.66,0.80,0.80,0.80,0.80,0.66;;1768563912
vercel ai accelerator;32;110;8.47;0.08;0.00;0.00;832000;0.04,0.06,0.06,0.04,0.10,0.22,0.81,1.00,0.10,0.08,0.04,0.08;;1770473676
ai sdk google npm;19;40;0.00;0.33;0.00;0.00;20200000;0.11,0.11,0.82,0.52,0.11,0.23,0.11,0.11,0.11,0.11,0.11,0.11;;1771831518
langgraph vercel ai sdk;73;50;0.00;0.02;0.00;0.00;20400;1.00,0.64,0.82,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1770194033
vercel ai playground;49;210;4.61;0.17;0.00;0.00;314000;0.54,0.28,0.35,0.28,0.23,1.00,0.28,0.28,0.23,0.15,0.23,0.23;;1771996907
vercel playground;21;40;0.00;0.07;0.00;0.00;518000;0.41,0.29,0.29,0.23,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11;;1769552133
ai sdk npm;6;90;0.00;0.01;0.00;0.00;21600000;0.23,0.23,0.11,0.64,0.64,0.82,0.11,1.00,0.64,0.64,0.52,0.52;;1772148028
react ai library;59;40;0.00;0.02;0.00;0.00;152000000;0.82,0.82,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1769416793
ai package;18;90;2.83;0.39;0.00;0.00;2800000000;0.06,0.12,0.21,0.28,0.43,0.28,0.28,0.28,0.43,0.06,0.21,0.43;;1770853856
ai package;20;90;2.83;0.39;0.00;0.00;2800000000;0.06,0.12,0.21,0.28,0.43,0.28,0.28,0.28,0.43,0.06,0.21,0.43;;1770853856
aisdk;75;2400;0.00;0.01;0.00;0.00;13200;0.54,0.66,0.24,0.08,0.10,0.15,0.10,0.19,0.24,0.13,0.66,1.00;;1772452320
vercel ai sdk documentation;16;40;0.00;0.02;0.00;0.00;1200000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00,0.18,0.18;;1769306237
vercel aisdk;25;30;7.06;0.02;0.00;0.00;2480000;0.11,0.00,0.00,1.00,0.00,0.00,0.55,0.44,0.55,0.00,0.55;;1767853643
what is vercel ai sdk;6;40;0.00;0.03;0.00;0.00;2770000;0.52,0.09,0.23,0.09,0.80,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;1770472831
face ai sdk;45;50;0.00;0.00;0.00;0.00;13000000;0.14,0.14,0.09,0.09,0.09,0.09,0.09,0.14,0.42,0.52,0.52,0.52;;1767913076
together ai npm;13;40;0.00;0.36;0.00;0.00;23700000;0.28,0.64,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;1770370211
vercel ai sdk ui;41;1000;6.32;0.08;0.00;0.00;1850000;0.34,0.34,0.34,1.00,0.34,0.34,0.34,0.34,0.34,0.00,0.03,0.00;;1770325438
vercel.ai;25;30;6.24;0.30;0.00;0.00;17900000;0.77,0.77,0.77,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1768628836
ai-sdk/react;88;40;0.00;0.00;0.00;0.00;40600000;0.09,0.09,0.52,0.04,0.00,0.04,0.00,0.00,0.04,0.04,1.00,0.00;;1770876930
ai package npm;4;50;0.00;0.33;0.00;0.00;33600000;0.11,0.11,1.00,0.11,0.41,0.82,0.23,0.11,0.11,0.11,0.11,0.11;;1771832172
vercel ai sk;7;50;7.06;0.02;0.00;0.00;191000;0.44,0.44,0.77,0.77,0.77,1.00,1.00,0.00,0.44,0.55,0.00,0.00;;1767442048
vercel ai sdk docs;50;50;0.00;0.33;0.00;0.00;1560000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,1.00,0.11,0.11;;1769248754
ai sdk docs;91;70;4.84;0.02;0.00;0.00;116000000;0.21,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.34,1.00,0.34,0.34;;1769236232
vercel ia;31;260;0.00;0.46;0.00;0.00;983000;0.01,0.00,0.01,0.01,1.00,0.01,0.31,0.00,0.13,0.03,0.01,0.01;;1772571884
