Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel workflows;3;70;7.69;0.02;50.00;50.00;3310000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.29,1.00;;1771790698
vercel workflow;6;110;7.69;0.02;50.00;50.00;4100000;0.01,0.12,0.02,0.04,0.04,0.01,0.01,0.09,0.01,0.01,0.29,1.00;;1770878778
developer workflows;78;30;9.86;0.24;0.00;0.00;113000000;0.55,0.77,0.00,0.55,0.33,0.55,0.00,0.77,0.00,0.00,0.00,0.11;5;1768615666
developer workflows;92;30;9.86;0.24;0.00;0.00;113000000;0.55,0.77,0.00,0.55,0.33,0.55,0.00,0.77,0.00,0.00,0.00,0.11;5;1768615666
dev workflow;11;70;9.22;0.19;0.00;0.00;207000000;0.63,0.81,0.63,0.81,0.81,0.63,0.81,0.63,0.45,0.36,0.45,0.36;5;1772183209
vercel queues;82;70;0.00;0.01;0.00;0.00;139000;0.09,0.09,0.09,0.09,0.09,0.09,0.09,1.00,0.52,0.52,0.66,0.66;;1767488404
developer workflow;77;40;9.86;0.24;0.00;0.00;173000000;0.18,1.00,0.63,0.81,0.45,0.00,0.00,0.00,0.63,0.00,0.00,0.09;5;1769604762
next js workflow;5;30;4.20;0.26;0.00;0.00;70700000;0.28,0.14,0.00,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14;5;1771763678
vercel workflow sdk;5;40;0.00;0.01;0.00;0.00;601000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.05;;1770876606
workflow development;7;50;10.75;0.32;0.00;0.00;203000000;0.17,0.00,1.00,0.29,0.05,0.17,0.64,0.00,0.00,0.82,0.29,0.00;5;1767625095
workflow developer;49;70;9.86;0.24;0.00;0.00;181000000;0.14,0.78,0.50,0.64,0.64,0.64,0.50,0.35,0.35,0.35,0.35,0.35;;1772137343
development workflow;56;90;9.22;0.19;0.00;0.00;202000000;0.28,0.34,0.21,0.34,0.34,0.34,0.34,0.34,0.21,0.12,0.15,0.12;5;1768922388
workflow use;47;140;9.30;0.15;0.00;0.00;211000000;0.01,0.11,0.01,0.05,0.01,1.00,1.00,0.54,0.03,0.03,0.00,0.03;;1772378165
vercel message queue;30;40;0.00;0.33;0.00;0.00;216000;0.14,0.14,1.00,0.14,0.14,0.28,0.14,0.64,0.14,0.14,0.14,0.14;;1767487238
vercel queue;62;210;0.00;0.33;0.00;0.00;836000;0.01,0.03,0.03,0.08,0.01,0.10,0.01,0.16,1.00,0.01,0.01,0.16;;1767340334
