Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
next js;15;22200;3.18;0.05;46.15;47.50;631000000;0.54,0.66,0.66,0.66,0.66,0.54,0.54,0.54,0.44,0.54,0.81,0.44;;1772285817
next.js;13;9900;3.18;0.05;38.46;37.50;631000000;0.54,0.54,0.81,0.81,0.44,0.03,0.03,0.03,0.04,0.04,0.44,0.54;;1772276312
javascript next;18;1300;3.18;0.05;7.69;7.50;1380000000;0.01,0.08,0.00,0.08,1.00,0.04,0.01,0.01,0.04,0.00,0.01,0.03;1;1772214921
next javascript;11;1000;3.18;0.05;7.69;7.50;1590000000;0.43,0.10,0.10,0.13,0.07,0.43,0.10,0.19,0.05,0.08,0.10,0.19;1;1770368681
nexts js;10;170;3.18;0.05;0.00;0.00;644000000;0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00;;1769396318
nextjs;55;27100;3.18;0.05;0.00;0.00;23100000;0.54,0.81,0.66,0.81,0.66,0.54,0.66,0.54,0.66,0.54,0.54,0.44;;1772313915
next javascript framework;44;140;3.24;0.01;0.00;0.00;231000000;0.17,0.23,0.12,0.17,0.23,0.43,1.00,0.35,0.17,0.28,0.53,0.66;1;1771319988
next jas;14;50;3.18;0.05;0.00;0.00;655000000;0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769212564
nect js;20;170;3.56;0.04;0.00;0.00;655000000;0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.36,0.81,1.00,0.00;1;1767231949
nextjs.;28;140;2.45;0.01;0.00;0.00;24000000;0.00,0.05,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.44;;1767642266
nexjts;14;110;3.56;0.04;0.00;0.00;684000000;0.00,0.35,0.18,0.00,0.00,0.00,0.00,1.00,0.22,0.81,0.00,0.00;;1768226124
nex.js;14;90;3.18;0.05;0.00;0.00;590000000;0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,1.00,0.00;;1771696087
next ja;16;90;3.18;0.05;0.00;0.00;678000000;0.00,0.00,0.00,0.07,0.03,0.03,0.05,0.05,0.00,0.04,0.00,0.00;;1768871373
.next js;80;40;3.56;0.04;0.00;0.00;157000;0.20,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1768363867
nexrjs;22;320;3.18;0.05;0.00;0.00;594000000;0.67,0.76,0.76,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771406545
next.s;14;40;1.17;0.03;0.00;0.00;8100000000;0.00,1.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00;1;1772166869
next.s;70;40;1.17;0.03;0.00;0.00;8100000000;0.00,1.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00;1;1772166869
next.s;76;40;1.17;0.03;0.00;0.00;8100000000;0.00,1.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00;1;1772166869
nex js;19;110;3.56;0.04;0.00;0.00;656000000;0.00,0.08,0.00,0.13,0.00,0.08,0.06,0.30,0.16,0.00,0.00,0.16;1;1767229671
netxtjs;20;70;3.56;0.04;0.00;0.00;654000000;0.81,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00;;1767247090
nextsjs;23;140;3.56;0.04;0.00;0.00;650000000;0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.30,0.00,0.67,0.00;;1767322498
nectjs;14;170;3.18;0.05;0.00;0.00;657000000;0.30,0.06,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.36;;1769187713
next j;12;140;3.56;0.04;0.00;0.00;650000000;0.32,1.00,0.01,0.00,0.00,0.00,0.00,0.21,0.05,0.21,0.00,0.00;;1767728675
next j;19;140;3.56;0.04;0.00;0.00;650000000;0.32,1.00,0.01,0.00,0.00,0.00,0.00,0.21,0.05,0.21,0.00,0.00;;1767728675
js next;18;50;3.18;0.05;0.00;0.00;1840000000;0.07,0.01,0.00,0.00,0.03,0.02,0.00,0.01,0.00,0.00,0.00,0.00;1;1771452093
nexst js;21;480;3.18;0.05;0.00;0.00;639000000;0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.52,0.00;;1772502208
nextja;12;140;3.18;0.05;0.00;0.00;656000000;0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.00,0.00,1.00,0.29,0.00;;1769203820
next js frameworks;36;30;3.24;0.01;0.00;0.00;204000000;0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00;;1772058870
nexy js;14;210;3.56;0.04;0.00;0.00;698000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00;;1768571983
nexjs;14;720;3.18;0.05;0.00;0.00;642000000;0.16,0.16,0.08,0.24,0.34,0.44,0.24,0.11,0.24,0.16,0.30,0.08;;1769931300
nxt.js;18;110;3.18;0.05;0.00;0.00;609000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;;1770543340
nextks;12;90;3.18;0.05;0.00;0.00;655000000;0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.16,0.06,0.00,0.00;;1769212382
next-js;14;260;0.00;0.00;0.00;0.00;640000000;0.07,0.00,0.16,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.52,0.00;;1772424241
next-js;29;260;0.00;0.00;0.00;0.00;640000000;0.07,0.00,0.16,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.52,0.00;;1772424241
next.js.;12;110;3.18;0.05;0.00;0.00;649000000;0.00,0.00,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00;;1769313043
next jd;12;90;3.18;0.05;0.00;0.00;643000000;1.00,0.23,0.28,0.00,0.35,0.53,0.00,0.00,0.00,0.00,0.53,0.00;;1769411725
netxjs;17;110;3.18;0.05;0.00;0.00;609000000;0.00,0.24,0.06,0.00,0.00,0.13,0.36,0.00,0.00,0.08,0.00,0.00;;1770563433
next hs;15;110;3.18;0.05;0.00;0.00;629000000;0.00,0.01,0.11,0.09,0.00,0.00,0.00,0.00,1.00,0.00,0.21,0.00;;1772302144
next ks;13;110;3.18;0.05;0.00;0.00;663000000;0.28,0.82,0.28,0.35,1.00,0.23,0.02,0.12,0.00,0.00,0.00,0.00;;1769883858
next.js vercel;14;50;5.18;0.07;0.00;0.00;4540000;0.64,1.00,0.41,0.29,0.05,0.00,0.00,0.00,0.00,0.00,0.82,0.82;1;1771504190
