Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
next/font;10;390;0.00;0.00;66.66;0.00;8330000000;0.04,0.00,0.02,0.00,0.03,0.00,0.00,1.00,0.00,0.00,0.00,0.00;;1768208038
next fonts;8;170;0.00;0.00;25.00;0.00;225000000;0.15,0.43,0.65,0.81,0.81,0.53,0.43,0.81,0.65,0.34,0.43,0.28;;1770903999
next font;8;260;0.00;0.00;8.33;0.00;5560000000;0.39,0.32,0.32,0.39,0.32,0.21,0.21,0.26,0.26,0.26,0.21,0.17;;1772364438
next font google;43;210;0.00;0.00;0.00;0.00;3920000000;0.53,1.00,0.65,0.81,1.00,0.81,0.65,0.81,0.65,0.65,0.43,0.43;;1772161467
next font google;56;210;0.00;0.00;0.00;0.00;3920000000;0.53,1.00,0.65,0.81,1.00,0.81,0.65,0.81,0.65,0.65,0.43,0.43;;1772161467
next js font;13;110;0.00;0.00;0.00;0.00;637000000;0.11,0.28,0.11,0.35,0.15,0.06,0.08,0.23,0.18,0.35,0.15,0.08;;1768881732
next js google fonts;37;90;0.00;0.00;0.00;0.00;22200000;0.23,0.12,0.28,0.17,0.28,0.17,0.12,0.23,0.28,0.23,0.17,0.23;;1767375678
font next js;15;40;0.00;0.33;0.00;0.00;383000000;0.14,0.64,0.14,0.28,1.00,0.14,0.14,0.14,0.14,0.78,0.14,0.14;;1771661462
nextjs font;12;170;0.00;0.00;0.00;0.00;24500000;0.43,0.66,0.10,0.53,0.53,1.00,0.53,0.17,0.17,0.23,0.28,0.43;;1768246754
next js fonts;16;170;0.00;0.00;0.00;0.00;45200000;0.29,0.66,0.22,0.43,0.35,0.29,0.54,0.29,0.35,0.22,0.14,0.14;;1771703192
next.js fonts;36;50;0.00;0.00;0.00;0.00;31000000;0.36,0.00,0.23,0.19,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00;;1767508894
nextjs fonts;30;320;0.00;0.00;0.00;0.00;14200000;0.36,0.44,0.81,0.44,0.81,0.44,0.44,0.23,0.36,0.36,0.29,0.19;;1767834867
next/font/google;46;720;0.00;0.00;0.00;0.00;6530000000;0.07,0.07,0.03,0.08,0.20,1.00,0.00,0.65,0.00,0.55,0.00,0.07;;1767822912
nextjs custom fonts;13;70;0.00;0.33;0.00;0.00;10900000;0.19,0.19,0.26,0.26,0.53,0.26,0.26,0.19,0.19,0.19,0.15,0.07;;1767311109
