Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel seo;1;30;13.23;0.13;92.30;95.19;1420000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18;;1767568848
nextjs seo;8;880;8.04;0.04;7.69;4.80;3760000;0.07,0.13,0.10,0.24,0.03,0.04,0.10,0.27,0.24,0.36,0.24,1.00;;1769553878
next seo;14;320;8.35;0.03;0.00;0.00;1680000000;0.44,0.54,0.54,0.54,0.81,0.81,0.66,0.44,0.44,0.54,0.44,0.18;;1767545745
next seo;21;320;8.35;0.03;0.00;0.00;1680000000;0.44,0.54,0.54,0.54,0.81,0.81,0.66,0.44,0.44,0.54,0.44,0.18;;1767545745
next-seo;28;590;0.00;0.00;0.00;0.00;2590000000;0.04,0.04,0.04,0.82,0.00,0.03,0.11,1.00,0.03,0.02,0.02,0.00;;1770194015
next js seo best practice;14;90;0.00;0.34;0.00;0.00;4120000;0.06,0.06,0.06,0.15,0.15,0.28,0.28,1.00,0.43,0.15,0.28,0.06;;1771855932
js seo;33;50;3.70;0.02;0.00;0.00;143000000;0.00,0.00,0.18,0.09,0.27,0.36,0.45,0.63,1.00,0.63,1.00,0.18;;1767883366
nextjs seo guide;26;40;0.00;0.33;0.00;0.00;545000;0.28,1.00,0.14,0.14,0.50,0.14,0.28,0.28,0.14,0.14,0.14,0.14;;1767340304
next.js seo;11;40;8.04;0.04;0.00;0.00;90100000;0.04,0.15,0.00,0.09,0.01,0.00,0.01,0.01,0.06,0.09,0.12,0.06;;1770877841
nextseo;40;90;8.35;0.03;0.00;0.00;57100;0.34,0.53,0.11,0.42,0.42,1.00,0.42,0.15,0.34,0.11,0.11,0.07;;1768456624
nextseo;41;90;8.35;0.03;0.00;0.00;57100;0.34,0.53,0.11,0.42,0.42,1.00,0.42,0.15,0.34,0.11,0.11,0.07;;1768456624
seo next js;15;70;4.36;0.02;0.00;0.00;82600000;0.07,0.07,0.07,0.42,0.07,0.07,0.07,0.07,0.07,0.42,0.42,0.80;;1769300392
next js seo;14;880;8.04;0.04;0.00;0.00;65900000;0.16,0.13,0.10,0.13,0.24,0.20,0.08,0.20,0.54,0.66,1.00,0.79;;1771254523
