Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
cve-2025-29927;5;3600;0.00;0.00;98.13;0.00;11700;1.00,0.81,0.12,0.44,0.29,0.35,0.29,0.12,0.29;;1772324158
cve 2025 29927;6;110;0.00;0.00;1.86;0.00;23900;0.28,0.66,0.00,1.00,0.00,0.12,0.00,0.00;;1767692425
next js vulnerability;50;140;7.52;0.12;0.00;0.00;78800000;0.02,0.02,0.02,0.02,1.00,0.26,0.05,0.03,0.05,0.03,0.05,0.01;;1768228069
cve-2025-61927;87;70;0.00;0.00;0.00;0.00;717;0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.00;;1769356019
next.js 12.3.0 vulnerabilities;22;210;0.00;0.00;0.00;0.00;769;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772473908
nextjs 15.2;58;50;0.00;0.33;0.00;0.00;479000;0.04,0.04,1.00,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;1770339526
nextjs 15.2;71;50;0.00;0.33;0.00;0.00;479000;0.04,0.04,1.00,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;1770339526
nextjs exploit;56;40;0.00;0.14;0.00;0.00;686000;0.09,0.09,0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;1769291927
nextjs cve;67;70;0.00;0.09;0.00;0.00;459000;0.09,0.09,0.09,1.00,1.00,0.33,0.33,0.33,0.14,0.33,0.23,0.14;;1769410658
nextjs vulnerabilities;37;40;0.00;0.18;0.00;0.00;3410000;0.11,0.11,0.11,0.64,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1772380004
2025 bypass;47;40;0.00;0.33;0.00;0.00;218000000;0.00,0.11,0.23,0.23,0.23,1.00,0.11,0.11,0.11,0.11,0.11,0.11;;1772093164
nextjs vulnerability;48;50;0.00;0.16;0.00;0.00;1350000;0.07,0.07,0.07,1.00,0.65,0.07,0.07,0.07,0.07,0.07,0.07,0.07;;1769410933
cve-2024-34350 next.js request smuggling;34;50;0.00;0.00;0.00;0.00;194;0.00,1.00,0.19,0.03,0.03,0.00,0.03;;1770810924
next.js http request smuggling cve-2024-34350;67;50;0.00;0.00;0.00;0.00;345;0.23,1.00,0.19,0.00,0.00,0.00;;1768251272
next js exploit;37;40;0.00;0.33;0.00;0.00;43900000;0.00,0.00,0.00,1.00,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.00;;1768876782
next.js cve-2025-29927;25;40;0.00;0.06;0.00;0.00;24700;0.82,1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1767490570
cve-2024-34350 next.js;67;70;0.00;0.00;0.00;0.00;548;0.00,1.00,0.12,0.03,0.03,0.03;;1768577044
cve-2025-29927 exploit;30;40;0.00;0.00;0.00;0.00;4740;0.50,1.00,0.35,0.28,0.00,0.07,0.00,0.14,0.00;;1768886214
x middleware subrequest;15;90;0.00;0.33;0.00;0.00;4880;0.00,0.00,0.00,0.35,1.00,0.15,0.03,0.03,0.03,0.03,0.03,0.03;;1771797123
x-middleware-subrequest;32;210;0.00;0.00;0.00;0.00;5200;1.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00;;1772560259
cve-2024-34350 next.js http request smuggling;67;320;0.00;0.00;0.00;0.00;345;0.13,1.00,0.10,0.01,0.00,0.03;;1768149042
cve-2024-51479;70;40;0.00;0.00;0.00;0.00;939;0.00,1.00,0.22,0.00,0.55,1.00,0.77,0.44,0.33,0.55,0.44,0.33;;1767904114
middleware 2025;48;70;0.00;0.01;0.00;0.00;14200000;0.64,0.00,0.00,1.00,0.21,0.78,0.78,0.78,0.14,0.14,0.50,0.78;;1768872135
