Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
no boundries;35;3600;0.11;0.91;100.00;0.00;301000000;0.29,0.29,0.19,0.54,0.29,0.44,0.29,0.29,0.29,0.36,0.24,0.36;5;1772149693
the secrets we left behind;58;90;0.00;0.30;0.00;0.00;272000000;0.66,0.28,0.23,0.17,0.17,0.17,0.17,0.35,0.23,0.12,0.12,0.10;;1772182774
weboftrust;60;170;2.10;0.02;0.00;0.00;1900000000;0.29,0.15,0.15,0.44,0.19,0.15,0.36,0.12,0.19,0.15,0.15,0.23;1;1772078877
weboftrust;86;170;2.10;0.02;0.00;0.00;1900000000;0.29,0.15,0.15,0.44,0.19,0.15,0.36,0.12,0.19,0.15,0.15,0.23;1;1772078877
secrets of secrets code;29;70;0.00;0.00;0.00;0.00;621000000;1.00,0.64,0.50,0.21,0.50,0.07,0.50,0.35,0.35,0.50,0.50,0.35;5;1771970918
fash ssh;42;30;2.69;0.01;0.00;0.00;26800000;0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772033062
fash ssh;50;30;2.69;0.01;0.00;0.00;26800000;0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772033062
sanbox code;43;30;5.44;0.02;0.00;0.00;132000000;0.00,1.00,0.00,0.00,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.00;;1772057775
codeina;77;3600;2.35;0.00;0.00;0.00;77400000;1.00,0.81,0.66,0.81,0.66,0.53,0.53,0.53,0.66,0.35,0.44,0.35;5;1772043910
actors access login free;62;40;0.00;0.02;0.00;0.00;389000000;0.45,0.45,0.45,0.63,0.63,0.27,0.27,0.36,0.18,0.18,0.18,0.18;;1772015350
re enlistment code;90;70;0.00;0.00;0.00;0.00;207000000;0.35,0.21,0.64,0.78,0.78,0.78,0.00,0.64,0.35,0.28,0.21,0.50;;1772118279
next js proxy;87;110;0.00;0.01;0.00;0.00;59900000;0.08,0.11,0.15,0.15,0.11,0.11,0.11,0.08,0.08,0.03,0.54,0.54;;1772015730
the way you compute tonight;20;50;0.00;0.33;0.00;0.00;4070000;0.07,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.04;1;1771994960
ssh-agent -s;54;70;0.00;0.00;0.00;0.00;5570000;0.30,0.01,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.00;;1772043869
most reliable platforms for deploying account abstraction;92;70;0.00;0.00;0.00;0.00;29900000;0.45,1.00,0.81,0.45,0.27;;1772092189
agent architectures;36;70;2.50;0.32;0.00;0.00;414000000;0.00,0.00,0.17,0.17,0.52,0.41,1.00,0.52,0.64,0.41,0.05,0.41;;1772063236
most security;85;50;0.00;0.00;0.00;0.00;3970000000;0.45,0.45,0.63,0.63,0.45,0.45,0.63,0.63,0.63,0.63,0.18,0.63;5;1771974792
secret lebel;67;40;0.34;0.01;0.00;0.00;1980000000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.28,0.00,0.00;1;1772082476
the agent;52;2900;1.43;0.00;0.00;0.00;2880000000;0.44,0.81,0.24,0.13,0.54,0.19,0.16,0.36,0.36,0.16,0.19,0.19;1,5;1772120017
run security;57;70;8.53;0.27;0.00;0.00;1480000000;0.11,0.11,1.00,0.64,0.64,0.17,0.64,0.82,0.64,0.00,0.41,0.29;;1772176171
secure web application architecture;44;50;0.00;0.05;0.00;0.00;618000000;0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.81,0.81,0.45,0.45,0.45;;1771975343
secure web application architecture;62;50;0.00;0.05;0.00;0.00;618000000;0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.81,0.81,0.45,0.45,0.45;;1771975343
error reading from connection;40;170;0.00;0.00;0.00;0.00;622000000;0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772042951
no boundaires;34;170;0.11;0.91;0.00;0.00;301000000;0.48,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,1.00;5;1772154241
which secrets management tool is best for multiple environments;54;70;0.00;0.00;0.00;0.00;116000000;0.80,1.00,0.65,0.11,0.00,0.00,0.00,0.00,0.00;;1772056797
which secrets management tool is best for multiple environments;71;70;0.00;0.00;0.00;0.00;116000000;0.80,1.00,0.65,0.11,0.00,0.00,0.00,0.00,0.00;;1772056797
actors in the code;82;90;0.00;0.00;0.00;0.00;403000000;0.08,0.11,0.11,0.11,0.15,0.35,0.23,0.11,0.11,0.11,0.11,0.18;5;1771979199
rewriting the code;39;1600;7.28;0.08;0.00;0.00;29800000;0.36,0.52,0.52,0.52,0.44,0.44,0.36,0.52,0.52,0.66,0.44,0.36;;1771970195
