Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel ai agents;10;30;6.61;0.14;0.00;0.00;1740000;1.00,0.05,0.05,0.29,0.11,0.00,0.11,0.11,0.11,0.11,0.11,0.11;;1767018017
vercel stocks;46;40;1.51;0.01;0.00;0.00;1510000;0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.23,0.82,1.00,0.64;;1771026295
agent development;18;50;7.10;0.37;0.00;0.00;1370000000;0.09,0.09,0.23,0.04,1.00,0.00,0.09,0.33,0.33,0.00,0.33,0.42;;1770536225
development agent;16;260;8.02;0.16;0.00;0.00;1200000000;0.54,0.43,0.35,0.22,0.18,0.35,0.81,0.10,0.29,1.00,1.00,0.81;;1771020891
ai agent developer;19;170;12.01;0.80;0.00;0.00;290000000;0.10,0.82,0.35,0.02,0.35,0.23,0.17,0.35,1.00,0.66,0.43,0.43;;1770512145
ai agent developer;21;170;12.01;0.80;0.00;0.00;290000000;0.10,0.82,0.35,0.02,0.35,0.23,0.17,0.35,1.00,0.66,0.43,0.43;;1770512145
vercel agents;33;50;6.95;0.08;0.00;0.00;2890000;0.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,1.00,0.64;;1770880004
vercel agents;40;50;6.95;0.08;0.00;0.00;2890000;0.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,1.00,0.64;;1770880004
ai sdk agents;47;40;7.14;0.13;0.00;0.00;42400000;0.18,0.81,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,1.00;;1768073634
ai agent dev;47;210;10.96;0.43;0.00;0.00;528000000;0.04,0.05,0.05,0.05,0.14,0.32,0.39,0.14,0.14,1.00,0.26,0.17;;1769669886
custom ai agent model development for non-developers:;62;480;0.00;0.00;0.00;0.00;5340000;0.06,1.00,0.81;;1769239379
custom ai agent model development for non-developers:;73;480;0.00;0.00;0.00;0.00;5340000;0.06,1.00,0.81;;1769239379
deterministic ai agents;97;30;4.51;0.27;0.00;0.00;3970000;0.00,0.00,0.00,0.28,0.14,1.00,0.14,0.50,0.14,0.14,0.14,0.14;;1769316228
vercel stock price;22;50;0.00;0.33;0.00;0.00;460000;0.11,0.11,0.11,0.11,0.23,0.11,0.17,0.11,0.11,1.00,0.64,1.00;;1767968571
ai agent development;48;590;10.96;0.43;0.00;0.00;541000000;0.24,0.20,0.24,0.30,0.30,0.36,0.36,0.45,0.67,0.67,0.45,1.00;5;1771056788
