Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
ai crawler;4;260;5.57;0.23;60.00;66.00;309000000;0.43,0.81,0.35,0.54,0.66,0.35,0.43,1.00,0.54,0.54,0.35,0.43;;1769927176
ai crawlers;5;110;5.57;0.23;20.00;22.00;17000000;0.05,0.05,0.00,0.53,0.10,0.10,0.10,1.00,0.35,0.43,0.43,0.35;;1770753002
top ai crawlers;7;50;0.00;0.00;10.00;0.00;246000000;0.64,1.00,0.00,0.00,0.00,0.00;;1769155085
crawl for ai;9;210;6.15;0.21;10.00;12.00;127000000;0.05,1.00,1.00,0.43,0.53,0.66,0.28,0.53,0.43,0.53,0.35,0.05;;1771379961
google crawl javascript;57;110;0.00;0.00;0.00;0.00;35800000;0.15,0.21,0.15,0.21,0.28,0.43,0.34,0.81,1.00,0.53,0.28,0.21;;1771693066
ai web crawler;14;140;4.25;0.63;0.00;0.00;73900000;0.26,0.53,0.42,0.65,0.42,0.53,0.42,0.80,0.65,0.53,0.34,1.00;;1770039882
crawley ai;17;90;0.00;0.00;0.00;0.00;7310000;0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1767090350
crawl ai;10;170;4.47;0.28;0.00;0.00;70500000;0.10,1.00,0.82,0.66,0.53,0.53,0.35,0.35,0.35,0.23,0.23,0.23;;1770734859
chatgpt crawler user agent;43;50;0.00;0.02;0.00;0.00;328000;0.00,0.00,0.00,0.00,0.00,0.00,0.65,1.00,0.42,0.15,0.07,0.07;;1769238159
oai bot;76;30;2.04;0.37;0.00;0.00;535000;0.80,0.80,0.80,1.00,1.00,1.00,0.60,0.60,0.00,0.20,0.20,0.00;;1772324477
crwler;53;70;1.58;0.01;0.00;0.00;656000000;0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.04,0.00,1.00,0.00,0.00;1;1769140740
oai-searchbot user agent openai;90;110;0.00;0.00;0.00;0.00;4760;0.09,0.04,1.00,1.00,1.00;;1767909272
crawler javascript;10;140;3.20;0.06;0.00;0.00;64400000;0.18,0.18,0.14,0.08,0.29,0.66,1.00,0.29,0.22,0.02,0.14,0.06;;1770867217
ai crawler py;31;140;6.82;0.10;0.00;0.00;4320000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00;;1770216497
