Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel funding;3;260;0.00;0.02;0.57;0.00;1680000;0.10,0.19,0.19,0.15,0.12,0.19,0.19,1.00,0.29,0.67,0.44,0.36;5;1771336565
vercel news;13;4400;0.00;0.00;0.19;0.00;7060000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,1.00,0.10;4;1772446423
vercel funding news;3;110;0.00;0.00;0.19;0.00;342000;1.00,0.00,0.00;;1772584045
auth0 openai com;84;30;7.74;0.31;0.00;0.00;635000;0.71,0.28,0.57,0.28,0.71,0.28,0.00,0.28,0.28,0.28,0.28,0.28;;1770819175
workos founder;54;40;0.00;0.33;0.00;0.00;20000;1.00,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;1770509573
sentry application;76;170;1.91;0.01;0.00;0.00;12900000;0.11,0.08,0.08,0.00,0.11,0.08,0.20,0.08,0.20,0.07,0.01,0.05;;1770794835
postgres day of week;75;90;0.00;0.00;0.00;0.00;1660000;0.52,0.52,0.41,0.64,0.41,0.64,0.41,0.52,0.52,0.41,0.41,0.41;;1771020647
vanta news;18;260;16.33;0.07;0.00;0.00;10800000;0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.05,0.02,1.00,0.16,0.05;;1770494793
vanta news;23;260;16.33;0.07;0.00;0.00;10800000;0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.05,0.02,1.00,0.16,0.05;;1770494793
credits hubspot;65;50;0.00;0.07;0.00;0.00;7580000;0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.12,1.00,0.05;;1770490761
credits hubspot;79;50;0.00;0.07;0.00;0.00;7580000;0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.12,1.00,0.05;;1770490761
how to build stage platform;89;70;0.00;0.49;0.00;0.00;421000000;0.19,0.26,0.34,0.34,0.42,0.34,0.19,0.26,0.26,0.26,0.00,0.34;5;1770565068
aws back;25;50;0.00;0.14;0.00;0.00;268000000;0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1.00,0.04;;1770476062
vercel secure compute;95;70;0.00;0.33;0.00;0.00;61700;0.11,0.11,0.64,0.11,0.64,0.11,0.11,0.64,0.64,0.64,0.64,0.11;;1770472588
accelerator company;65;70;6.61;0.08;0.00;0.00;90600000;0.19,0.26,0.15,0.26,0.19,0.26,0.19,0.26,0.34,0.26,0.26,0.19;3;1771063693
fluid cursor;86;50;0.00;0.01;0.00;0.00;6470000;0.00,0.00,0.06,0.00,0.12,0.12,0.06,0.15,0.06,0.06,1.00,0.06;;1771329356
alli pope;22;40;0.00;0.33;0.00;0.00;804000;0.11,0.11,0.11,0.11,0.11,0.11,0.23,0.11,0.11,0.11,1.00,0.11;5;1771153549
fireside ai;49;90;0.00;0.06;0.00;0.00;22900000;0.34,0.42,0.07,0.07,0.53,1.00,0.34,0.42,0.80,0.34,0.07,0.19;5;1771212731
fireside ai;66;90;0.00;0.06;0.00;0.00;22900000;0.34,0.42,0.07,0.07,0.53,1.00,0.34,0.42,0.80,0.34,0.07,0.19;5;1771212731
fireside ai;72;90;0.00;0.06;0.00;0.00;22900000;0.34,0.42,0.07,0.07,0.53,1.00,0.34,0.42,0.80,0.34,0.07,0.19;5;1771212731
leonardo ai api;79;140;6.59;0.09;0.00;0.00;44200000;0.28,0.43,0.35,0.35,0.35,0.35,1.00,0.43,0.28,0.10,0.17,0.23;;1770767837
braintrust ai;53;720;14.76;0.18;0.00;0.00;992000;0.16,0.24,0.20,0.16,0.20,0.16,0.30,0.24,0.24,0.36,1.00,0.24;;1771329062
braintrust ai;57;720;14.76;0.18;0.00;0.00;992000;0.16,0.24,0.20,0.16,0.20,0.16,0.30,0.24,0.24,0.36,1.00,0.24;;1771329062
accelorator;49;880;0.31;0.00;0.00;0.00;107000000;0.29,0.00,0.08,0.16,0.10,0.13,0.16,0.20,0.36,0.16,0.22,0.20;1;1770483522
aws start up credits;77;70;10.60;0.47;0.00;0.00;2250000;0.02,1.00,0.00,0.05,0.02,0.00,1.00,0.02,0.02,0.10,0.00,0.00;;1771388180
braintrust funding;35;70;0.00;0.01;0.00;0.00;472000;0.17,0.11,0.29,0.82,1.00,0.11,0.11,0.17,0.11,0.64,0.64,0.64;;1770496177
auth0 audience;33;140;7.61;0.19;0.00;0.00;508000;0.53,0.65,0.53,0.80,0.53,0.53,0.53,0.53,0.53,0.42,0.42,0.42;;1771436247
postgres cursor;93;50;0.00;0.01;0.00;0.00;2060000;0.09,0.23,0.42,0.33,0.33,0.33,0.23,0.33,0.52,0.19,0.14,0.09;;1770351748
auth0 multi tenant;44;50;7.91;0.57;0.00;0.00;102000;0.23,0.23,0.23,0.33,0.23,0.23,0.23,0.14,0.14,0.14,0.19,0.19;;1771125098
cursor supabase;86;50;0.00;0.01;0.00;0.00;915000;0.06,0.43,0.06,1.00,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06;;1771408631
chatbase co;64;70;6.44;0.68;0.00;0.00;1120000;0.00,0.00,0.50,0.35,1.00,0.64,0.50,1.00,1.00,0.78,0.21,0.14;;1770757645
vanta events;25;30;18.46;0.25;0.00;0.00;2340000;1.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22;;1770336813
cursor free credits;24;140;0.00;0.33;0.00;0.00;9290000;0.00,0.00,0.00,0.12,0.12,0.43,0.12,0.66,1.00,0.12,0.12,1.00;5;1770386210
accelerator ventures early-stage funding;59;90;0.00;0.00;0.00;0.00;14300000;0.63,1.00,0.63,0.81,0.45;;1770529822
julius ai chat;23;1000;2.71;0.12;0.00;0.00;9420000;0.30,0.24,0.36,0.54,1.00,0.79,0.79,0.16,0.30,0.30,0.20,0.20;;1770997892
cervo ai;17;90;9.86;0.11;0.00;0.00;9080000;0.09,0.09,0.09,0.09,0.52,0.09,1.00,0.52,0.52,0.66,0.66,0.42;1;1770934628
aws startup credits;64;1000;10.60;0.47;0.00;0.00;2580000;0.67,1.00,0.76,0.76,0.76,0.76,0.67,0.76,0.76,0.76,1.00,0.76;;1770972465
clipboard ai;37;170;3.87;0.12;0.00;0.00;209000000;0.23,0.43,0.28,0.35,0.43,0.43,0.28,0.53,0.43,0.43,0.53,0.53;5;1770388934
leonardo ai news;75;40;0.00;0.33;0.00;0.00;88800000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.64,0.11;4,5;1771445487
vercel nextjs templates;40;70;0.00;0.04;0.00;0.00;1330000;0.04,0.04,0.04,0.04,0.04,0.04,1.00,0.43,0.04,0.04,0.04,0.04;;1770391126
vercel nextjs templates;67;70;0.00;0.04;0.00;0.00;1330000;0.04,0.04,0.04,0.04,0.04,0.04,1.00,0.43,0.04,0.04,0.04,0.04;;1770391126
supabase join;72;70;0.00;0.00;0.00;0.00;3850000;0.64,0.78,0.64,0.78,0.14,0.78,0.14,0.50,0.64,0.14,0.28,0.35;;1770543363
app.leonardo.ai;83;260;0.70;0.22;0.00;0.00;183000000;0.01,0.03,0.03,0.03,0.00,0.00,1.00,0.00,0.00,0.00,0.03,0.02;;1770847365
ai julius;22;210;3.93;0.24;0.00;0.00;75700000;1.00,0.35,1.00,0.54,0.81,0.66,0.18,0.14,0.22,0.29,0.29,0.22;1;1771432019
anthropic free credits;41;50;0.00;0.33;0.00;0.00;3180000;0.05,0.05,0.05,0.05,0.05,0.05,1.00,0.05,0.05,0.05,0.07,0.05;;1770760569
vercel v0 pricing;74;110;0.00;0.02;0.00;0.00;1540000;0.09,0.09,0.80,0.80,0.80,0.80,0.66,1.00,0.52,0.52,0.42,0.19;;1770758649
cursor fundraising;75;70;0.00;0.33;0.00;0.00;1010000;0.09,0.23,0.19,0.66,0.80,0.52,0.52,0.14,0.09,0.09,0.14,1.00;5;1771384688
cursor fundraising;82;70;0.00;0.33;0.00;0.00;1010000;0.09,0.23,0.19,0.66,0.80,0.52,0.52,0.14,0.09,0.09,0.14,1.00;5;1771384688
supabase vercel;68;110;0.00;0.02;0.00;0.00;1290000;0.03,0.03,0.23,0.18,0.03,0.03,0.03,0.03,0.28,0.03,1.00,0.28;;1770407765
agent accelerator;59;170;6.76;0.02;0.00;0.00;68500000;0.34,0.53,0.53,0.43,0.53,0.53,0.43,0.53,0.81,0.65,1.00,0.65;;1770497138
bear.ai;79;90;2.89;0.11;0.00;0.00;611000000;0.01,0.03,0.12,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,1.00;;1771456278
julius ai github;34;40;0.00;0.04;0.00;0.00;2630000;0.12,0.65,0.12,0.12,0.12,0.06,0.06,0.06,0.06,0.06,0.06,0.06;;1770474346
auth0 linkedin;39;50;0.00;0.05;0.00;0.00;1710000;0.09,0.09,0.12,0.09,0.06,0.09,0.06,0.21,0.21,0.34,0.21,0.06;;1770379293
vercel community;8;90;0.00;0.01;0.00;0.00;13300000;0.07,0.07,0.07,0.42,0.42,0.42,1.00,0.42,0.53,0.34,0.26,0.26;;1770472546
cridets;65;70;4.22;0.27;0.00;0.00;3950000000;0.44,0.23,0.00,0.11,0.00,0.00,0.00,0.18,0.66,0.00,0.00,0.00;0,5;1770543490
cartesia pricing;66;170;10.55;0.23;0.00;0.00;80000;0.17,0.17,0.43,0.43,0.28,0.28,0.82,0.43,0.35,0.28,1.00,0.35;;1771057612
j s builders;65;40;0.00;0.06;0.00;0.00;22600000;0.41,0.64,0.52,0.64,0.00,0.00,0.05,0.00,0.05,0.00,0.00,0.41;3;1770932877
web application accelerator;29;50;0.00;0.33;0.00;0.00;92400000;0.27,0.36,0.36,0.45,0.45,0.63,0.45,1.00,1.00,0.45,0.45,0.18;;1770486312
cartesia tts;60;90;5.33;0.43;0.00;0.00;19300;0.09,0.09,0.80,0.52,1.00,0.52,0.09,0.52,0.42,0.33,0.42,0.52;;1771129662
mongodb vs supabase;87;110;244.90;0.08;0.00;0.00;1910000;0.06,0.06,0.53,0.53,0.06,0.43,0.53,0.53,0.06,0.06,0.53,1.00;5;1770529457
hubspot blog templates;81;40;6.37;0.16;0.00;0.00;13800000;0.11,0.17,0.17,0.29,0.23,0.11,0.17,0.29,0.29,0.82,0.05,0.17;;1770462920
lenodo ai;65;320;0.47;0.29;0.00;0.00;236000000;0.00,0.00,0.46,1.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00;;1770565957
vercel office san francisco;13;170;0.00;0.02;0.00;0.00;112000;0.02,0.02,0.02,0.02,0.02,0.04,0.59,1.00,0.07,0.05,0.05,0.02;1;1770388935
julius chat ai;26;50;3.38;0.06;0.00;0.00;9760000;0.41,0.11,0.11,0.64,0.64,1.00,0.11,0.11,0.11,0.11,0.11,0.11;;1770770933
what accelerator;86;110;0.00;0.00;0.00;0.00;92700000;0.00,0.00,0.15,1.00,0.53,0.80,0.26,0.26,0.65,0.65,0.80,0.34;1;1770478541
aws for startup;52;90;12.66;0.42;0.00;0.00;71700000;0.01,0.06,0.01,0.03,0.44,0.81,0.05,0.06,0.11,0.03,0.11,0.00;;1770546598
