Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
what is a bug bounty;24;110;2.39;0.01;0.00;0.00;142000000;0.15,0.26,0.26,0.53,0.53,0.42,0.19,0.34,0.80,0.34,0.42,0.34;;1770332133
bug in program;61;50;9.59;0.03;0.00;0.00;374000000;0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1770993279
oss security software;56;40;0.00;0.33;0.00;0.00;23400000;0.57,0.57,0.71,1.00,0.71,0.57,0.28,0.57,1.00,0.28,0.28,0.28;;1770295604
hacker one bug bounty;16;40;3.39;0.07;0.00;0.00;697000;0.53,0.03,0.43,0.12,0.00,0.00,0.00,0.34,0.00,0.09,0.00,0.06;;1770359959
hacker one bug bounty;34;40;3.39;0.07;0.00;0.00;697000;0.53,0.03,0.43,0.12,0.00,0.00,0.00,0.34,0.00,0.09,0.00,0.06;;1770359959
linear programming steps;73;40;0.00;0.33;0.00;0.00;307000000;0.18,0.18,0.18,1.00,1.00,0.18,0.18,0.18,0.18,0.18,1.00,0.18;;1770221582
safer bug light;67;140;0.48;1.00;0.00;0.00;6080000;0.03,0.02,0.04,0.07,0.07,0.17,0.26,0.26,0.17,0.17,0.17,0.11;5;1770506340
hackerone';44;90;0.00;0.00;0.00;0.00;1070000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;4;1770294950
nature bounties;81;50;0.65;1.00;0.00;0.00;38200000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00;5;1770333232
bounty.chat;48;110;0.00;0.00;0.00;0.00;46200000;0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;;1770771515
august bug;66;50;0.00;0.00;0.00;0.00;404000000;0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.64,0.64,0.11,0.23,0.29;5;1770350619
best bug bounty platforms;32;50;4.55;0.49;0.00;0.00;26200000;0.18,0.27,0.18,0.18,0.36,0.45,0.81,1.00,0.18,0.18,0.81,0.18;;1770493786
bounty app;52;70;0.00;0.00;0.00;0.00;146000000;0.02,0.15,0.02,0.15,0.02,0.02,0.02,0.23,0.15,0.09,0.05,0.06;;1770482963
bounty ship model;64;50;0.42;1.00;0.00;0.00;20000000;0.19,0.05,0.12,0.10,0.01,0.03,0.01,0.03,0.03,0.03,0.03,0.10;5;1770354368
next js swr;51;50;0.00;0.33;0.00;0.00;793000;0.29,0.29,0.41,0.52,0.41,0.41,0.05,0.41,0.29,0.23,0.11,0.11;;1770236521
