Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
turbopack;19;1600;0.00;0.00;100.00;0.00;562000;0.35,0.35,0.29,0.35,0.35,0.24,0.29,0.29,0.24,0.24,0.24,0.13;;1769048738
next turbopack;33;110;0.00;0.00;0.00;0.00;479000;0.80,0.80,0.52,0.52,0.80,1.00,0.52,0.09,0.33,0.33,0.23,0.33;;1767528237
enable turbopack for next dev;21;40;0.00;0.33;0.00;0.00;4820;0.23,0.11,1.00,0.29,0.11,0.52,0.11,0.11,0.11,0.11,0.11,0.11;;1771546510
is turbopack stable;24;50;0.00;0.33;0.00;0.00;30300;0.14,1.00,1.00,0.28,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14;;1768084807
next js turbopack;12;140;0.00;0.01;0.00;0.00;204000;0.12,1.00,0.35,1.00,0.28,0.35,0.28,0.28,0.28,0.35,0.28,0.12;;1769411715
turbo pack next js;10;40;0.00;0.33;0.00;0.00;2180000;0.09,0.09,0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;5;1770476299
turbo pack next js;18;40;0.00;0.33;0.00;0.00;2180000;0.09,0.09,0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;5;1770476299
what is next turbopack;22;40;0.00;0.33;0.00;0.00;532000;0.23,0.23,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1768177352
what is turbopack in nextjs;32;140;0.00;0.33;0.00;0.00;190000;0.01,0.01,0.05,1.00,0.01,0.13,0.01,0.03,0.01,0.01,0.01,0.01;;1772247253
next.js turbopack;12;40;0.00;0.01;0.00;0.00;215000;1.00,0.64,1.00,0.07,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.28;;1770198771
turbopack nextjs;44;320;0.00;0.01;0.00;0.00;185000;0.54,1.00,0.81,0.66,0.66,0.81,0.28,0.28,0.28,0.28,0.23,0.15;;1769976940
nextjs turbopack;10;260;0.00;0.01;0.00;0.00;171000;0.66,0.66,0.82,0.82,0.66,0.53,0.66,0.43,0.66,0.53,0.53,0.35;;1771361777
what is turbopack;29;320;0.00;0.00;0.00;0.00;281000;0.66,0.66,0.54,0.66,0.66,1.00,0.43,0.54,0.54,0.66,0.43,0.43;;1768445026
how to disable turbopack;75;90;0.00;0.33;0.00;0.00;9560;0.00,0.21,0.21,0.21,0.00,1.00,0.65,0.43,0.21,0.21,0.21,0.21;;1771693983
