Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
turbopack;2;1600;0.00;0.00;90.17;0.00;562000;0.35,0.35,0.29,0.35,0.35,0.24,0.29,0.29,0.24,0.24,0.24,0.13;;1769048738
turbo pack;5;880;0.00;0.00;8.97;0.00;268000000;0.37,0.68,0.37,1.00,0.52,0.68,0.46,0.31,0.31,0.37,0.31,0.16;5;1770115743
what is turbopack;5;320;0.00;0.00;0.85;0.00;281000;0.66,0.66,0.54,0.66,0.66,1.00,0.43,0.54,0.54,0.66,0.43,0.43;;1768445026
next turbopack;9;110;0.00;0.00;0.00;0.00;479000;0.80,0.80,0.52,0.52,0.80,1.00,0.52,0.09,0.33,0.33,0.23,0.33;;1767528237
turbopack vs webpack;36;70;0.00;0.33;0.00;0.00;73000;0.19,0.23,0.23,0.33,0.33,0.33,0.42,1.00,0.33,0.23,0.33,0.23;;1770465843
turbopack react;3;40;0.00;0.09;0.00;0.00;190000;1.00,0.14,0.14,1.00,0.28,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;1769089989
is turbopack stable;69;50;0.00;0.33;0.00;0.00;30300;0.14,1.00,1.00,0.28,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14;;1768084807
next dev turbopack;16;50;0.00;0.33;0.00;0.00;121000;0.05,0.11,1.00,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1768875150
turbopack for next dev;8;170;0.00;0.00;0.00;0.00;102000;0.66,0.43,0.35,1.00,0.54,0.43,0.35,0.35,0.22,0.06,0.04,0.04;5;1772220217
turbopack for next dev;10;170;0.00;0.00;0.00;0.00;102000;0.66,0.43,0.35,1.00,0.54,0.43,0.35,0.35,0.22,0.06,0.04,0.04;5;1772220217
next js turbopack;22;140;0.00;0.01;0.00;0.00;204000;0.12,1.00,0.35,1.00,0.28,0.35,0.28,0.28,0.28,0.35,0.28,0.12;;1769411715
turbo pack next js;17;40;0.00;0.33;0.00;0.00;2180000;0.09,0.09,0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;5;1770476299
what is next turbopack;6;40;0.00;0.33;0.00;0.00;532000;0.23,0.23,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1768177352
what is turbopack in nextjs;11;140;0.00;0.33;0.00;0.00;190000;0.01,0.01,0.05,1.00,0.01,0.13,0.01,0.03,0.01,0.01,0.01,0.01;;1772247253
next.js turbopack;20;40;0.00;0.01;0.00;0.00;215000;1.00,0.64,1.00,0.07,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.28;;1770198771
what is turbopack for next dev;8;260;0.00;0.00;0.00;0.00;111000;0.81,0.81,0.66,0.66,0.81,1.00,0.35,0.35,0.29,0.10,0.06,0.04;;1772459735
turbopack nextjs;15;320;0.00;0.01;0.00;0.00;185000;0.54,1.00,0.81,0.66,0.66,0.81,0.28,0.28,0.28,0.28,0.23,0.15;;1769976940
turbopack nextjs;31;320;0.00;0.01;0.00;0.00;185000;0.54,1.00,0.81,0.66,0.66,0.81,0.28,0.28,0.28,0.28,0.23,0.15;;1769976940
nextjs turbopack;17;260;0.00;0.01;0.00;0.00;171000;0.66,0.66,0.82,0.82,0.66,0.53,0.66,0.43,0.66,0.53,0.53,0.35;;1771361777
nextjs turbopack;21;260;0.00;0.01;0.00;0.00;171000;0.66,0.66,0.82,0.82,0.66,0.53,0.66,0.43,0.66,0.53,0.53,0.35;;1771361777
would you like to use turbopack for next dev;41;170;0.00;0.00;0.00;0.00;95600;0.36,0.16,0.16,0.13,0.16,0.16,0.06,0.08,0.04,0.01,0.01,0.01;;1772495276
nextjs turbopack vs webpack;41;40;0.00;0.33;0.00;0.00;125000;1.00,0.14,0.50,0.28,0.14,0.14,0.50,0.64,0.14,0.14,0.14,0.14;;1767934228
turbopack vs vite;44;70;0.00;0.33;0.00;0.00;80800;0.05,0.05,0.05,0.28,0.28,0.05,0.05,1.00,0.05,0.05,0.05,0.05;;1767210122
