Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
csrf;26;5400;3.92;0.01;100.00;100.00;26000000;0.44,0.44,0.54,0.54,0.54,0.54,0.44,0.44,0.44,0.44,0.54,0.44;1;1772287936
csrf attack;33;1300;2.62;0.02;0.00;0.00;2480000;0.52,0.68,0.68,0.84,0.68,0.68,0.68,0.52,0.52,0.68,0.84,0.68;1;1770989653
csfr attack;16;30;2.62;0.02;0.00;0.00;2400000;0.00,0.00,0.00,0.00,0.44,0.08,0.01,0.00,0.00,0.00,0.01,0.01;1;1769711954
csrf attack.;14;50;2.62;0.02;0.00;0.00;2890000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00;;1770232278
what is csrf attack;53;140;0.00;0.01;0.00;0.00;2430000;0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03;;1771063893
csrf prevention;26;70;5.52;0.10;0.00;0.00;1370000;0.23,0.23,0.64,0.41,0.64,0.52,0.17,0.41,0.29,0.29,0.29,0.29;;1771557262
anticsrf token;82;110;0.00;0.00;0.00;0.00;27000;0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.43,0.34,0.43,0.65;;1768396204
.csrf;17;50;3.92;0.01;0.00;0.00;24800000;0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;1;1768962888
what is a cross site request forgery;60;260;2.22;0.01;0.00;0.00;18400000;0.35,0.22,0.18,0.81,0.22,1.00,0.66,0.29,0.66,0.66,0.43,0.43;;1770824990
what is a csrf attack;50;140;0.00;0.01;0.00;0.00;2800000;0.42,0.52,0.66,0.80,0.66,0.66,0.52,0.52,0.66,0.80,0.52,1.00;;1768660430
what is csrf protection;57;40;1.78;0.02;0.00;0.00;6800000;0.14,0.09,0.14,0.09,0.09,0.09,0.23,0.09,0.19,0.23,0.52,0.33;;1771751841
